Dates,TMUS
2018-06-20,60.650001525878906
2018-06-21,60.2400016784668
2018-06-25,60.33000183105469
2018-06-22,60.529998779296875
2018-06-26,59.709999084472656
2018-06-27,59.58000183105469
2018-06-28,59.939998626708984
2018-06-29,59.880001068115234
2018-07-02,59.459999084472656
2018-07-03,59.68000030517578
2018-07-05,59.45000076293945
2018-07-16,60.06999969482422
2018-09-18,61.0
2019-01-24,61.41999816894531
2019-09-05,60.290000915527344
2018-11-21,60.279998779296875
2020-01-13,61.2400016784668
2020-04-01,61.5099983215332
2020-06-19,61.439998626708984
2019-10-29,61.41999816894531
2020-01-16,60.2599983215332
2020-06-22,59.40999984741211
2018-10-03,59.130001068115234
2018-07-31,58.47999954223633
2019-03-12,58.779998779296875
2019-02-08,59.099998474121094
2019-01-07,59.470001220703125
2018-12-06,59.5
2019-08-19,59.869998931884766
2019-07-18,59.95000076293945
2019-05-15,61.11000061035156
2019-09-20,61.11000061035156
2019-11-01,61.59000015258789
2020-04-07,66.30999755859375
2020-06-25,65.30999755859375
2020-06-16,65.5199966430664
2019-11-04,64.63999938964844
2020-01-22,64.94000244140625
2019-11-07,65.77999877929688
2020-04-13,65.5199966430664
2019-07-01,65.68000030517578
2019-05-30,65.87000274658203
2018-08-15,65.73999786376953
2018-10-18,65.7699966430664
2019-03-27,66.27999877929688
2019-01-22,65.5
2018-12-21,65.44999694824219
2019-09-03,65.19999694824219
2018-11-19,65.8499984741211
2019-08-02,65.73999786376953
2020-01-28,65.56999969482422
2020-04-16,66.12999725341797
2019-11-13,65.73999786376953
2020-01-31,65.62999725341797
2018-12-04,65.5
2018-11-02,65.33000183105469
2019-07-16,64.9800033569336
2018-08-30,65.55999755859375
2018-10-01,66.0
2019-06-14,68.0
2019-05-13,68.58000183105469
2019-04-11,68.02999877929688
2019-02-06,67.43000030517578
2019-09-18,68.61000061035156
2020-02-03,68.77999877929688
2020-04-22,69.33999633789062
2019-11-19,68.69999694824219
2020-02-06,69.51000213623047
2019-11-22,69.47000122070312
2019-03-25,69.08000183105469
2019-02-21,70.44999694824219
2018-12-19,70.70999908447266
2018-07-12,70.16000366210938
2018-09-14,69.81999969482422
2018-08-13,68.52999877929688
2018-10-16,68.94999694824219
2019-07-31,68.58999633789062
2019-05-28,68.7699966430664
2019-04-26,68.54000091552734
2020-04-28,66.75
2019-11-25,67.2699966430664
2020-02-12,68.12000274658203
2020-05-01,67.68000030517578
2020-05-04,68.95999908447266
2019-06-12,69.2300033569336
2019-04-09,69.52999877929688
2019-03-08,69.8499984741211
2019-02-04,69.08000183105469
2018-07-27,69.05000305175781
2018-08-28,66.33999633789062
2019-01-03,64.55000305175781
2019-08-15,66.13999938964844
2018-10-31,64.52999877929688
2019-09-16,67.37000274658203
2020-02-18,68.95999908447266
2020-05-07,69.38999938964844
2018-08-17,68.95999908447266
2019-12-04,68.8499984741211
2020-02-21,69.23999786376953
2018-12-17,70.06999969482422
2019-08-30,69.41999816894531
2018-11-15,68.69000244140625
2019-07-29,68.54000091552734
2019-06-27,68.66000366210938
2019-04-24,67.86000061035156
2018-07-10,67.2300033569336
2018-09-12,68.52999877929688
2019-02-19,67.73999786376953
2019-01-18,66.79000091552734
2020-02-24,66.38999938964844
2020-05-13,67.76000213623047
2019-12-10,67.23999786376953
2020-02-27,67.75
2019-12-13,68.4000015258789
2020-05-19,68.87999725341797
2019-03-06,68.5
2018-11-30,67.45999908447266
2019-08-13,65.68000030517578
2019-07-12,66.68000030517578
2019-06-10,65.66999816894531
2019-05-09,66.62000274658203
2018-07-25,66.7699966430664
2018-09-27,66.20999908447266
2018-10-29,65.83000183105469
2019-10-16,65.7300033569336
2019-12-16,64.80999755859375
2020-03-04,64.63999938964844
2020-05-22,64.62000274658203
2019-10-01,64.58000183105469
2019-12-19,61.5099983215332
2018-09-10,60.91999816894531
2019-05-24,62.349998474121094
2018-08-09,62.70000076293945
2019-04-22,63.31999969482422
2019-03-21,62.869998931884766
2019-01-16,64.55000305175781
2019-08-28,65.87999725341797
2018-11-13,67.37000274658203
2018-10-12,68.66999816894531
2019-06-25,68.6500015258789
2020-03-10,67.44000244140625
2020-05-28,67.83000183105469
2019-10-07,68.41000366210938
2020-03-13,67.80999755859375
2019-10-10,67.51000213623047
2020-03-16,66.72000122070312
2020-06-03,67.11000061035156
2018-11-28,66.75
2018-09-25,66.80000305175781
2018-07-23,67.72000122070312
2018-08-24,68.93000030517578
2019-07-10,67.87000274658203
2019-05-07,67.66000366210938
2019-04-05,67.73999786376953
2019-03-04,68.41000366210938
2019-01-31,69.45999908447266
2019-09-12,69.41000366210938
2019-12-31,69.69999694824219
2020-03-19,66.80000305175781
2020-01-03,68.0
2020-06-09,67.63999938964844
2019-02-15,68.16999816894531
2019-01-14,69.0
2018-07-06,69.61000061035156
2018-08-07,69.0999984741211
2018-10-10,70.6500015258789
2018-12-13,72.01000213623047
2019-08-26,72.45999908447266
2019-07-25,72.56999969482422
2019-05-22,73.80000305175781
2019-03-19,73.37000274658203
2020-01-06,71.44000244140625
2020-03-25,72.12999725341797
2020-06-12,72.08000183105469
2019-10-22,72.38999938964844
2020-01-09,72.23999786376953
2020-06-15,71.75
2019-10-25,71.41000366210938
2020-03-31,70.62000274658203
2020-06-18,70.93000030517578
2019-04-03,70.83000183105469
2018-08-22,71.47000122070312
2018-10-25,72.12000274658203
2019-01-29,72.25
2018-12-28,72.76000213623047
2018-11-26,73.27999877929688
2019-08-09,74.0
2019-07-08,72.80000305175781
2019-06-06,72.08000183105469
2019-09-10,71.93000030517578
2020-01-15,71.8499984741211
2020-04-03,72.58000183105469
2019-10-31,73.38999938964844
2020-04-06,71.9800033569336
2020-06-24,69.33000183105469
2018-11-09,69.54000091552734
2019-07-23,69.80999755859375
2019-06-21,69.81999969482422
2019-05-20,69.08000183105469
2019-04-18,70.4800033569336
2018-09-06,70.13999938964844
2018-10-08,70.95999908447266
2019-02-13,71.55000305175781
2018-12-11,72.1500015258789
2019-09-25,73.19000244140625
2020-01-21,73.70999908447266
2020-04-09,74.0
2019-11-06,72.72000122070312
2020-01-24,73.22000122070312
2020-01-27,73.76000213623047
2020-04-15,73.55999755859375
2018-12-26,73.38999938964844
2019-08-07,72.69999694824219
2019-06-04,74.7300033569336
2018-09-21,72.94000244140625
2018-07-19,73.47000122070312
2018-08-20,73.13999938964844
2018-10-23,73.77999877929688
2019-05-03,73.70999908447266
2019-04-01,73.87999725341797
2019-02-28,73.80000305175781
2019-11-12,73.95999908447266
2020-01-30,72.30000305175781
2019-11-15,74.0
2020-04-21,74.37999725341797
2019-04-16,73.41999816894531
2019-03-15,73.37000274658203
2019-02-11,74.4800033569336
2019-01-10,75.38999938964844
2019-08-22,79.87000274658203
2018-11-07,78.16000366210938
2018-08-03,76.48999786376953
2018-09-04,76.26000213623047
2019-06-19,76.5
2019-09-23,77.55000305175781
2019-11-18,75.81999969482422
2020-02-05,76.04000091552734
2020-04-24,74.80999755859375
2019-03-29,73.62000274658203
2019-11-21,74.62999725341797
2020-04-27,75.94000244140625
2020-02-11,76.13999938964844
2020-04-30,76.55000305175781
2019-05-01,77.05999755859375
2019-02-26,77.12999725341797
2019-01-25,75.83000183105469
2018-12-24,75.16999816894531
2019-09-06,74.66999816894531
2018-07-17,75.08000183105469
2018-09-19,75.94000244140625
2019-08-05,76.33999633789062
2019-10-08,79.11000061035156
2019-12-11,77.70999908447266
2019-11-27,76.0199966430664
2020-02-14,75.47000122070312
2020-05-06,74.27999877929688
2019-01-08,73.44999694824219
2018-12-07,73.29000091552734
2019-08-20,74.66999816894531
2018-11-05,74.4000015258789
2019-07-19,75.88999938964844
2018-10-04,75.83000183105469
2019-06-17,76.37000274658203
2019-05-16,75.3499984741211
2018-08-01,77.95999908447266
2019-03-13,78.7300033569336
2019-12-03,78.19999694824219
2020-02-20,79.66999816894531
2019-12-06,79.3499984741211
2020-05-12,79.2300033569336
2019-12-09,78.77999877929688
2020-02-26,77.98999786376953
2020-05-15,77.80000305175781
2019-03-28,77.73999786376953
2018-09-17,79.19999694824219
2018-08-16,81.36000061035156
2018-10-19,81.0999984741211
2019-04-29,84.62999725341797
2019-01-23,81.69999694824219
2019-09-04,81.22000122070312
2018-11-20,79.98999786376953
2019-07-02,79.38999938964844
2019-05-31,76.8499984741211
2019-12-12,76.51000213623047
2020-05-18,76.48999786376953
2019-09-27,76.94000244140625
2020-03-03,77.5999984741211
2020-05-21,77.06999969482422
2019-05-14,76.93000030517578
2018-08-31,76.7699966430664
2018-07-30,76.47000122070312
2018-10-02,77.98999786376953
2019-04-12,78.26000213623047
2019-03-11,77.9800033569336
2019-02-07,78.06999969482422
2019-07-17,78.30999755859375
2019-09-19,77.63999938964844
2019-10-21,77.0
2019-12-18,77.69999694824219
2020-03-06,76.93000030517578
2019-10-03,77.87000274658203
2020-03-09,78.37999725341797
2020-05-27,77.9000015258789
2019-12-24,77.51000213623047
2020-03-12,78.22000122070312
2018-12-20,77.95999908447266
2019-08-01,79.33000183105469
2018-08-14,78.77999877929688
2018-07-13,78.38999938964844
2018-10-17,79.87999725341797
2019-05-29,80.08999633789062
2019-03-26,78.95999908447266
2019-02-22,79.7300033569336
2019-10-04,80.20999908447266
2019-11-05,80.72000122070312
2019-12-27,80.55999755859375
2020-06-02,80.0199966430664
2019-12-30,80.48999786376953
2020-03-18,79.52999877929688
2020-06-05,79.97000122070312
2019-07-15,79.05999755859375
2018-12-03,77.87000274658203
2019-06-13,78.87999725341797
2019-01-04,77.5999984741211
2018-08-29,76.5999984741211
2019-02-05,76.95999908447266
2018-11-01,77.62999725341797
2019-08-16,77.77999877929688
2019-04-10,78.11000061035156
2019-09-17,77.72000122070312
2019-10-15,78.66000366210938
2020-01-02,79.52999877929688
2020-06-08,78.94999694824219
2019-10-18,79.73999786376953
2020-03-24,80.44999694824219
2020-06-11,81.13999938964844
2020-01-08,81.7699966430664
2019-04-25,82.52999877929688
2019-07-30,81.44000244140625
2019-02-20,81.25
2018-07-11,81.68000030517578
2018-09-13,82.01000213623047
2018-10-15,81.23999786376953
2019-06-28,81.56999969482422
2018-12-18,83.3499984741211
2018-11-16,83.08999633789062
2019-10-02,82.69999694824219
2020-03-27,81.05999755859375
2020-01-10,81.5999984741211
2019-10-24,82.4000015258789
2020-03-30,81.80000305175781
2020-06-17,80.58999633789062
2020-01-14,79.62000274658203
2020-04-02,77.62999725341797
2019-01-02,77.37999725341797
2019-08-14,77.55999755859375
2018-10-30,76.87000274658203
2019-06-11,78.19999694824219
2019-05-10,76.8499984741211
2019-04-08,77.83999633789062
2018-08-27,77.94999694824219
2018-07-26,78.73999786376953
2018-09-28,77.91000366210938
2019-03-07,78.47000122070312
2019-10-30,78.87999725341797
2020-01-17,78.58000183105469
2020-06-23,77.44999694824219
2020-04-08,78.05000305175781
2020-06-26,78.06999969482422
2019-03-22,77.54000091552734
2019-01-17,77.69999694824219
2019-08-29,75.79000091552734
2018-11-14,75.08000183105469
2019-06-26,75.2300033569336
2018-09-11,74.97000122070312
2018-07-09,75.52999877929688
2018-08-10,75.44999694824219
2019-04-23,75.62000274658203
2019-09-30,76.04000091552734
2020-01-23,77.93000030517578
2019-11-08,77.47000122070312
2020-04-14,77.05000305175781
2019-11-11,77.45999908447266
2020-01-29,77.31999969482422
2020-04-17,77.47000122070312
2018-07-24,77.94000244140625
2018-09-26,78.87999725341797
2019-05-08,78.05999755859375
2019-03-05,78.12999725341797
2019-02-01,78.56999969482422
2018-12-31,79.22000122070312
2018-11-29,79.7699966430664
2019-08-12,80.20999908447266
2019-07-11,79.16999816894531
2019-09-13,79.16999816894531
2019-11-14,79.86000061035156
2020-04-20,80.2699966430664
2020-02-04,81.94999694824219
2020-04-23,81.98999786376953
2018-12-14,82.13999938964844
2019-08-27,82.30000305175781
2018-08-08,82.29000091552734
2018-10-11,80.88999938964844
2018-11-12,81.08000183105469
2019-07-26,81.87000274658203
2019-06-24,79.58999633789062
2019-05-23,80.58999633789062
2019-03-20,80.36000061035156
2019-01-15,80.1500015258789
2019-11-20,81.95999908447266
2020-02-07,82.12999725341797
2020-02-10,83.37000274658203
2020-04-29,85.41000366210938
2019-11-26,93.69999694824219
2020-02-13,94.0
2019-01-30,95.12000274658203
2018-08-23,95.26000213623047
2018-09-24,96.8499984741211
2018-11-27,101.16000366210938
2018-10-26,100.0999984741211
2019-07-09,98.97000122070312
2019-06-07,96.12999725341797
2019-05-06,96.55999755859375
2019-04-04,94.68000030517578
2019-09-11,92.83000183105469
2019-11-29,89.44000244140625
2020-05-05,90.27999877929688
2019-12-02,92.62999725341797
2020-02-19,90.43000030517578
2020-05-08,91.61000061035156
2019-05-21,86.0999984741211
2019-03-18,83.2699966430664
2018-09-07,81.9800033569336
2018-08-06,82.86000061035156
2018-10-09,82.0199966430664
2019-02-14,80.1500015258789
2018-12-12,78.33999633789062
2019-07-24,77.5999984741211
2019-09-26,74.5999984741211
2019-10-28,74.7699966430664
2019-12-05,80.0
2020-05-11,74.9800033569336
2019-07-03,78.5
2020-02-25,77.7699966430664
2020-05-14,80.0
2020-02-28,82.54000091552734
2019-08-08,82.29000091552734
2019-06-05,83.04000091552734
2018-07-20,82.98999786376953
2018-08-21,85.05000305175781
2018-10-24,84.55999755859375
2019-04-02,84.48999786376953
2019-03-01,87.66000366210938
2019-01-28,86.5999984741211
2018-12-27,86.87999725341797
2019-09-09,84.58999633789062
2020-03-02,87.19000244140625
2020-05-20,87.91999816894531
2019-12-17,89.11000061035156
2020-03-05,92.75
2019-02-12,89.58000183105469
2019-01-11,89.25
2018-12-10,89.87999725341797
2019-08-23,90.68000030517578
2018-11-08,90.38999938964844
2019-07-22,91.31999969482422
2019-06-20,91.23999786376953
2018-09-05,89.04000091552734
2019-04-17,88.9000015258789
2019-09-24,87.73999786376953
2019-12-20,86.7699966430664
2020-05-26,88.77999877929688
2019-04-30,89.22000122070312
2019-12-23,90.3499984741211
2020-03-11,96.63999938964844
2020-05-29,96.4800033569336
2019-12-26,96.18000030517578
2020-06-01,94.38999938964844
2019-05-02,92.54000091552734
2019-02-27,95.0199966430664
2018-11-23,98.16000366210938
2019-08-06,98.41000366210938
2018-07-18,99.13999938964844
2018-09-20,98.75
2018-10-22,94.54000091552734
2019-07-05,96.91999816894531
2019-06-03,95.66000366210938
2019-10-09,97.5199966430664
2019-10-11,99.2699966430664
2020-03-17,99.95999908447266
2020-06-04,98.66000366210938
2019-10-14,100.91000366210938
2020-03-20,101.54000091552734
2018-11-06,101.30000305175781
2019-06-18,100.73999786376953
2019-05-17,102.18000030517578
2019-04-15,102.80999755859375
2019-03-14,104.51000213623047
2019-01-09,104.25
2018-08-02,101.31999969482422
2018-10-05,104.0
2019-08-21,103.0
2019-10-17,103.81999969482422
2020-03-23,107.33999633789062
2020-06-10,106.86000061035156
2019-02-25,103.69999694824219
2020-01-07,105.45999908447266
2020-03-26,109.77999877929688
2019-10-23,109.1500015258789
