Dates,PHM
2018-06-20,28.5711727142334
2018-06-21,28.36695671081543
2018-06-25,27.98769187927246
2018-06-22,27.462560653686523
2018-06-26,27.822372436523438
2018-06-27,27.39448356628418
2018-06-28,27.56953239440918
2018-06-29,27.95851707458496
2018-07-02,28.07521629333496
2018-07-03,28.055767059326172
2018-07-05,28.36695671081543
2018-07-16,28.503101348876953
2018-09-18,28.824016571044922
2019-01-24,28.687870025634766
2019-09-05,28.58089828491211
2018-11-21,28.81429100036621
2020-01-13,28.833740234375
2020-04-01,29.300527572631836
2020-06-19,30.06877899169922
2019-10-29,30.117399215698242
2020-01-16,30.428592681884766
2020-06-22,30.253543853759766
2018-10-03,29.97153091430664
2018-07-31,29.31024932861328
2019-03-12,28.182188034057617
2019-02-08,28.182188034057617
2019-01-07,27.355588912963867
2018-12-06,27.365310668945312
2019-08-19,27.70567512512207
2019-07-18,27.97796630859375
2019-05-15,27.773746490478516
2019-09-20,27.851547241210938
2019-11-01,27.92934226989746
2020-04-07,28.551721572875977
2020-06-25,28.61007308959961
2020-06-16,28.52254867553711
2019-11-04,27.948795318603516
2020-01-22,26.8887996673584
2019-11-07,27.083295822143555
2020-04-13,26.9763240814209
2019-07-01,27.277790069580078
2019-05-30,27.316686630249023
2018-08-15,27.355588912963867
2018-10-18,28.85318946838379
2019-03-27,28.5711727142334
2019-01-22,27.95851707458496
2018-12-21,27.76402473449707
2019-09-03,28.172456741333008
2018-11-19,27.657054901123047
2019-08-02,27.550079345703125
2020-01-28,27.141645431518555
2020-04-16,27.1805419921875
2019-11-13,27.22916603088379
2020-01-31,27.734851837158203
2018-12-04,27.297237396240234
2018-11-02,26.159448623657227
2019-07-16,26.149723052978516
2018-08-30,26.363664627075195
2018-10-01,26.7137508392334
2019-06-14,26.101099014282227
2019-05-13,26.27614402770996
2019-04-11,26.002941131591797
2019-02-06,26.285905838012695
2019-09-18,26.041975021362305
2020-02-03,25.74925422668457
2020-04-22,25.622411727905273
2019-11-19,25.066255569458008
2020-02-06,25.271154403686523
2019-11-22,24.910137176513672
2019-03-25,24.373489379882812
2019-02-21,24.16858673095703
2018-12-19,23.91490364074707
2018-07-12,24.0417423248291
2018-09-14,23.505098342895508
2018-08-13,23.212385177612305
2018-10-16,23.280685424804688
2019-07-31,23.6124267578125
2019-05-28,23.280685424804688
2019-04-26,22.997724533081055
2020-04-28,22.744035720825195
2019-11-25,22.3342342376709
2020-02-12,22.38302230834961
2020-05-01,23.046510696411133
2020-05-04,22.26593780517578
2019-06-12,21.895160675048828
2019-04-09,21.056039810180664
2019-03-08,20.373035430908203
2019-02-04,21.856130599975586
2018-07-27,21.60244369506836
2018-08-28,22.597679138183594
2019-01-03,23.348983764648438
2019-08-15,22.851364135742188
2018-10-31,24.295433044433594
2019-09-16,23.97344398498535
2020-02-18,24.06125831604004
2020-05-07,23.680728912353516
2018-08-17,24.13931655883789
2019-12-04,24.285673141479492
2020-02-21,24.490575790405273
2018-12-17,23.641698837280273
2019-08-30,23.846603393554688
2018-11-15,23.427043914794922
2019-07-29,23.797813415527344
2019-06-27,23.944175720214844
2019-04-24,23.524614334106445
2018-07-10,24.363733291625977
2018-09-12,24.607664108276367
2019-02-19,24.714994430541992
2019-01-18,25.0369815826416
2020-02-24,25.290668487548828
2020-05-13,25.55411148071289
2019-12-10,25.759014129638672
2020-02-27,26.090757369995117
2019-12-13,26.08100128173828
2020-05-19,25.8760986328125
2019-03-06,26.1688175201416
2018-11-30,25.007709503173828
2019-08-13,26.002941131591797
2019-07-12,25.593141555786133
2019-06-10,24.939409255981445
2019-05-09,25.12479591369629
2018-07-25,25.51508140563965
2018-09-27,25.183338165283203
2018-10-29,24.98819351196289
2019-10-16,25.12537956237793
2019-12-16,25.938724517822266
2020-03-04,25.28217124938965
2020-05-22,25.28217124938965
2019-10-01,24.62561798095703
2019-12-19,24.18465232849121
2018-09-10,25.331167221069336
2019-05-24,25.478158950805664
2018-08-09,25.517356872558594
2019-04-22,25.468358993530273
2019-03-21,25.713340759277344
2019-01-16,25.41936492919922
2019-08-28,26.65407371520996
2018-11-13,27.643798828125
2018-10-12,27.77119255065918
2019-06-25,28.36894989013672
2020-03-10,28.0357723236084
2020-05-28,28.006376266479492
2019-10-07,27.300825119018555
2020-03-13,27.506610870361328
2019-10-10,26.820659637451172
