Dates,VNO
2018-06-20,771200.0
2018-06-21,1266700.0
2018-06-25,1813900.0
2018-06-22,894000.0
2018-06-26,2197400.0
2018-06-27,1164400.0
2018-06-28,1147200.0
2018-06-29,1193100.0
2018-07-02,1107900.0
2018-07-03,466300.0
2018-07-05,968800.0
2018-07-16,758300.0
2018-09-18,768700.0
2019-01-24,694000.0
2019-09-05,617600.0
2018-11-21,611600.0
2020-01-13,541500.0
2020-04-01,520400.0
2020-06-19,930800.0
2019-10-29,728600.0
2020-01-16,718000.0
2020-06-22,679400.0
2018-10-03,481200.0
2018-07-31,1026900.0
2019-03-12,643400.0
2019-02-08,686100.0
2019-01-07,649100.0
2018-12-06,981400.0
2019-08-19,1153200.0
2019-07-18,804300.0
2019-05-15,762400.0
2019-09-20,422500.0
2019-11-01,671500.0
2020-04-07,588600.0
2020-06-25,760200.0
2020-06-16,673400.0
2019-11-04,776500.0
2020-01-22,778400.0
2019-11-07,561800.0
2020-04-13,1157100.0
2019-07-01,1094300.0
2019-05-30,1841000.0
2018-08-15,1267000.0
2018-10-18,982100.0
2019-03-27,611000.0
2019-01-22,619900.0
2018-12-21,771200.0
2019-09-03,774300.0
2018-11-19,937800.0
2019-08-02,949100.0
2020-01-28,621300.0
2020-04-16,648800.0
2019-11-13,662000.0
2020-01-31,1172800.0
2018-12-04,775200.0
2018-11-02,485100.0
2019-07-16,1177100.0
2018-08-30,781300.0
2018-10-01,590200.0
2019-06-14,756400.0
2019-05-13,749600.0
2019-04-11,851700.0
2019-02-06,713900.0
2019-09-18,775000.0
2020-02-03,1072800.0
2020-04-22,1794000.0
2019-11-19,784500.0
2020-02-06,974000.0
2019-11-22,725100.0
2019-03-25,932700.0
2019-02-21,1173500.0
2018-12-19,893700.0
2018-07-12,658200.0
2018-09-14,619300.0
2018-08-13,819800.0
2018-10-16,508600.0
2019-07-31,1084000.0
2019-05-28,1153800.0
2019-04-26,1266700.0
2020-04-28,1197200.0
2019-11-25,875800.0
2020-02-12,732700.0
2020-05-01,713300.0
2020-05-04,671100.0
2019-06-12,928400.0
2019-04-09,932800.0
2019-03-08,647900.0
2019-02-04,839800.0
2018-07-27,1149500.0
2018-08-28,858600.0
2019-01-03,919400.0
2019-08-15,958700.0
2018-10-31,1348400.0
2019-09-16,1583800.0
2020-02-18,839100.0
2020-05-07,838500.0
2018-08-17,797200.0
2019-12-04,1097100.0
2020-02-21,753000.0
2018-12-17,1010800.0
2019-08-30,843400.0
2018-11-15,1006800.0
2019-07-29,1225100.0
2019-06-27,1797900.0
2019-04-24,1630500.0
2018-07-10,1117800.0
2018-09-12,1126900.0
2019-02-19,1486200.0
2019-01-18,1003600.0
2020-02-24,317100.0
2020-05-13,862400.0
2019-12-10,949900.0
2020-02-27,1234400.0
2019-12-13,1264700.0
2020-05-19,1569800.0
2019-03-06,1384100.0
2018-11-30,1839300.0
2019-08-13,1467400.0
2019-07-12,819300.0
2019-06-10,777600.0
2019-05-09,609400.0
2018-07-25,1101300.0
2018-09-27,1007600.0
2018-10-29,992100.0
2019-10-16,1247200.0
2019-12-16,794900.0
2020-03-04,1193100.0
2020-05-22,1319000.0
2019-10-01,2016300.0
2019-12-19,632900.0
2018-09-10,973700.0
2019-05-24,1087000.0
2018-08-09,863300.0
2019-04-22,905500.0
2019-03-21,844500.0
2019-01-16,931300.0
2019-08-28,616500.0
2018-11-13,882800.0
2018-10-12,893300.0
2019-06-25,1113500.0
2020-03-10,1237500.0
2020-05-28,681200.0
2019-10-07,969300.0
2020-03-13,709900.0
2019-10-10,834700.0
2020-03-16,716500.0
2020-06-03,865100.0
2018-11-28,979100.0
2018-09-25,858500.0
2018-07-23,979700.0
2018-08-24,901800.0
2019-07-10,924800.0
2019-05-07,691800.0
2019-04-05,1142700.0
2019-03-04,2029200.0
2019-01-31,1502400.0
2019-09-12,938000.0
2019-12-31,1589500.0
2020-03-19,787800.0
2020-01-03,1377100.0
2020-06-09,1372700.0
2019-02-15,1569600.0
2019-01-14,2039300.0
2018-07-06,1177800.0
2018-08-07,818800.0
2018-10-10,1448100.0
2018-12-13,1062500.0
2019-08-26,1024000.0
2019-07-25,540200.0
2019-05-22,535500.0
2019-03-19,606800.0
2020-01-06,760700.0
2020-03-25,984300.0
2020-06-12,1540600.0
2019-10-22,1126500.0
2020-01-09,786200.0
2020-06-15,463900.0
2019-10-25,572300.0
2020-03-31,788100.0
2020-06-18,581200.0
2019-04-03,479400.0
2018-08-22,586300.0
2018-10-25,616100.0
2019-01-29,1149800.0
2018-12-28,1774200.0
2018-11-26,915900.0
2019-08-09,878900.0
2019-07-08,816800.0
2019-06-06,1073400.0
2019-09-10,1005400.0
2020-01-15,1100700.0
2020-04-03,931400.0
2019-10-31,1017700.0
2020-04-06,838400.0
2020-06-24,1132800.0
2018-11-09,604300.0
2019-07-23,675900.0
2019-06-21,662400.0
2019-05-20,589300.0
2019-04-18,644700.0
2018-09-06,946200.0
2018-10-08,979400.0
2019-02-13,1152900.0
2018-12-11,710100.0
2019-09-25,720000.0
2020-01-21,559300.0
2020-04-09,1173000.0
2019-11-06,1122100.0
2020-01-24,1159000.0
2020-01-27,2516900.0
2020-04-15,1509100.0
2018-12-26,780400.0
2019-08-07,566400.0
2019-06-04,440600.0
2018-09-21,944100.0
2018-07-19,1387500.0
2018-08-20,1311900.0
2018-10-23,1186900.0
2019-05-03,1388100.0
2019-04-01,1197900.0
2019-02-28,2858900.0
2019-11-12,1132000.0
2020-01-30,1165200.0
2019-11-15,870800.0
2020-04-21,1060500.0
2019-04-16,1417100.0
2019-03-15,1169700.0
2019-02-11,575200.0
2019-01-10,828500.0
2019-08-22,557000.0
2018-11-07,965100.0
2018-08-03,785900.0
2018-09-04,840400.0
2019-06-19,782900.0
2019-09-23,1392000.0
2019-11-18,915700.0
2020-02-05,733300.0
2020-04-24,854700.0
