Dates,VNO
2018-06-20,71.5999984741211
2018-06-21,72.06999969482422
2018-06-25,72.88999938964844
2018-06-22,72.80000305175781
2018-06-26,73.25
2018-06-27,72.94999694824219
2018-06-28,72.7300033569336
2018-06-29,73.04000091552734
2018-07-02,72.33999633789062
2018-07-03,73.30000305175781
2018-07-05,74.05999755859375
2018-07-16,74.91999816894531
2018-09-18,73.80999755859375
2019-01-24,73.73999786376953
2019-09-05,73.52999877929688
2018-11-21,73.5
2020-01-13,73.72000122070312
2020-04-01,73.12999725341797
2020-06-19,72.2300033569336
2019-10-29,71.66000366210938
2020-01-16,71.62999725341797
2020-06-22,72.08999633789062
2018-10-03,70.7699966430664
2018-07-31,71.2300033569336
2019-03-12,71.5999984741211
2019-02-08,71.45999908447266
2019-01-07,70.19999694824219
2018-12-06,69.5
2019-08-19,69.8499984741211
2019-07-18,71.0999984741211
2019-05-15,71.69000244140625
2019-09-20,71.19999694824219
2019-11-01,71.88999938964844
2020-04-07,72.01000213623047
2020-06-25,72.58000183105469
2020-06-16,72.70999908447266
2019-11-04,72.75
2020-01-22,72.30999755859375
2019-11-07,72.38999938964844
2020-04-13,73.20999908447266
2019-07-01,74.9000015258789
2019-05-30,76.27999877929688
2018-08-15,76.5999984741211
2018-10-18,75.7699966430664
2019-03-27,75.54000091552734
2019-01-22,75.66000366210938
2018-12-21,75.83000183105469
2019-09-03,75.51000213623047
2018-11-19,75.70999908447266
2019-08-02,76.48999786376953
2020-01-28,76.47000122070312
2020-04-16,76.55999755859375
2019-11-13,75.23999786376953
2020-01-31,75.02999877929688
2018-12-04,75.9800033569336
2018-11-02,75.29000091552734
2019-07-16,75.77999877929688
2018-08-30,75.48999786376953
2018-10-01,75.37000274658203
2019-06-14,75.16999816894531
2019-05-13,74.30999755859375
2019-04-11,74.69999694824219
2019-02-06,74.47000122070312
2019-09-18,73.75
2020-02-03,73.43000030517578
2020-04-22,74.41000366210938
2019-11-19,73.08000183105469
2020-02-06,73.22000122070312
2019-11-22,71.9000015258789
2019-03-25,71.80999755859375
2019-02-21,71.97000122070312
2018-12-19,72.12999725341797
2018-07-12,72.08000183105469
2018-09-14,70.83999633789062
2018-08-13,70.37999725341797
2018-10-16,70.23999786376953
2019-07-31,70.66999816894531
2019-05-28,70.97000122070312
2019-04-26,70.44000244140625
2020-04-28,67.76000213623047
2019-11-25,67.12999725341797
2020-02-12,67.2699966430664
2020-05-01,67.12999725341797
2020-05-04,67.76000213623047
2019-06-12,67.66000366210938
2019-04-09,67.73999786376953
2019-03-08,66.69000244140625
2019-02-04,66.04000091552734
2018-07-27,66.62000274658203
2018-08-28,66.8499984741211
2019-01-03,66.5
2019-08-15,67.55000305175781
2018-10-31,67.2699966430664
2019-09-16,67.79000091552734
2020-02-18,67.4000015258789
2020-05-07,66.0199966430664
2018-08-17,67.12999725341797
2019-12-04,67.72000122070312
2020-02-21,68.69000244140625
2018-12-17,69.19999694824219
2019-08-30,69.47000122070312
2018-11-15,70.0
2019-07-29,69.76000213623047
2019-06-27,70.66999816894531
2019-04-24,69.41999816894531
2018-07-10,70.0999984741211
2018-09-12,70.56999969482422
2019-02-19,70.04000091552734
2019-01-18,69.55999755859375
2020-02-24,68.94999694824219
2020-05-13,68.94000244140625
2019-12-10,68.73999786376953
2020-02-27,69.16000366210938
2019-12-13,70.20999908447266
2020-05-19,70.62000274658203
2019-03-06,71.29000091552734
2018-11-30,70.58999633789062
2019-08-13,68.7699966430664
2019-07-12,70.41000366210938
2019-06-10,69.30999755859375
2019-05-09,69.9000015258789
2018-07-25,68.30999755859375
2018-09-27,68.48999786376953
2018-10-29,68.13999938964844
2019-10-16,65.63999938964844
2019-12-16,65.77999877929688
2020-03-04,64.2699966430664
2020-05-22,62.810001373291016
2019-10-01,62.310001373291016
2019-12-19,60.189998626708984
2018-09-10,59.47999954223633
2019-05-24,60.0099983215332
2018-08-09,61.25
2019-04-22,61.220001220703125
2019-03-21,59.970001220703125
2019-01-16,59.95000076293945
2019-08-28,60.41999816894531
2018-11-13,61.33000183105469
2018-10-12,62.52000045776367
2019-06-25,63.5099983215332
2020-03-10,63.63999938964844
2020-05-28,64.31999969482422
2019-10-07,63.91999816894531
2020-03-13,63.91999816894531
2019-10-10,64.4000015258789
2020-03-16,64.9000015258789
2020-06-03,65.27999877929688
2018-11-28,65.23999786376953
2018-09-25,65.30000305175781
2018-07-23,64.70999908447266
2018-08-24,65.08000183105469
2019-07-10,65.70999908447266
2019-05-07,66.91000366210938
2019-04-05,67.36000061035156
2019-03-04,68.20999908447266
2019-01-31,68.18000030517578
2019-09-12,68.81999969482422
2019-12-31,69.73999786376953
2020-03-19,69.63999938964844
2020-01-03,69.11000061035156
2020-06-09,69.5199966430664
2019-02-15,69.5199966430664
2019-01-14,68.37999725341797
2018-07-06,68.19999694824219
2018-08-07,68.05999755859375
2018-10-10,68.37999725341797
2018-12-13,68.58000183105469
2019-08-26,67.72000122070312
2019-07-25,67.3499984741211
2019-05-22,68.41000366210938
2019-03-19,68.19999694824219
2020-01-06,67.52999877929688
2020-03-25,66.30999755859375
2020-06-12,66.75
2019-10-22,66.19000244140625
2020-01-09,66.66000366210938
2020-06-15,67.3499984741211
2019-10-25,67.91999816894531
2020-03-31,67.19000244140625
2020-06-18,67.2300033569336
2019-04-03,67.5199966430664
2018-08-22,68.75
2018-10-25,69.02999877929688
2019-01-29,68.41000366210938
2018-12-28,67.19000244140625
2018-11-26,66.48999786376953
2019-08-09,66.2699966430664
2019-07-08,65.91000366210938
2019-06-06,66.38999938964844
2019-09-10,66.70999908447266
2020-01-15,66.4000015258789
2020-04-03,66.62999725341797
2019-10-31,66.5
2020-04-06,66.79000091552734
2020-06-24,67.3499984741211
2018-11-09,66.66000366210938
2019-07-23,67.23999786376953
2019-06-21,68.23999786376953
2019-05-20,68.58000183105469
2019-04-18,68.91999816894531
2018-09-06,68.44000244140625
2018-10-08,67.69000244140625
2019-02-13,67.30999755859375
2018-12-11,67.5999984741211
2019-09-25,67.2699966430664
2020-01-21,67.48999786376953
2020-04-09,66.05000305175781
2019-11-06,65.66999816894531
2020-01-24,66.11000061035156
2020-01-27,67.25
2020-04-15,67.81999969482422
2018-12-26,69.73999786376953
2019-08-07,69.13999938964844
2019-06-04,69.27999877929688
2018-09-21,68.5999984741211
2018-07-19,67.97000122070312
2018-08-20,68.79000091552734
2018-10-23,67.86000061035156
2019-05-03,66.80999755859375
2019-04-01,66.55000305175781
2019-02-28,66.08000183105469
2019-11-12,65.97000122070312
2020-01-30,65.19999694824219
2019-11-15,65.68000030517578
2020-04-21,65.83000183105469
2019-04-16,66.12999725341797
2019-03-15,65.80000305175781
2019-02-11,66.68000030517578
2019-01-10,66.23999786376953
2019-08-22,65.77999877929688
2018-11-07,66.20999908447266
2018-08-03,66.5
2018-09-04,66.44000244140625
2019-06-19,67.27999877929688
2019-09-23,67.3499984741211
2019-11-18,66.12000274658203
