Dates,DVA
2018-06-20,72.44000244140625
2018-06-21,72.08000183105469
2018-06-25,71.94999694824219
2018-06-22,71.30999755859375
2018-06-26,71.51000213623047
2018-06-27,70.80000305175781
2018-06-28,70.1500015258789
2018-06-29,69.44000244140625
2018-07-02,69.4800033569336
2018-07-03,69.16999816894531
2018-07-05,69.2699966430664
2018-07-16,70.22000122070312
2018-09-18,70.62000274658203
2019-01-24,70.5999984741211
2019-09-05,69.63999938964844
2018-11-21,71.5
2020-01-13,71.7699966430664
2020-04-01,71.70999908447266
2020-06-19,71.31999969482422
2019-10-29,70.61000061035156
2020-01-16,70.56999969482422
2020-06-22,69.9800033569336
2018-10-03,70.87999725341797
2018-07-31,70.06999969482422
2019-03-12,69.4800033569336
2019-02-08,70.18000030517578
2019-01-07,69.66999816894531
2018-12-06,69.80999755859375
2019-08-19,70.27999877929688
2019-07-18,70.33999633789062
2019-05-15,74.0999984741211
2019-09-20,74.55000305175781
2019-11-01,73.02999877929688
2020-04-07,72.83999633789062
2020-06-25,73.33999633789062
2020-06-16,72.6500015258789
2019-11-04,71.79000091552734
2020-01-22,72.05000305175781
2019-11-07,72.18000030517578
2020-04-13,71.88999938964844
2019-07-01,72.87000274658203
2019-05-30,72.48999786376953
2018-08-15,72.45999908447266
2018-10-18,72.30000305175781
2019-03-27,72.05000305175781
2019-01-22,72.0199966430664
2018-12-21,72.83000183105469
2019-09-03,72.16000366210938
2018-11-19,72.22000122070312
2019-08-02,73.05000305175781
2020-01-28,66.51000213623047
2020-04-16,69.29000091552734
2019-11-13,67.68000030517578
2020-01-31,67.08999633789062
2018-12-04,67.83000183105469
2018-11-02,67.23999786376953
2019-07-16,67.38999938964844
2018-08-30,66.55999755859375
2018-10-01,67.55999755859375
2019-06-14,71.33000183105469
2019-05-13,70.77999877929688
2019-04-11,70.36000061035156
2019-02-06,70.70999908447266
2019-09-18,70.1500015258789
2020-02-03,70.41999816894531
2020-04-22,69.91999816894531
2019-11-19,70.13999938964844
2020-02-06,69.94000244140625
2019-11-22,70.12999725341797
2019-03-25,71.23999786376953
2019-02-21,71.62999725341797
2018-12-19,74.04000091552734
2018-07-12,72.75
2018-09-14,72.41999816894531
2018-08-13,72.83000183105469
2018-10-16,72.05000305175781
2019-07-31,73.30000305175781
2019-05-28,74.83999633789062
2019-04-26,73.01000213623047
2020-04-28,70.16999816894531
2019-11-25,68.93000030517578
2020-02-12,69.95999908447266
2020-05-01,70.43000030517578
2020-05-04,68.36000061035156
2019-06-12,68.94999694824219
2019-04-09,67.6500015258789
2019-03-08,66.98999786376953
2019-02-04,67.88999938964844
2018-07-27,65.33000183105469
2018-08-28,65.33999633789062
2019-01-03,65.08000183105469
2019-08-15,66.08999633789062
2018-10-31,66.76000213623047
2019-09-16,67.33999633789062
2020-02-18,68.52999877929688
2020-05-07,67.66000366210938
2018-08-17,68.56999969482422
2019-12-04,69.25
2020-02-21,76.08000183105469
2018-12-17,70.1500015258789
2019-08-30,69.69999694824219
2018-11-15,68.19999694824219
2019-07-29,64.47000122070312
2019-06-27,64.3499984741211
2019-04-24,64.63999938964844
2018-07-10,62.43000030517578
2018-09-12,60.45000076293945
2019-02-19,58.689998626708984
2019-01-18,59.630001068115234
2020-02-24,59.65999984741211
2020-05-13,60.779998779296875
2019-12-10,62.68000030517578
2020-02-27,65.61000061035156
2019-12-13,65.66000366210938
2020-05-19,66.05999755859375
2019-03-06,66.37999725341797
2018-11-30,64.06999969482422
2019-08-13,61.81999969482422
2019-07-12,58.959999084472656
2019-06-10,58.0099983215332
2019-05-09,57.56999969482422
2018-07-25,58.52000045776367
2018-09-27,59.400001525878906
2018-10-29,58.02000045776367
2019-10-16,56.70000076293945
2019-12-16,55.08000183105469
2020-03-04,53.380001068115234
2020-05-22,51.220001220703125
2019-10-01,49.81999969482422
2019-12-19,48.72999954223633
2018-09-10,50.81999969482422
2019-05-24,50.68000030517578
2018-08-09,50.369998931884766
2019-04-22,51.459999084472656
2019-03-21,51.72999954223633
2019-01-16,50.97999954223633
2019-08-28,54.0
2018-11-13,54.369998931884766
2018-10-12,54.060001373291016
2019-06-25,53.91999816894531
2020-03-10,55.15999984741211
2020-05-28,56.06999969482422
2019-10-07,55.959999084472656
2020-03-13,56.77000045776367
2019-10-10,57.27000045776367
2020-03-16,56.720001220703125
2020-06-03,57.369998931884766
2018-11-28,56.849998474121094
2018-09-25,56.959999084472656
2018-07-23,56.38999938964844
2018-08-24,57.09000015258789
2019-07-10,56.06999969482422
2019-05-07,56.61000061035156
2019-04-05,55.84000015258789
2019-03-04,56.130001068115234
2019-01-31,56.29999923706055
2019-09-12,56.599998474121094
2019-12-31,56.849998474121094
2020-03-19,56.150001525878906
2020-01-03,57.029998779296875
2020-06-09,56.130001068115234
2019-02-15,55.9900016784668
2019-01-14,57.36000061035156
2018-07-06,57.91999816894531
2018-08-07,58.09000015258789
2018-10-10,59.099998474121094
2018-12-13,59.13999938964844
2019-08-26,59.060001373291016
2019-07-25,59.209999084472656
2019-05-22,58.70000076293945
2019-03-19,58.2400016784668
2020-01-06,57.9900016784668
2020-03-25,56.91999816894531
2020-06-12,56.900001525878906
2019-10-22,57.04999923706055
2020-01-09,55.439998626708984
2020-06-15,53.099998474121094
2019-10-25,51.040000915527344
2020-03-31,50.540000915527344
2020-06-18,49.95000076293945
2019-04-03,50.470001220703125
2018-08-22,51.33000183105469
2018-10-25,53.599998474121094
2019-01-29,53.58000183105469
2018-12-28,53.529998779296875
2018-11-26,52.06999969482422
2019-08-09,53.90999984741211
