Dates,DVA
2018-06-20,72.25
2018-06-21,71.77999877929688
2018-06-25,71.8499984741211
2018-06-22,70.94000244140625
2018-06-26,70.88999938964844
2018-06-27,70.80000305175781
2018-06-28,68.29000091552734
2018-06-29,69.41999816894531
2018-07-02,68.86000061035156
2018-07-03,69.05000305175781
2018-07-05,68.63999938964844
2018-07-16,69.31999969482422
2018-09-18,70.2300033569336
2019-01-24,70.48999786376953
2019-09-05,69.5199966430664
2018-11-21,69.76000213623047
2020-01-13,71.30000305175781
2020-04-01,71.31999969482422
2020-06-19,71.23999786376953
2019-10-29,70.4000015258789
2020-01-16,69.56999969482422
2020-06-22,69.83000183105469
2018-10-03,70.08000183105469
2018-07-31,69.9000015258789
2019-03-12,69.16000366210938
2019-02-08,69.29000091552734
2019-01-07,69.41000366210938
2018-12-06,69.3499984741211
2019-08-19,69.43000030517578
2019-07-18,69.7699966430664
2019-05-15,70.5199966430664
2019-09-20,73.48999786376953
2019-11-01,72.91999816894531
2020-04-07,71.31999969482422
2020-06-25,72.55999755859375
2020-06-16,72.63999938964844
2019-11-04,71.5199966430664
2020-01-22,71.19999694824219
2019-11-07,71.76000213623047
2020-04-13,70.54000091552734
2019-07-01,71.88999938964844
2019-05-30,71.58000183105469
2018-08-15,71.9800033569336
2018-10-18,71.9000015258789
2019-03-27,71.83999633789062
2019-01-22,71.06999969482422
2018-12-21,71.5199966430664
2019-09-03,72.13999938964844
2018-11-19,71.54000091552734
2019-08-02,72.27999877929688
2020-01-28,65.54000091552734
2020-04-16,66.5
2019-11-13,67.44000244140625
2020-01-31,66.81999969482422
2018-12-04,67.26000213623047
2018-11-02,67.20999908447266
2019-07-16,67.12999725341797
2018-08-30,66.19000244140625
2018-10-01,66.66000366210938
2019-06-14,69.58999633789062
2019-05-13,70.4000015258789
2019-04-11,70.11000061035156
2019-02-06,70.16000366210938
2019-09-18,70.11000061035156
2020-02-03,70.19999694824219
2020-04-22,69.80000305175781
2019-11-19,69.22000122070312
2020-02-06,69.88999938964844
2019-11-22,69.91999816894531
2019-03-25,70.22000122070312
2019-02-21,71.0999984741211
2018-12-19,73.0
2018-07-12,72.44999694824219
2018-09-14,71.87999725341797
2018-08-13,71.80999755859375
2018-10-16,71.79000091552734
2019-07-31,71.76000213623047
2019-05-28,73.13999938964844
2019-04-26,72.88999938964844
2020-04-28,69.80000305175781
2019-11-25,68.01000213623047
2020-02-12,68.93000030517578
2020-05-01,69.55999755859375
2020-05-04,65.98999786376953
2019-06-12,67.41999816894531
2019-04-09,67.4000015258789
2019-03-08,66.69999694824219
2019-02-04,65.69000244140625
2018-07-27,65.16999816894531
2018-08-28,65.18000030517578
2019-01-03,63.93000030517578
2019-08-15,65.41000366210938
2018-10-31,65.61000061035156
2019-09-16,66.8499984741211
2020-02-18,67.5
2020-05-07,67.22000122070312
2018-08-17,67.66000366210938
2019-12-04,68.02999877929688
2020-02-21,74.98999786376953
2018-12-17,68.6500015258789
2019-08-30,68.44999694824219
2018-11-15,68.05999755859375
2019-07-29,64.12999725341797
2019-06-27,63.63999938964844
2019-04-24,62.81999969482422
2018-07-10,61.84000015258789
2018-09-12,60.380001068115234
2019-02-19,58.68000030517578
2019-01-18,59.0
2020-02-24,58.97999954223633
2020-05-13,59.119998931884766
2019-12-10,60.560001373291016
2020-02-27,63.619998931884766
2019-12-13,65.0
2020-05-19,65.0999984741211
2019-03-06,65.81999969482422
2018-11-30,63.91999816894531
2019-08-13,59.189998626708984
2019-07-12,58.65999984741211
2019-06-10,56.88999938964844
2019-05-09,57.36000061035156
2018-07-25,58.060001373291016
2018-09-27,58.66999816894531
2018-10-29,57.43000030517578
2019-10-16,56.0099983215332
2019-12-16,54.90999984741211
2020-03-04,53.0
2020-05-22,50.75
2019-10-01,49.61000061035156
2019-12-19,48.65999984741211
2018-09-10,48.25
2019-05-24,48.68000030517578
2018-08-09,50.15999984741211
2019-04-22,50.529998779296875
2019-03-21,50.75
2019-01-16,50.630001068115234
2019-08-28,51.540000915527344
2018-11-13,53.47999954223633
2018-10-12,53.0
2019-06-25,53.470001220703125
2020-03-10,53.65999984741211
2020-05-28,54.59000015258789
2019-10-07,55.34000015258789
2020-03-13,55.77000045776367
2019-10-10,56.630001068115234
2020-03-16,56.459999084472656
2020-06-03,56.880001068115234
2018-11-28,56.130001068115234
