Dates,AMZN
2007-02-12,38.849998474121094
2007-02-13,39.310001373291016
2007-02-15,40.13999938964844
2007-02-14,40.060001373291016
2007-02-16,40.33000183105469
2007-02-20,41.5099983215332
2007-02-21,41.2599983215332
2007-02-22,41.0
2007-02-23,40.779998779296875
2007-02-26,40.880001068115234
2007-02-27,38.83000183105469
2007-03-28,39.13999938964844
2007-11-07,38.849998474121094
2007-09-04,37.689998626708984
2007-08-03,37.04999923706055
2008-04-15,38.58000183105469
2008-05-21,38.36000061035156
2008-08-08,38.099998474121094
2008-08-11,38.84000015258789
2008-01-25,38.810001373291016
2007-05-14,37.81999969482422
2007-04-12,38.08000183105469
2007-12-24,37.779998779296875
2007-09-19,37.849998474121094
2008-04-30,38.45000076293945
2007-07-17,38.58000183105469
2007-06-15,39.79999923706055
2008-02-26,39.4900016784668
2008-05-27,38.97999954223633
2008-08-14,39.0099983215332
2008-05-30,39.369998931884766
2008-08-20,39.34000015258789
2007-08-01,39.810001373291016
2008-03-12,39.790000915527344
2007-03-26,40.41999816894531
2007-05-29,41.189998626708984
2007-04-27,41.529998779296875
2008-01-08,41.68000030517578
2007-12-07,41.65999984741211
2007-11-05,41.86000061035156
2007-10-04,41.68000030517578
2008-05-15,42.27000045776367
2008-06-05,42.40999984741211
2008-08-26,45.20000076293945
2007-10-19,45.06999969482422
2007-09-17,44.9900016784668
2007-08-16,44.63999938964844
2008-04-28,44.95000076293945
2007-04-10,44.77000045776367
2007-03-09,44.75
2007-06-13,56.810001373291016
2008-03-27,62.779998779296875
2008-01-23,62.599998474121094
2007-11-20,61.33000183105469
2008-06-11,62.040000915527344
2008-08-29,61.18000030517578
2007-12-05,62.189998626708984
2007-10-02,63.22999954223633
2007-04-25,60.81999969482422
2007-08-31,61.83000183105469
2007-07-30,62.849998474121094
2008-04-11,60.91999816894531
2007-06-28,61.560001373291016
2008-03-10,61.70000076293945
2008-02-07,60.58000183105469
2008-05-13,63.220001220703125
2008-06-23,62.16999816894531
2007-07-13,63.29999923706055
2008-03-25,68.30000305175781
2008-02-22,68.87999725341797
2007-12-20,69.0
2007-05-10,69.3499984741211
2007-03-07,68.55000305175781
2007-06-11,69.62999725341797
2007-10-17,69.86000061035156
2007-08-14,69.13999938964844
2008-05-28,68.58000183105469
2008-06-26,70.41999816894531
2007-05-31,73.6500015258789
2008-07-02,72.29000091552734
2007-08-29,72.04000091552734
2008-04-09,73.23999786376953
2007-06-26,71.16999816894531
2008-02-05,70.06999969482422
2008-01-04,70.88999938964844
2007-03-22,71.94000244140625
2007-05-25,72.4000015258789
2007-04-23,71.83000183105469
2007-12-03,69.80999755859375
2007-11-01,69.0999984741211
2008-07-08,69.66999816894531
2007-12-18,68.86000061035156
2007-11-16,68.66000366210938
2007-10-15,67.4800033569336
2007-09-13,68.13999938964844
2008-04-24,68.88999938964844
2007-07-11,68.41000366210938
2008-02-20,69.61000061035156
2007-03-05,69.44999694824219
2007-05-08,68.7300033569336
2008-06-27,68.97000122070312
2008-07-11,72.06999969482422
2008-07-14,70.27999877929688
2008-03-06,70.7300033569336
2007-05-23,72.79000091552734
2008-01-02,75.0999984741211
2007-03-20,73.69000244140625
2007-10-30,73.79000091552734
2007-09-28,73.31999969482422
2007-08-27,73.3499984741211
2007-07-26,71.62999725341797
2008-04-07,71.73999786376953
2008-05-09,69.25
2008-07-23,86.18000030517578
2007-09-11,84.01000213623047
2007-04-04,84.04000091552734
2007-06-07,82.69999694824219
2007-08-10,78.54000091552734
2008-04-22,77.30999755859375
2007-07-09,79.70999908447266
2008-01-17,76.80000305175781
2007-11-14,79.0
2008-06-25,79.13999938964844
2008-08-28,77.77999877929688
2008-07-29,74.11000061035156
2007-11-29,74.77999877929688
2007-05-21,74.87000274658203
2007-04-19,73.44999694824219
2007-09-26,72.37999725341797
2007-07-24,72.79000091552734
2007-06-22,75.0199966430664
2008-03-04,74.69999694824219
2008-02-01,77.48999786376953
2007-12-31,78.5
2008-05-07,77.30000305175781
2008-08-01,79.25
2008-08-04,78.6500015258789
2008-08-07,76.22000122070312
2008-01-15,79.05000305175781
2007-12-14,78.68000030517578
2007-04-02,79.91000366210938
2007-03-01,82.69999694824219
2007-05-04,83.75
2007-06-05,86.20999908447266
2007-11-12,84.5199966430664
2007-10-11,83.33999633789062
2007-08-08,86.27999877929688
2008-03-19,87.30000305175781
2008-05-23,87.26000213623047
2008-08-13,87.7699966430664
2007-08-23,86.91000366210938
2008-04-03,88.75
2007-06-20,89.0
2008-01-30,89.6500015258789
2007-04-17,91.30000305175781
2007-03-16,92.58999633789062
2007-11-27,93.4800033569336
2007-10-26,93.43000030517578
2007-09-24,93.37999725341797
2008-05-05,93.1500015258789
2008-05-29,93.41000366210938
2008-03-14,92.36000061035156
2008-08-19,92.45999908447266
2008-06-04,92.26000213623047
2008-08-22,93.43000030517578
2007-10-09,95.8499984741211
2007-09-07,95.31999969482422
2007-08-06,94.66000366210938
2008-04-18,89.33999633789062
2007-07-05,92.37000274658203
2008-03-17,90.52999877929688
2007-05-02,89.52999877929688
2008-02-14,90.55000305175781
2007-12-12,89.8499984741211
2008-05-20,89.76000213623047
2008-08-25,91.29000091552734
2008-06-10,100.81999969482422
2008-01-28,88.7300033569336
2007-12-27,88.20999908447266
2007-10-24,90.0
2007-08-21,90.0999984741211
2007-03-14,88.23999786376953
2007-05-17,89.1500015258789
2007-06-18,87.6500015258789
2007-07-20,85.9800033569336
2008-04-01,84.37000274658203
2008-02-29,87.2699966430664
2008-06-13,87.04000091552734
2008-01-10,83.58000183105469
