Dates,BSX
2018-06-20,6642500.0
2018-06-21,4500800.0
2018-06-25,8499400.0
2018-06-22,4098100.0
2018-06-26,5636300.0
2018-06-27,5918800.0
2018-06-28,5674100.0
2018-06-29,8657000.0
2018-07-02,4860900.0
2018-07-03,4173000.0
2018-07-05,6763300.0
2018-07-16,4170600.0
2018-09-18,3770700.0
2019-01-24,6807000.0
2019-09-05,4038300.0
2018-11-21,4704200.0
2020-01-13,4994400.0
2020-04-01,7234800.0
2020-06-19,8800400.0
2019-10-29,6430900.0
2020-01-16,2756800.0
2020-06-22,5145300.0
2018-10-03,5941400.0
2018-07-31,9193600.0
2019-03-12,11988600.0
2019-02-08,6327900.0
2019-01-07,5458800.0
2018-12-06,9844900.0
2019-08-19,9438100.0
2019-07-18,5737200.0
2019-05-15,6269200.0
2019-09-20,4425900.0
2019-11-01,5421800.0
2020-04-07,4189200.0
2020-06-25,9790800.0
2020-06-16,8309200.0
2019-11-04,4486000.0
2020-01-22,4552800.0
2019-11-07,7462400.0
2020-04-13,16216500.0
2019-07-01,7195700.0
2019-05-30,5113900.0
2018-08-15,5244100.0
2018-10-18,6883900.0
2019-03-27,4153100.0
2019-01-22,3732400.0
2018-12-21,5511100.0
2019-09-03,4225400.0
2018-11-19,5539700.0
2019-08-02,6682600.0
2020-01-28,4220000.0
2020-04-16,5012800.0
2019-11-13,8512800.0
2020-01-31,5798700.0
2018-12-04,5033000.0
2018-11-02,4512500.0
2019-07-16,3765200.0
2018-08-30,5396400.0
2018-10-01,5704300.0
2019-06-14,14332500.0
2019-05-13,8119500.0
2019-04-11,6155600.0
2019-02-06,5847800.0
2019-09-18,4633100.0
2020-02-03,4742100.0
2020-04-22,7887700.0
2019-11-19,6910400.0
2020-02-06,8731800.0
2019-11-22,8444200.0
2019-03-25,5881200.0
2019-02-21,6482500.0
2018-12-19,8289700.0
2018-07-12,6064800.0
2018-09-14,5930200.0
2018-08-13,6461000.0
2018-10-16,5306100.0
2019-07-31,6896500.0
2019-05-28,6492100.0
2019-04-26,12220700.0
2020-04-28,11330600.0
2019-11-25,8744300.0
2020-02-12,5792700.0
2020-05-01,9195100.0
2020-05-04,9311700.0
2019-06-12,7009000.0
2019-04-09,8448500.0
2019-03-08,6492800.0
2019-02-04,10958100.0
2018-07-27,12603100.0
2018-08-28,8974900.0
2019-01-03,9468100.0
2019-08-15,11133700.0
2018-10-31,8167300.0
2019-09-16,9220600.0
2020-02-18,9581200.0
2020-05-07,4560900.0
2018-08-17,4764900.0
2019-12-04,4151000.0
2020-02-21,6746000.0
2018-12-17,5021300.0
2019-08-30,9208800.0
2018-11-15,6556700.0
2019-07-29,3622100.0
2019-06-27,5520800.0
2019-04-24,9055200.0
2018-07-10,7537500.0
2018-09-12,10485500.0
2019-02-19,19874400.0
2019-01-18,6972100.0
2020-02-24,2313400.0
2020-05-13,6987600.0
2019-12-10,7797000.0
2020-02-27,8455200.0
2019-12-13,6152800.0
2020-05-19,9795100.0
2019-03-06,8315200.0
2018-11-30,8966200.0
2019-08-13,9679700.0
2019-07-12,7395800.0
2019-06-10,5739000.0
2019-05-09,5806500.0
2018-07-25,6993700.0
2018-09-27,5070800.0
2018-10-29,6822500.0
2019-10-16,9913200.0
2019-12-16,9258600.0
2020-03-04,7302900.0
2020-05-22,9200700.0
2019-10-01,14305300.0
2019-12-19,4005000.0
2018-09-10,6578000.0
2019-05-24,7353600.0
2018-08-09,6441900.0
2019-04-22,4434600.0
2019-03-21,6336900.0
2019-01-16,10488900.0
2019-08-28,8072500.0
2018-11-13,6473900.0
2018-10-12,10263700.0
2019-06-25,7518100.0
2020-03-10,5123600.0
2020-05-28,5494500.0
2019-10-07,3817400.0
2020-03-13,10873900.0
2019-10-10,5535800.0
2020-03-16,6405200.0
2020-06-03,9464800.0
2018-11-28,5865900.0
2018-09-25,3862700.0
2018-07-23,5939700.0
2018-08-24,3919200.0
2019-07-10,5259000.0
2019-05-07,8032700.0
2019-04-05,13212500.0
2019-03-04,10807100.0
2019-01-31,6005200.0
2019-09-12,6794000.0
2019-12-31,11034200.0
2020-03-19,11376600.0
2020-01-03,9183500.0
2020-06-09,6419700.0
2019-02-15,5842000.0
2019-01-14,7507300.0
2018-07-06,6236600.0
2018-08-07,5203300.0
2018-10-10,10376200.0
2018-12-13,4050700.0
2019-08-26,7687500.0
2019-07-25,8418000.0
2019-05-22,9321500.0
2019-03-19,12139000.0
2020-01-06,4397300.0
2020-03-25,5260200.0
2020-06-12,5797300.0
2019-10-22,5828000.0
2020-01-09,7911500.0
2020-06-15,4268700.0
2019-10-25,3914200.0
2020-03-31,4793400.0
2020-06-18,4583100.0
2019-04-03,4580100.0
2018-08-22,3474200.0
2018-10-25,6060500.0
2019-01-29,6345700.0
2018-12-28,9811700.0
2018-11-26,19132300.0
2019-08-09,10570100.0
2019-07-08,9626800.0
2019-06-06,8094300.0
2019-09-10,6679900.0
2020-01-15,8377900.0
2020-04-03,7302500.0
2019-10-31,4763600.0
2020-04-06,4708800.0
2020-06-24,7767900.0
2018-11-09,11464900.0
2019-07-23,5725200.0
2019-06-21,6895800.0
2019-05-20,4049900.0
2019-04-18,4630100.0
2018-09-06,4870800.0
2018-10-08,4627500.0
2019-02-13,5896200.0
2018-12-11,4887600.0
2019-09-25,4800100.0
2020-01-21,5124100.0
2020-04-09,32945500.0
2019-11-06,16029700.0
2020-01-24,10281000.0
2020-01-27,7824200.0
2020-04-15,13874000.0
2018-12-26,19865500.0
2019-08-07,13209900.0
2019-06-04,9621600.0
2018-09-21,6018000.0
2018-07-19,7938900.0
2018-08-20,6081000.0
2018-10-23,10698600.0
2019-05-03,7869300.0
2019-04-01,7742300.0
2019-02-28,6403000.0
2019-11-12,7128900.0
2020-01-30,8510500.0
2019-11-15,7458700.0
2020-04-21,5476000.0
2019-04-16,6567200.0
2019-03-15,8536900.0
2019-02-11,7498800.0
2019-01-10,5482100.0
2019-08-22,5053300.0
2018-11-07,7933000.0
2018-08-03,3714200.0
2018-09-04,6282500.0
2019-06-19,8232400.0
2019-09-23,14470400.0
2019-11-18,6052500.0
2020-02-05,6964500.0
2020-04-24,6825900.0
2019-03-29,5730800.0
2019-11-21,6981900.0
2020-04-27,11081400.0
