Dates,BSX
2018-06-20,32.22999954223633
2018-06-21,32.150001525878906
2018-06-25,32.619998931884766
2018-06-22,32.119998931884766
2018-06-26,32.0
2018-06-27,31.850000381469727
2018-06-28,32.5
2018-06-29,32.70000076293945
2018-07-02,32.83000183105469
2018-07-03,33.209999084472656
2018-07-05,33.220001220703125
2018-07-16,33.61000061035156
2018-09-18,33.790000915527344
2019-01-24,33.560001373291016
2019-09-05,33.34000015258789
2018-11-21,33.34000015258789
2020-01-13,33.349998474121094
2020-04-01,33.150001525878906
2020-06-19,33.95000076293945
2019-10-29,33.7400016784668
2020-01-16,33.720001220703125
2020-06-22,33.77000045776367
2018-10-03,33.709999084472656
2018-07-31,33.56999969482422
2019-03-12,34.31999969482422
2019-02-08,34.33000183105469
2019-01-07,33.77000045776367
2018-12-06,32.93000030517578
2019-08-19,33.61000061035156
2019-07-18,33.38999938964844
2019-05-15,33.380001068115234
2019-09-20,33.529998779296875
2019-11-01,33.150001525878906
2020-04-07,33.220001220703125
2020-06-25,34.290000915527344
2020-06-16,33.849998474121094
2019-11-04,33.54999923706055
2020-01-22,33.29999923706055
2019-11-07,33.70000076293945
2020-04-13,34.88999938964844
2019-07-01,34.290000915527344
2019-05-30,34.40999984741211
2018-08-15,34.56999969482422
2018-10-18,34.4900016784668
2019-03-27,34.470001220703125
2019-01-22,34.349998474121094
2018-12-21,34.720001220703125
2019-09-03,34.939998626708984
2018-11-19,35.060001373291016
2019-08-02,35.540000915527344
2020-01-28,35.400001525878906
2020-04-16,35.560001373291016
2019-11-13,36.04999923706055
2020-01-31,35.75
2018-12-04,35.9900016784668
2018-11-02,35.849998474121094
2019-07-16,35.84000015258789
2018-08-30,36.13999938964844
2018-10-01,36.439998626708984
2019-06-14,37.619998931884766
2019-05-13,37.38999938964844
2019-04-11,37.27000045776367
2019-02-06,37.619998931884766
2019-09-18,37.4900016784668
2020-02-03,37.81999969482422
2020-04-22,37.77000045776367
2019-11-19,38.400001525878906
2020-02-06,38.61000061035156
2019-11-22,38.630001068115234
2019-03-25,38.34000015258789
2019-02-21,38.5
2018-12-19,38.97999954223633
2018-07-12,39.040000915527344
2018-09-14,38.61000061035156
2018-08-13,38.0
2018-10-16,37.849998474121094
2019-07-31,37.29999923706055
2019-05-28,37.40999984741211
2019-04-26,36.11000061035156
2020-04-28,36.0
2019-11-25,36.9900016784668
2020-02-12,36.43000030517578
2020-05-01,38.11000061035156
2020-05-04,38.0
2019-06-12,37.529998779296875
2019-04-09,36.540000915527344
2019-03-08,36.619998931884766
2019-02-04,36.029998779296875
2018-07-27,35.68000030517578
2018-08-28,36.38999938964844
2019-01-03,35.83000183105469
2019-08-15,35.380001068115234
2018-10-31,35.90999984741211
2019-09-16,36.13999938964844
2020-02-18,36.9900016784668
2020-05-07,36.810001373291016
2018-08-17,36.36000061035156
2019-12-04,36.849998474121094
2020-02-21,37.95000076293945
2018-12-17,38.439998626708984
2019-08-30,38.599998474121094
2018-11-15,36.93000030517578
2019-07-29,36.65999984741211
2019-06-27,36.209999084472656
2019-04-24,36.470001220703125
2018-07-10,37.209999084472656
2018-09-12,35.290000915527344
2019-02-19,34.04999923706055
2019-01-18,34.599998474121094
2020-02-24,34.79999923706055
2020-05-13,35.0099983215332
2019-12-10,35.2599983215332
2020-02-27,36.650001525878906
2019-12-13,37.040000915527344
2020-05-19,37.66999816894531
2019-03-06,38.5099983215332
2018-11-30,36.52000045776367
2019-08-13,36.77000045776367
2019-07-12,35.47999954223633
2019-06-10,36.150001525878906
2019-05-09,36.560001373291016
2018-07-25,37.099998474121094
2018-09-27,36.97999954223633
2018-10-29,35.79999923706055
2019-10-16,34.04999923706055
2019-12-16,34.310001373291016
2020-03-04,33.97999954223633
2020-05-22,33.2599983215332
2019-10-01,32.83000183105469
2019-12-19,31.729999542236328
2018-09-10,33.68000030517578
2019-05-24,34.47999954223633
2018-08-09,34.66999816894531
2019-04-22,35.34000015258789
2019-03-21,34.459999084472656
2019-01-16,32.90999984741211
2019-08-28,34.209999084472656
2018-11-13,34.41999816894531
2018-10-12,35.380001068115234
2019-06-25,35.880001068115234
2020-03-10,35.95000076293945
2020-05-28,35.560001373291016
2019-10-07,35.310001373291016
2020-03-13,36.720001220703125
2019-10-10,36.619998931884766
2020-03-16,36.810001373291016
2020-06-03,37.689998626708984
2018-11-28,37.2599983215332
2018-09-25,37.189998626708984
2018-07-23,37.22999954223633
2018-08-24,37.45000076293945
2019-07-10,36.849998474121094
2019-05-07,37.0099983215332
2019-04-05,37.41999816894531
2019-03-04,38.150001525878906
2019-01-31,37.93000030517578
2019-09-12,37.93000030517578
2019-12-31,37.75
2020-03-19,38.77000045776367
2020-01-03,38.849998474121094
2020-06-09,39.189998626708984
2019-02-15,39.310001373291016
2019-01-14,40.040000915527344
2018-07-06,39.599998474121094
2018-08-07,39.91999816894531
2018-10-10,40.0099983215332
2018-12-13,39.86000061035156
2019-08-26,40.11000061035156
2019-07-25,40.119998931884766
2019-05-22,40.52000045776367
2019-03-19,39.9900016784668
2020-01-06,39.86000061035156
2020-03-25,39.93000030517578
2020-06-12,40.119998931884766
2019-10-22,40.75
2020-01-09,40.29999923706055
2020-06-15,40.189998626708984
2019-10-25,39.779998779296875
2020-03-31,39.59000015258789
2020-06-18,39.5099983215332
2019-04-03,39.900001525878906
2018-08-22,40.2599983215332
2018-10-25,40.22999954223633
2019-01-29,40.04999923706055
2018-12-28,40.209999084472656
2018-11-26,37.970001220703125
2019-08-09,38.16999816894531
2019-07-08,37.86000061035156
