Dates,BSX
2018-06-20,31.950000762939453
2018-06-21,32.279998779296875
2018-06-25,32.33000183105469
2018-06-22,32.61000061035156
2018-06-26,32.18000030517578
2018-06-27,32.209999084472656
2018-06-28,31.8700008392334
2018-06-29,32.5
2018-07-02,32.5099983215332
2018-07-03,32.939998626708984
2018-07-05,33.22999954223633
2018-07-16,33.38999938964844
2018-09-18,33.81999969482422
2019-01-24,33.939998626708984
2019-09-05,33.220001220703125
2018-11-21,33.689998626708984
2020-01-13,33.560001373291016
2020-04-01,33.150001525878906
2020-06-19,33.15999984741211
2019-10-29,33.95000076293945
2020-01-16,33.72999954223633
2020-06-22,33.540000915527344
2018-10-03,33.720001220703125
2018-07-31,33.790000915527344
2019-03-12,32.27000045776367
2019-02-08,34.5
2019-01-07,34.380001068115234
2018-12-06,33.720001220703125
2019-08-19,33.08000183105469
2019-07-18,33.54999923706055
2019-05-15,33.290000915527344
2019-09-20,33.41999816894531
2019-11-01,33.459999084472656
2020-04-07,33.150001525878906
2020-06-25,34.22999954223633
2020-06-16,34.220001220703125
2019-11-04,33.7400016784668
2020-01-22,33.58000183105469
2019-11-07,33.349998474121094
2020-04-13,33.599998474121094
2019-07-01,35.0
2019-05-30,34.349998474121094
2018-08-15,34.5
2018-10-18,34.70000076293945
2019-03-27,34.34000015258789
2019-01-22,34.40999984741211
2018-12-21,34.45000076293945
2019-09-03,34.869998931884766
2018-11-19,35.06999969482422
2019-08-02,35.15999984741211
2020-01-28,35.22999954223633
2020-04-16,35.400001525878906
2019-11-13,36.0099983215332
2020-01-31,36.02000045776367
2018-12-04,35.65999984741211
2018-11-02,36.31999969482422
2019-07-16,36.029998779296875
2018-08-30,35.79999923706055
2018-10-01,36.06999969482422
2019-06-14,37.11000061035156
2019-05-13,37.43000030517578
2019-04-11,37.47999954223633
2019-02-06,37.18000030517578
2019-09-18,37.56999969482422
2020-02-03,37.63999938964844
2020-04-22,37.880001068115234
2019-11-19,38.0
2020-02-06,38.290000915527344
2019-11-22,38.61000061035156
2019-03-25,38.650001525878906
2019-02-21,38.33000183105469
2018-12-19,38.7400016784668
2018-07-12,39.380001068115234
2018-09-14,39.029998779296875
2018-08-13,38.43000030517578
2018-10-16,38.060001373291016
2019-07-31,37.79999923706055
2019-05-28,37.220001220703125
2019-04-26,37.36000061035156
2020-04-28,36.11000061035156
2019-11-25,36.86000061035156
2020-02-12,37.13999938964844
2020-05-01,37.029998779296875
2020-05-04,37.61000061035156
2019-06-12,37.9900016784668
2019-04-09,37.369998931884766
2019-03-08,36.619998931884766
2019-02-04,36.189998626708984
2018-07-27,36.52000045776367
2018-08-28,35.849998474121094
2019-01-03,35.95000076293945
2019-08-15,36.36000061035156
2018-10-31,35.189998626708984
2019-09-16,36.31999969482422
2020-02-18,36.41999816894531
2020-05-07,37.2400016784668
2018-08-17,36.970001220703125
2019-12-04,36.2599983215332
2020-02-21,37.060001373291016
2018-12-17,37.939998626708984
2019-08-30,38.31999969482422
2018-11-15,38.470001220703125
2019-07-29,37.11000061035156
2019-06-27,36.869998931884766
2019-04-24,36.0
