Dates,CMI
2018-06-20,1366000.0
2018-06-21,1712600.0
2018-06-25,1666700.0
2018-06-22,1527600.0
2018-06-26,1555100.0
2018-06-27,1340800.0
2018-06-28,1002200.0
2018-06-29,1094100.0
2018-07-02,1177100.0
2018-07-03,715200.0
2018-07-05,1624700.0
2018-07-16,1543700.0
2018-09-18,2028000.0
2019-01-24,1719900.0
2019-09-05,1202900.0
2018-11-21,1150800.0
2020-01-13,963200.0
2020-04-01,781400.0
2020-06-19,824000.0
2019-10-29,931400.0
2020-01-16,988700.0
2020-06-22,1510000.0
2018-10-03,1206500.0
2018-07-31,2157900.0
2019-03-12,1167600.0
2019-02-08,1185600.0
2019-01-07,1426000.0
2018-12-06,1585900.0
2019-08-19,4313600.0
2019-07-18,1915400.0
2019-05-15,1220000.0
2019-09-20,1649100.0
2019-11-01,1008800.0
2020-04-07,995800.0
2020-06-25,1121900.0
2020-06-16,861200.0
2019-11-04,876300.0
2020-01-22,1111000.0
2019-11-07,1280500.0
2020-04-13,1648100.0
2019-07-01,1141500.0
2019-05-30,987500.0
2018-08-15,1247800.0
2018-10-18,1603100.0
2019-03-27,1435500.0
2019-01-22,1421200.0
2018-12-21,1265000.0
2019-09-03,1066200.0
2018-11-19,1463400.0
2019-08-02,1110400.0
2020-01-28,1340500.0
2020-04-16,1285900.0
2019-11-13,1618500.0
2020-01-31,1994500.0
2018-12-04,1304000.0
2018-11-02,1322100.0
2019-07-16,890200.0
2018-08-30,1006800.0
2018-10-01,1557900.0
2019-06-14,1436100.0
2019-05-13,1026600.0
2019-04-11,1084800.0
2019-02-06,1240300.0
2019-09-18,1251900.0
2020-02-03,1547200.0
2020-04-22,2175000.0
2019-11-19,1922100.0
2020-02-06,1477800.0
2019-11-22,987200.0
2019-03-25,920800.0
2019-02-21,1880900.0
2018-12-19,1207200.0
2018-07-12,1025000.0
2018-09-14,1082700.0
2018-08-13,1578900.0
2018-10-16,1280500.0
2019-07-31,1821400.0
2019-05-28,1420200.0
2019-04-26,1802900.0
2020-04-28,1712900.0
2019-11-25,1795300.0
2020-02-12,963000.0
2020-05-01,1060900.0
2020-05-04,1133900.0
2019-06-12,2090700.0
2019-04-09,1743300.0
2019-03-08,1174500.0
2019-02-04,2746500.0
2018-07-27,2133500.0
2018-08-28,3334500.0
2019-01-03,2180300.0
2019-08-15,2336900.0
2018-10-31,3202900.0
2019-09-16,3325100.0
2020-02-18,1520300.0
2020-05-07,1356000.0
2018-08-17,1425400.0
2019-12-04,855200.0
2020-02-21,1855800.0
2018-12-17,1176700.0
2019-08-30,2661700.0
2018-11-15,949700.0
2019-07-29,1593100.0
2019-06-27,1288400.0
2019-04-24,2057900.0
2018-07-10,1814700.0
2018-09-12,2223400.0
2019-02-19,1312400.0
2019-01-18,867700.0
2020-02-24,451700.0
2020-05-13,1119000.0
2019-12-10,1358700.0
2020-02-27,860400.0
2019-12-13,997500.0
2020-05-19,1415800.0
2019-03-06,1820400.0
2018-11-30,1674300.0
2019-08-13,1945700.0
2019-07-12,1329900.0
2019-06-10,1275200.0
2019-05-09,1173200.0
2018-07-25,1410200.0
2018-09-27,1426400.0
2018-10-29,1110600.0
2019-10-16,1539000.0
2019-12-16,1618400.0
2020-03-04,2176900.0
2020-05-22,1646900.0
2019-10-01,2362000.0
2019-12-19,904300.0
2018-09-10,1460600.0
2019-05-24,1138600.0
2018-08-09,1072000.0
2019-04-22,895900.0
2019-03-21,1172500.0
2019-01-16,1192400.0
2019-08-28,1244100.0
2018-11-13,1114200.0
2018-10-12,1314400.0
2019-06-25,1734800.0
2020-03-10,1432300.0
2020-05-28,1152600.0
2019-10-07,1547600.0
2020-03-13,1435400.0
2019-10-10,1191800.0
2020-03-16,1259400.0
2020-06-03,1963100.0
2018-11-28,1869800.0
2018-09-25,1650300.0
2018-07-23,1480900.0
2018-08-24,1026600.0
2019-07-10,1294400.0
2019-05-07,1075300.0
2019-04-05,1158400.0
2019-03-04,1651600.0
2019-01-31,1502200.0
2019-09-12,1345700.0
2019-12-31,1674800.0
2020-03-19,2116500.0
2020-01-03,1141600.0
2020-06-09,891200.0
2019-02-15,1272200.0
2019-01-14,1129100.0
2018-07-06,1137300.0
2018-08-07,810500.0
2018-10-10,1350200.0
2018-12-13,1820200.0
2019-08-26,1497900.0
2019-07-25,1163900.0
2019-05-22,1384300.0
2019-03-19,978800.0
2020-01-06,1664300.0
2020-03-25,1132400.0
2020-06-12,1002000.0
2019-10-22,1496100.0
2020-01-09,1142600.0
2020-06-15,1032600.0
2019-10-25,1070800.0
2020-03-31,1333700.0
2020-06-18,1402200.0
2019-04-03,1606100.0
2018-08-22,1924800.0
2018-10-25,1798200.0
2019-01-29,1707500.0
2018-12-28,3532800.0
2018-11-26,1340100.0
2019-08-09,1498700.0
2019-07-08,1462000.0
2019-06-06,711900.0
2019-09-10,1348400.0
2020-01-15,898300.0
2020-04-03,981300.0
2019-10-31,1371600.0
2020-04-06,1199900.0
2020-06-24,1379600.0
2018-11-09,1436600.0
2019-07-23,986400.0
2019-06-21,640700.0
2019-05-20,801600.0
2019-04-18,948600.0
2018-09-06,534300.0
2018-10-08,911300.0
2019-02-13,545800.0
2018-12-11,613800.0
2019-09-25,991000.0
2020-01-21,1587000.0
2020-04-09,970000.0
2019-11-06,979600.0
2020-01-24,1511600.0
2020-01-27,755600.0
2020-04-15,1206000.0
2018-12-26,699100.0
2019-08-07,970500.0
2019-06-04,1223100.0
2018-09-21,1498600.0
2018-07-19,1885100.0
2018-08-20,1327000.0
2018-10-23,1208400.0
2019-05-03,1296700.0
2019-04-01,1165700.0
2019-02-28,1184000.0
2019-11-12,755400.0
2020-01-30,1373700.0
2019-11-15,928900.0
2020-04-21,1436500.0
2019-04-16,1232100.0
2019-03-15,1036500.0
2019-02-11,836900.0
2019-01-10,1109400.0
2019-08-22,1133500.0
2018-11-07,1098100.0
2018-08-03,1095200.0
2018-09-04,1283000.0
2019-06-19,935800.0
2019-09-23,1596100.0
2019-11-18,1076800.0
2020-02-05,1063500.0
2020-04-24,1640700.0
2019-03-29,1653100.0
2019-11-21,1743400.0
2020-04-27,1515400.0
2020-02-11,983800.0
2020-04-30,803400.0
2019-05-01,885100.0
2019-02-26,1062400.0
2019-01-25,1068900.0
2018-12-24,836700.0
2019-09-06,958600.0
2018-07-17,787100.0
2018-09-19,1031900.0
2019-08-05,1064300.0
2019-10-08,1556600.0
2019-12-11,1713600.0
2019-11-27,1163100.0
2020-02-14,1987500.0
2020-05-06,831600.0
2019-01-08,705600.0
2018-12-07,2680500.0
2019-08-20,2381900.0
2018-11-05,1164900.0
2019-07-19,756700.0
2018-10-04,829200.0
2019-06-17,996300.0
2019-05-16,1231300.0
2018-08-01,827100.0
2019-03-13,951500.0
2019-12-03,1254200.0
2020-02-20,650500.0
2019-12-06,750200.0
2020-05-12,1075300.0
2019-12-09,959100.0
2020-02-26,1904600.0
2020-05-15,1038500.0
2019-03-28,1144500.0
2018-09-17,1026500.0
2018-08-16,940900.0
2018-10-19,855200.0
2019-04-29,1194100.0
2019-01-23,2352200.0
2019-09-04,1907100.0
2018-11-20,1435500.0
2019-07-02,1317100.0
2019-05-31,2317900.0
2019-12-12,1223500.0
2020-05-18,1478300.0
2019-09-27,1240600.0
2020-03-03,1396000.0
2020-05-21,1011000.0
2019-05-14,1413800.0
2018-08-31,1839000.0
2018-07-30,1505600.0
2018-10-02,1237800.0
2019-04-12,2291200.0
2019-03-11,1150500.0
2019-02-07,1014000.0
2019-07-17,1021300.0
2019-09-19,1533200.0
2019-10-21,1197800.0
2019-12-18,1171100.0
2020-03-06,1169200.0
2019-10-03,1368300.0
2020-03-09,939500.0
2020-05-27,1268900.0
2019-12-24,975200.0
2020-03-12,1563600.0
2018-12-20,1124800.0
2019-08-01,1704800.0
2018-08-14,1836900.0
2018-07-13,1254700.0
2018-10-17,984500.0
2019-05-29,1058500.0
2019-03-26,1126800.0
2019-02-22,1330500.0
2019-10-04,1078300.0
2019-11-05,783700.0
2019-12-27,3617100.0
2020-06-02,1324800.0
2019-12-30,1428100.0
2020-03-18,1439200.0
2020-06-05,889200.0
2019-07-15,1002300.0
2018-12-03,990500.0
2019-06-13,1310200.0
2019-01-04,1250300.0
2018-08-29,1444500.0
2019-02-05,944900.0
2018-11-01,831900.0
2019-08-16,1031400.0
2019-04-10,791800.0
2019-09-17,802100.0
2019-10-15,1342400.0
2020-01-02,870700.0
2020-06-08,1078000.0
2019-10-18,894400.0
2020-03-24,647700.0
2020-06-11,1223600.0
2020-01-08,962300.0
2019-04-25,1274000.0
2019-07-30,971300.0
2019-02-20,914300.0
2018-07-11,1303300.0
2018-09-13,1404500.0
2018-10-15,2666900.0
2019-06-28,1884500.0
2018-12-18,1391400.0
2018-11-16,1963400.0
2019-10-02,1357600.0
2020-03-27,1047200.0
2020-01-10,1217700.0
2019-10-24,1665700.0
2020-03-30,1249400.0
2020-06-17,906000.0
2020-01-14,1130200.0
2020-04-02,909500.0
2019-01-02,748700.0
2019-08-14,1088200.0
2018-10-30,838300.0
2019-06-11,1916600.0
2019-05-10,1036400.0
2019-04-08,937900.0
2018-08-27,1052000.0
2018-07-26,1412500.0
2018-09-28,917500.0
2019-03-07,896600.0
2019-10-30,455200.0
2020-01-17,940200.0
2020-06-23,1016500.0
2020-04-08,957200.0
2020-06-26,899900.0
2019-03-22,713300.0
2019-01-17,683600.0
2019-08-29,936600.0
2018-11-14,959000.0
2019-06-26,1196000.0
2018-09-11,976800.0
2018-07-09,1104700.0
2018-08-10,819400.0
