Dates,HRB
2018-06-20,4787400.0
2018-06-21,4038800.0
2018-06-25,4679600.0
2018-06-22,3400100.0
2018-06-26,3852500.0
2018-06-27,3948100.0
2018-06-28,2904300.0
2018-06-29,3320700.0
2018-07-02,5270400.0
2018-07-03,1932300.0
2018-07-05,3312100.0
2018-07-16,2257700.0
2018-09-18,2722500.0
2019-01-24,2822500.0
2019-09-05,2332800.0
2018-11-21,1911300.0
2020-01-13,2190400.0
2020-04-01,2853900.0
2020-06-19,2285200.0
2019-10-29,2585600.0
2020-01-16,2481100.0
2020-06-22,2425800.0
2018-10-03,1882200.0
2018-07-31,2243100.0
2019-03-12,2204500.0
2019-02-08,2287900.0
2019-01-07,2111100.0
2018-12-06,1822700.0
2019-08-19,2677200.0
2019-07-18,2213400.0
2019-05-15,1586900.0
2019-09-20,1497900.0
2019-11-01,1957200.0
2020-04-07,2033300.0
2020-06-25,1509500.0
2020-06-16,2055400.0
2019-11-04,1530400.0
2020-01-22,1473000.0
2019-11-07,2355700.0
2020-04-13,2287400.0
2019-07-01,3496700.0
2019-05-30,1475600.0
2018-08-15,2164900.0
2018-10-18,2182500.0
2019-03-27,1731200.0
2019-01-22,2637100.0
2018-12-21,2211400.0
2019-09-03,2413600.0
2018-11-19,2894700.0
2019-08-02,5572700.0
2020-01-28,4267700.0
2020-04-16,3521900.0
2019-11-13,2204700.0
2020-01-31,3579900.0
2018-12-04,1845900.0
2018-11-02,1614100.0
2019-07-16,3209200.0
2018-08-30,2278700.0
2018-10-01,1873200.0
2019-06-14,2261400.0
2019-05-13,3555700.0
2019-04-11,2760600.0
2019-02-06,2301100.0
2019-09-18,2208400.0
2020-02-03,1902300.0
2020-04-22,4827200.0
2019-11-19,4578200.0
2020-02-06,2436400.0
2019-11-22,2609600.0
2019-03-25,1557300.0
2019-02-21,3309600.0
2018-12-19,2733900.0
2018-07-12,2174500.0
2018-09-14,2975800.0
2018-08-13,2802800.0
2018-10-16,2832100.0
2019-07-31,2725300.0
2019-05-28,3025300.0
2019-04-26,4569400.0
2020-04-28,4811200.0
2019-11-25,2470600.0
2020-02-12,2721800.0
2020-05-01,2380700.0
2020-05-04,1940900.0
2019-06-12,2705200.0
2019-04-09,2074300.0
2019-03-08,2212600.0
2019-02-04,2808700.0
2018-07-27,2262900.0
2018-08-28,1880300.0
2019-01-03,2785600.0
2019-08-15,3092200.0
2018-10-31,2465800.0
2019-09-16,3790600.0
2020-02-18,2108200.0
2020-05-07,2998700.0
2018-08-17,2466200.0
2019-12-04,2022800.0
2020-02-21,2641900.0
2018-12-17,3302000.0
2019-08-30,2806400.0
2018-11-15,3653100.0
2019-07-29,2760300.0
2019-06-27,1885700.0
2019-04-24,2881400.0
2018-07-10,1625800.0
2018-09-12,2645900.0
2019-02-19,2005900.0
2019-01-18,1448500.0
2020-02-24,900900.0
2020-05-13,2197400.0
2019-12-10,2676200.0
2020-02-27,3175700.0
2019-12-13,4009700.0
2020-05-19,4303000.0
2019-03-06,3715400.0
2018-11-30,5108000.0
2019-08-13,4331700.0
2019-07-12,4597100.0
2019-06-10,3433900.0
2019-05-09,3472200.0
2018-07-25,4309700.0
2018-09-27,3531100.0
2018-10-29,2835800.0
2019-10-16,3228000.0
2019-12-16,3883200.0
2020-03-04,3514700.0
2020-05-22,4190900.0
2019-10-01,4434600.0
2019-12-19,1678100.0
2018-09-10,3066300.0
2019-05-24,3214400.0
2018-08-09,2151300.0
2019-04-22,2139700.0
2019-03-21,3916700.0
2019-01-16,3608000.0
2019-08-28,2965200.0
2018-11-13,2923400.0
2018-10-12,3359900.0
2019-06-25,3290000.0
2020-03-10,3411100.0
2020-05-28,2593800.0
2019-10-07,3607400.0
2020-03-13,3872300.0
2019-10-10,4719500.0
2020-03-16,3205200.0
2020-06-03,2861700.0
2018-11-28,3552700.0
2018-09-25,2596200.0
2018-07-23,3097200.0
2018-08-24,3000500.0
2019-07-10,2964000.0
2019-05-07,2454300.0
2019-04-05,1677300.0
2019-03-04,12991100.0
2019-01-31,6252200.0
2019-09-12,3299500.0
2019-12-31,5185700.0
2020-03-19,2348400.0
2020-01-03,2989300.0
2020-06-09,2509000.0
