Dates,HRB
2018-06-20,23.81999969482422
2018-06-21,23.43000030517578
2018-06-25,22.989999771118164
2018-06-22,22.670000076293945
2018-06-26,22.850000381469727
2018-06-27,22.5
2018-06-28,22.450000762939453
2018-06-29,22.649999618530273
2018-07-02,22.600000381469727
2018-07-03,23.31999969482422
2018-07-05,23.149999618530273
2018-07-16,23.389999389648438
2018-09-18,23.450000762939453
2019-01-24,23.6299991607666
2019-09-05,23.510000228881836
2018-11-21,23.889999389648438
2020-01-13,23.889999389648438
2020-04-01,23.709999084472656
2020-06-19,23.770000457763672
2019-10-29,23.84000015258789
2020-01-16,24.270000457763672
2020-06-22,24.229999542236328
2018-10-03,24.299999237060547
2018-07-31,24.450000762939453
2019-03-12,24.860000610351562
2019-02-08,25.020000457763672
2019-01-07,24.81999969482422
2018-12-06,24.860000610351562
2019-08-19,24.889999389648438
2019-07-18,24.90999984741211
2019-05-15,24.84000015258789
2019-09-20,25.200000762939453
2019-11-01,25.350000381469727
2020-04-07,25.59000015258789
2020-06-25,25.399999618530273
2020-06-16,25.600000381469727
2019-11-04,25.510000228881836
2020-01-22,25.6200008392334
2019-11-07,25.75
2020-04-13,25.90999984741211
2019-07-01,26.239999771118164
2019-05-30,26.299999237060547
2018-08-15,26.360000610351562
2018-10-18,26.5
2019-03-27,26.43000030517578
2019-01-22,26.219999313354492
2018-12-21,26.260000228881836
2019-09-03,26.40999984741211
2018-11-19,26.06999969482422
2019-08-02,25.729999542236328
2020-01-28,26.309999465942383
2020-04-16,26.549999237060547
2019-11-13,26.65999984741211
2020-01-31,26.25
2018-12-04,26.239999771118164
2018-11-02,26.139999389648438
2019-07-16,25.469999313354492
2018-08-30,25.170000076293945
2018-10-01,25.299999237060547
2019-06-14,24.84000015258789
2019-05-13,24.719999313354492
2019-04-11,24.829999923706055
2019-02-06,24.68000030517578
2019-09-18,25.31999969482422
2020-02-03,25.350000381469727
2020-04-22,25.75
2019-11-19,25.270000457763672
2020-02-06,25.3700008392334
2019-11-22,25.65999984741211
2019-03-25,25.65999984741211
2019-02-21,25.739999771118164
2018-12-19,25.850000381469727
2018-07-12,25.889999389648438
2018-09-14,25.290000915527344
2018-08-13,24.829999923706055
2018-10-16,24.729999542236328
2019-07-31,25.270000457763672
2019-05-28,26.200000762939453
2019-04-26,26.559999465942383
2020-04-28,25.93000030517578
2019-11-25,25.329999923706055
2020-02-12,25.559999465942383
2020-05-01,25.790000915527344
2020-05-04,26.329999923706055
2019-06-12,25.790000915527344
2019-04-09,25.790000915527344
2019-03-08,25.739999771118164
2019-02-04,25.399999618530273
2018-07-27,25.5
2018-08-28,25.5
2019-01-03,25.329999923706055
2019-08-15,25.420000076293945
2018-10-31,25.760000228881836
2019-09-16,26.290000915527344
2020-02-18,26.389999389648438
2020-05-07,26.3700008392334
2018-08-17,26.829999923706055
2019-12-04,26.860000610351562
2020-02-21,27.5
2018-12-17,28.020000457763672
2019-08-30,28.18000030517578
2018-11-15,28.31999969482422
2019-07-29,27.989999771118164
2019-06-27,27.979999542236328
2019-04-24,27.6200008392334
2018-07-10,27.889999389648438
2018-09-12,27.889999389648438
2019-02-19,27.6200008392334
2019-01-18,27.649999618530273
2020-02-24,27.56999969482422
2020-05-13,27.75
2019-12-10,27.729999542236328
2020-02-27,27.760000228881836
2019-12-13,28.059999465942383
2020-05-19,26.790000915527344
2019-03-06,27.1200008392334
2018-11-30,26.8799991607666
2019-08-13,26.520000457763672
2019-07-12,26.84000015258789
2019-06-10,26.93000030517578
2019-05-09,27.610000610351562
2018-07-25,27.860000610351562
2018-09-27,26.8700008392334
2018-10-29,26.729999542236328
2019-10-16,26.079999923706055
2019-12-16,25.84000015258789
2020-03-04,25.040000915527344
2020-05-22,24.440000534057617
2019-10-01,23.850000381469727
2019-12-19,23.610000610351562
2018-09-10,23.6200008392334
2019-05-24,24.239999771118164
2018-08-09,24.989999771118164
2019-04-22,25.049999237060547
2019-03-21,24.989999771118164
2019-01-16,24.6200008392334
2019-08-28,24.889999389648438
2018-11-13,25.219999313354492
2018-10-12,25.190000534057617
2019-06-25,25.440000534057617
2020-03-10,25.389999389648438
2020-05-28,25.450000762939453
2019-10-07,25.520000457763672
2020-03-13,25.31999969482422
2019-10-10,24.790000915527344
2020-03-16,24.90999984741211
2020-06-03,25.0
2018-11-28,24.8799991607666
2018-09-25,25.200000762939453
2018-07-23,25.420000076293945
2018-08-24,25.610000610351562
2019-07-10,25.209999084472656
2019-05-07,25.329999923706055
2019-04-05,25.40999984741211
2019-03-04,22.959999084472656
2019-01-31,23.5
2019-09-12,23.450000762939453
2019-12-31,23.610000610351562
2020-03-19,23.65999984741211
2020-01-03,23.829999923706055
2020-06-09,23.790000915527344
2019-02-15,23.829999923706055
2019-01-14,23.920000076293945
2018-07-06,24.020000457763672
2018-08-07,24.100000381469727
2018-10-10,23.940000534057617
2018-12-13,23.989999771118164
2019-08-26,23.84000015258789
2019-07-25,23.940000534057617
2019-05-22,24.649999618530273
2019-03-19,24.229999542236328
2020-01-06,24.110000610351562
2020-03-25,24.25
2020-06-12,23.93000030517578
2019-10-22,24.139999389648438
2020-01-09,23.90999984741211
2020-06-15,23.780000686645508
2019-10-25,23.530000686645508
2020-03-31,23.530000686645508
2020-06-18,23.959999084472656
2019-04-03,24.59000015258789
2018-08-22,23.790000915527344
2018-10-25,23.940000534057617
2019-01-29,24.06999969482422
2018-12-28,24.149999618530273
2018-11-26,24.040000915527344
2019-08-09,24.190000534057617
2019-07-08,23.690000534057617
2019-06-06,23.729999542236328
