Dates,HRB
2018-06-20,24.06999969482422
2018-06-21,23.479999542236328
2018-06-25,23.0
2018-06-22,22.989999771118164
2018-06-26,22.860000610351562
2018-06-27,22.5
2018-06-28,22.729999542236328
2018-06-29,22.780000686645508
2018-07-02,23.280000686645508
2018-07-03,23.3799991607666
2018-07-05,23.559999465942383
2018-07-16,23.510000228881836
2018-09-18,23.68000030517578
2019-01-24,23.760000228881836
2019-09-05,23.959999084472656
2018-11-21,24.059999465942383
2020-01-13,23.93000030517578
2020-04-01,24.0
2020-06-19,23.969999313354492
2019-10-29,24.43000030517578
2020-01-16,24.40999984741211
2020-06-22,24.399999618530273
2018-10-03,24.59000015258789
2018-07-31,25.030000686645508
2019-03-12,25.1200008392334
2019-02-08,25.3799991607666
2019-01-07,24.8700008392334
2018-12-06,25.06999969482422
2019-08-19,25.15999984741211
2019-07-18,24.950000762939453
2019-05-15,25.170000076293945
2019-09-20,25.350000381469727
2019-11-01,25.600000381469727
2020-04-07,25.6200008392334
2020-06-25,25.700000762939453
2020-06-16,25.6299991607666
2019-11-04,25.860000610351562
2020-01-22,25.709999084472656
2019-11-07,26.100000381469727
2020-04-13,26.139999389648438
2019-07-01,26.3700008392334
2019-05-30,26.420000076293945
2018-08-15,26.440000534057617
2018-10-18,26.729999542236328
2019-03-27,26.559999465942383
2019-01-22,26.299999237060547
2018-12-21,26.469999313354492
2019-09-03,26.600000381469727
2018-11-19,26.110000610351562
2019-08-02,26.309999465942383
2020-01-28,27.329999923706055
2020-04-16,27.059999465942383
2019-11-13,26.719999313354492
2020-01-31,26.299999237060547
2018-12-04,26.459999084472656
2018-11-02,26.170000076293945
2019-07-16,25.75
2018-08-30,25.5
2018-10-01,25.549999237060547
2019-06-14,24.93000030517578
2019-05-13,25.010000228881836
2019-04-11,24.8700008392334
2019-02-06,25.299999237060547
2019-09-18,25.360000610351562
2020-02-03,25.739999771118164
2020-04-22,26.1200008392334
2019-11-19,25.40999984741211
2020-02-06,25.530000686645508
2019-11-22,25.790000915527344
2019-03-25,25.969999313354492
2019-02-21,25.75
2018-12-19,26.010000228881836
2018-07-12,25.93000030517578
2018-09-14,25.3700008392334
2018-08-13,25.059999465942383
2018-10-16,25.440000534057617
2019-07-31,26.510000228881836
2019-05-28,26.760000228881836
2019-04-26,26.610000610351562
2020-04-28,25.969999313354492
2019-11-25,25.690000534057617
2020-02-12,25.90999984741211
2020-05-01,26.760000228881836
2020-05-04,26.520000457763672
2019-06-12,25.989999771118164
2019-04-09,25.809999465942383
2019-03-08,25.829999923706055
2019-02-04,26.3700008392334
2018-07-27,25.530000686645508
2018-08-28,25.899999618530273
2019-01-03,25.5
2019-08-15,25.729999542236328
2018-10-31,26.600000381469727
2019-09-16,26.540000915527344
2020-02-18,26.459999084472656
2020-05-07,27.1299991607666
2018-08-17,26.989999771118164
2019-12-04,27.3700008392334
2020-02-21,28.31999969482422
2018-12-17,28.329999923706055
2019-08-30,28.729999542236328
2018-11-15,28.389999389648438
2019-07-29,28.1299991607666
2019-06-27,28.239999771118164
2019-04-24,28.170000076293945
2018-07-10,28.3799991607666
2018-09-12,27.959999084472656
2019-02-19,27.729999542236328
2019-01-18,27.760000228881836
2020-02-24,27.950000762939453
2020-05-13,28.049999237060547
2019-12-10,27.790000915527344
2020-02-27,28.290000915527344
2019-12-13,28.239999771118164
2020-05-19,27.010000228881836
2019-03-06,27.979999542236328
2018-11-30,27.520000457763672
2019-08-13,27.700000762939453
2019-07-12,27.040000915527344
2019-06-10,27.8799991607666
2019-05-09,27.760000228881836
2018-07-25,28.040000915527344
2018-09-27,27.030000686645508
2018-10-29,26.979999542236328
2019-10-16,26.229999542236328
2019-12-16,26.020000457763672
2020-03-04,25.100000381469727
2020-05-22,24.520000457763672
2019-10-01,23.940000534057617
2019-12-19,23.6299991607666
2018-09-10,24.84000015258789
2019-05-24,25.1200008392334
2018-08-09,25.229999542236328
2019-04-22,25.3700008392334
2019-03-21,25.579999923706055
2019-01-16,24.690000534057617
2019-08-28,25.459999084472656
2018-11-13,25.299999237060547
2018-10-12,25.450000762939453
2019-06-25,25.68000030517578
2020-03-10,25.600000381469727
2020-05-28,25.780000686645508
2019-10-07,25.56999969482422
2020-03-13,25.34000015258789
2019-10-10,25.030000686645508
2020-03-16,25.239999771118164
2020-06-03,25.6299991607666
2018-11-28,25.079999923706055
2018-09-25,25.3700008392334
2018-07-23,25.700000762939453
2018-08-24,25.90999984741211
2019-07-10,25.760000228881836
2019-05-07,25.649999618530273
