Dates,DD
2018-06-20,5052700.0
2018-06-21,4339600.0
2018-06-25,9956800.0
2018-06-22,6081200.0
2018-06-26,4072700.0
2018-06-27,5536200.0
2018-06-28,4788600.0
2018-06-29,4681800.0
2018-07-02,4481100.0
2018-07-03,2518000.0
2018-07-05,4151400.0
2018-07-16,4314500.0
2018-09-18,4149600.0
2019-01-24,5658700.0
2019-09-05,4854400.0
2018-11-21,3338400.0
2020-01-13,2852200.0
2020-04-01,4047000.0
2020-06-19,4335100.0
2019-10-29,3625400.0
2020-01-16,4998400.0
2020-06-22,4363300.0
2018-10-03,4395100.0
2018-07-31,4610100.0
2019-03-12,3915500.0
2019-02-08,6817700.0
2019-01-07,5194600.0
2018-12-06,4645000.0
2019-08-19,5225800.0
2019-07-18,4297600.0
2019-05-15,7851500.0
2019-09-20,5310200.0
2019-11-01,4015100.0
2020-04-07,5664800.0
2020-06-25,4485200.0
2020-06-16,5694000.0
2019-11-04,4966800.0
2020-01-22,4577800.0
2019-11-07,4930900.0
2020-04-13,5751000.0
2019-07-01,5059800.0
2019-05-30,4555100.0
2018-08-15,5125800.0
2018-10-18,5802400.0
2019-03-27,3190600.0
2019-01-22,3880200.0
2018-12-21,4361600.0
2019-09-03,7322000.0
2018-11-19,4175700.0
2019-08-02,6105500.0
2020-01-28,6065000.0
2020-04-16,5712700.0
2019-11-13,7048700.0
2020-01-31,5139100.0
2018-12-04,4249100.0
2018-11-02,5316000.0
2019-07-16,5984600.0
2018-08-30,5375600.0
2018-10-01,5513000.0
2019-06-14,5001200.0
2019-05-13,5226500.0
2019-04-11,4826300.0
2019-02-06,5856900.0
2019-09-18,7359400.0
2020-02-03,6126800.0
2020-04-22,9345700.0
2019-11-19,4725000.0
2020-02-06,4285800.0
2019-11-22,9133900.0
2019-03-25,10734400.0
2019-02-21,9094900.0
2018-12-19,8201900.0
2018-07-12,4899800.0
2018-09-14,7851000.0
2018-08-13,6234200.0
2018-10-16,5393200.0
2019-07-31,6914900.0
2019-05-28,10606700.0
2019-04-26,13421000.0
2020-04-28,10517500.0
2019-11-25,7937100.0
2020-02-12,4465300.0
2020-05-01,6001900.0
2020-05-04,5483100.0
2019-06-12,6191800.0
2019-04-09,9862000.0
2019-03-08,9339800.0
2019-02-04,12737600.0
2018-07-27,13692100.0
2018-08-28,9061600.0
2019-01-03,15733100.0
2019-08-15,9259700.0
2018-10-31,10781200.0
2019-09-16,11251100.0
2020-02-18,16394400.0
2020-05-07,10531000.0
2018-08-17,6315900.0
2019-12-04,5231200.0
2020-02-21,8518300.0
2018-12-17,8643700.0
2019-08-30,8194600.0
2018-11-15,6766900.0
2019-07-29,6416800.0
2019-06-27,6923500.0
2019-04-24,9110600.0
2018-07-10,7925400.0
2018-09-12,6165100.0
2019-02-19,10165400.0
2019-01-18,6372700.0
2020-02-24,2735600.0
2020-05-13,7072700.0
2019-12-10,5079900.0
2020-02-27,10442600.0
2019-12-13,6913000.0
2020-05-19,9617600.0
2019-03-06,9147900.0
2018-11-30,8340400.0
2019-08-13,10412200.0
2019-07-12,12293300.0
2019-06-10,10615300.0
2019-05-09,8483900.0
2018-07-25,11007400.0
2018-09-27,7283900.0
2018-10-29,8320300.0
2019-10-16,10722900.0
2019-12-16,11224100.0
2020-03-04,13445900.0
2020-05-22,14756400.0
2019-10-01,17107500.0
2019-12-19,5870100.0
2018-09-10,9478300.0
2019-05-24,8739800.0
2018-08-09,7481800.0
2019-04-22,7673300.0
2019-03-21,8263200.0
2019-01-16,8369600.0
2019-08-28,9745500.0
2018-11-13,7724300.0
2018-10-12,7120600.0
2019-06-25,5250400.0
2020-03-10,7244500.0
2020-05-28,5030900.0
2019-10-07,6295700.0
2020-03-13,4400600.0
2019-10-10,5499800.0
2020-03-16,7495800.0
2020-06-03,8474400.0
2018-11-28,8282000.0
2018-09-25,6779600.0
2018-07-23,6362800.0
2018-08-24,5421400.0
2019-07-10,11686300.0
2019-05-07,6006200.0
2019-04-05,11459700.0
2019-03-04,24418800.0
2019-01-31,14778400.0
2019-09-12,11337500.0
2019-12-31,10028200.0
2020-03-19,8085700.0
2020-01-03,9045800.0
2020-06-09,7318300.0
2019-02-15,8186300.0
2019-01-14,8390800.0
2018-07-06,6606800.0
2018-08-07,5566900.0
2018-10-10,9441600.0
2018-12-13,7128800.0
2019-08-26,8213400.0
2019-07-25,7731100.0
2019-05-22,6296000.0
2019-03-19,7748800.0
2020-01-06,5300400.0
2020-03-25,7676600.0
2020-06-12,9489600.0
2019-10-22,7992800.0
2020-01-09,6895500.0
2020-06-15,4949100.0
2019-10-25,6632500.0
2020-03-31,8607100.0
2020-06-18,10604100.0
2019-04-03,11854500.0
2018-08-22,12235100.0
2018-10-25,10127300.0
2019-01-29,8184500.0
2018-12-28,17163200.0
2018-11-26,10203000.0
2019-08-09,19770400.0
2019-07-08,13562700.0
2019-06-06,16503700.0
2019-09-10,13462600.0
2020-01-15,15950900.0
2020-04-03,13859100.0
2019-10-31,11013700.0
2020-04-06,10133200.0
2020-06-24,19805400.0
2018-11-09,31947600.0
2019-07-23,22565300.0
2019-06-21,28021600.0
2019-05-20,21978100.0
2019-04-18,17653000.0
2018-09-06,11854200.0
2018-10-08,13993200.0
2019-02-13,10712200.0
2018-12-11,11925000.0
2019-09-25,13297300.0
2020-01-21,7412900.0
2020-04-09,9660500.0
2019-11-06,8320100.0
2020-01-24,7169500.0
2020-01-27,6629600.0
2020-04-15,10305600.0
2018-12-26,7221900.0
2019-08-07,10019900.0
2019-06-04,7754500.0
2018-09-21,13563100.0
2018-07-19,14294700.0
2018-08-20,13776300.0
2018-10-23,25473100.0
2019-05-03,14819000.0
2019-04-01,20020600.0
2019-02-28,23905100.0
2019-11-12,23196800.0
2020-01-30,19898600.0
2019-11-15,18567100.0
2020-04-21,14642300.0
2019-04-16,14217900.0
2019-03-15,15508500.0
2019-02-11,17371300.0
2019-01-10,14015500.0
2019-08-22,12470600.0
2018-11-07,15978100.0
2018-08-03,13426200.0
2018-09-04,17621800.0
2019-06-19,9551100.0
2019-09-23,16938600.0
2019-11-18,14494100.0
2020-02-05,14675200.0
2020-04-24,16206400.0
2019-03-29,10946100.0
