Dates,DD
2018-06-20,87.61715698242188
2018-06-21,86.80602264404297
2018-06-25,89.09319305419922
2018-06-22,87.73685455322266
2018-06-26,88.17566680908203
2018-06-27,87.24482727050781
2018-06-28,87.96288299560547
2018-06-29,87.65705871582031
2018-07-02,87.45759582519531
2018-07-03,86.63314819335938
2018-07-05,87.85651397705078
2018-07-16,87.67035675048828
2018-09-18,88.76074981689453
2019-01-24,90.1702880859375
2019-09-05,88.16236877441406
2018-11-21,88.09586334228516
2020-01-13,88.24215698242188
2020-04-01,87.39110565185547
2020-06-19,89.17296600341797
2019-10-29,88.5479965209961
2020-01-16,87.94959259033203
2020-06-22,87.5240707397461
2018-10-03,87.36450958251953
2018-07-31,88.98680877685547
2019-03-12,89.79795837402344
2019-02-08,90.75536346435547
2019-01-07,90.9149398803711
2018-12-06,90.48941802978516
2019-08-19,91.44683074951172
2019-07-18,90.36974334716797
2019-05-15,88.34851837158203
2019-09-20,88.85383605957031
2019-11-01,90.10379791259766
2020-04-07,90.60909271240234
2020-06-25,89.97080993652344
2020-06-16,91.7792739868164
2019-11-04,90.07719421386719
2020-01-22,88.5479965209961
2019-11-07,89.83783721923828
2020-04-13,88.37511444091797
2019-07-01,89.1995620727539
2019-05-30,90.14369201660156
2018-08-15,91.06121826171875
2018-10-18,91.52662658691406
2019-03-27,91.43354034423828
2019-01-22,90.56920623779297
2018-12-21,92.03192901611328
2019-09-03,94.1595230102539
2018-11-19,94.06643676757812
2019-08-02,94.99725341796875
2020-01-28,94.40685272216797
2020-04-16,94.31271362304688
2019-11-13,93.76134490966797
2020-01-31,94.20512390136719
2018-12-04,94.24547576904297
2018-11-02,94.13787841796875
2019-07-16,94.21857452392578
2018-08-30,94.24547576904297
2018-10-01,93.11581420898438
2019-06-14,92.68547058105469
2019-05-13,92.22823333740234
2019-04-11,92.55097961425781
2019-02-06,91.48857879638672
2019-09-18,92.4299545288086
2020-02-03,94.17823028564453
2020-04-22,93.72098541259766
2019-11-19,91.71719360351562
2020-02-06,91.3810043334961
2019-11-22,89.95548248291016
2019-03-25,87.8575439453125
2019-02-21,86.48582458496094
2018-12-19,87.17169189453125
2018-07-12,87.17169189453125
2018-09-14,86.5934066772461
2018-08-13,86.0823745727539
2018-10-16,84.97962188720703
2019-07-31,84.93927001953125
2019-05-28,81.81927490234375
2019-04-26,79.7751235961914
2020-04-28,79.31790161132812
2019-11-25,80.23237609863281
2020-02-12,79.26410675048828
2020-05-01,81.03926849365234
2020-05-04,80.11134338378906
2019-06-12,78.77996063232422
2019-04-09,77.31410217285156
2019-03-08,75.40444946289062
2019-02-04,73.5351333618164
2018-07-27,70.84549713134766
2018-08-28,71.1682357788086
2019-01-03,69.93099975585938
2019-08-15,70.025146484375
2018-10-31,70.77825164794922
2019-09-16,72.5130844116211
2020-02-18,78.3630599975586
2020-05-07,77.63685607910156
2018-08-17,77.50237274169922
2019-12-04,78.02686309814453
2020-02-21,80.46100616455078
2018-12-17,79.93651580810547
2019-08-30,78.9144515991211
2018-11-15,77.59651184082031
2019-07-29,77.28720092773438
2019-06-27,77.97306823730469
2019-04-24,78.981689453125
2018-07-10,79.60031127929688
2018-09-12,77.73099517822266
2019-02-19,75.80789184570312
2019-01-18,76.61479187011719
2020-02-24,75.88858032226562
2020-05-13,77.54270935058594
2019-12-10,76.89720916748047
2020-02-27,76.95099639892578
2019-12-13,78.07073974609375
2020-05-19,78.90274047851562
2019-03-06,80.68946838378906
2018-11-30,77.04779815673828
2019-08-13,76.27037048339844
2019-07-12,73.31066131591797
2019-06-10,73.37886810302734
2019-05-09,72.64232635498047
2018-07-25,74.1290283203125
2018-09-27,73.3515853881836
2018-10-29,71.98766326904297
2019-10-16,70.48735046386719
2019-12-16,71.31934356689453
2020-03-04,71.14202880859375
2020-05-22,69.61443328857422
2019-10-01,69.00067901611328
2019-12-19,66.95478057861328
2018-09-10,71.23750305175781
2019-05-24,72.73780822753906
2018-08-09,72.31500244140625
2019-04-22,72.94239807128906
2019-03-21,74.36087799072266
2019-01-16,71.6194076538086
2019-08-28,74.64730072021484
2018-11-13,74.68821716308594
2018-10-12,75.54749298095703
2019-06-25,75.8611831665039
2020-03-10,75.9430160522461
2020-05-28,75.3974609375
2019-10-07,75.53385162353516
2020-03-13,75.0291976928711
2019-10-10,75.56111907958984
2020-03-16,77.79795837402344
2020-06-03,79.18915557861328
2018-11-28,76.70682525634766
2018-09-25,76.9659652709961
2018-07-23,76.82957458496094
2018-08-24,78.77998352050781
2019-07-10,79.28462982177734
2019-05-07,79.81657409667969
2019-04-05,80.85313415527344
2019-03-04,73.39249420166016
2019-01-31,72.92876434326172
2019-09-12,72.46504211425781
2019-12-31,74.00625610351562
2020-03-19,72.57414245605469
2020-01-03,71.16929626464844
2020-06-09,70.52826690673828
2019-02-15,70.9238052368164
2019-01-14,72.77873992919922
2018-07-06,72.47866821289062
2018-08-07,71.82398986816406
2018-10-10,73.97898864746094
2018-12-13,74.45635986328125
2019-08-26,76.70682525634766
2019-07-25,75.37018585205078
2019-05-22,74.97465515136719
2019-03-19,76.48859405517578
2020-01-06,76.2157974243164
2020-03-25,75.71900177001953
2020-06-12,73.65721130371094
2019-10-22,73.80941772460938
2020-01-09,75.06864166259766
2020-06-15,74.27989959716797
2019-10-25,75.3730697631836
2020-03-31,75.44225311279297
2020-06-18,75.66358947753906
2019-04-03,76.90898132324219
2018-08-22,76.8951416015625
2018-10-25,77.35177612304688
2019-01-29,76.14791870117188
2018-12-28,76.49385070800781
2018-11-26,76.39698791503906
2019-08-09,76.21709442138672
2019-07-08,76.1202392578125
2019-06-06,77.37946319580078
2019-09-10,74.6119613647461
2020-01-15,73.71251678466797
2020-04-03,73.58797454833984
2019-10-31,72.86842346191406
2020-04-06,72.9514389038086
2020-06-24,73.76786041259766
2018-11-09,75.3038330078125
2019-07-23,75.0833511352539
2019-06-21,76.85292053222656
2019-05-20,77.73770141601562
2019-04-18,77.98461151123047
2018-09-06,78.47845458984375
2018-10-08,78.64306640625
2019-02-13,79.21920776367188
2018-12-11,80.02169036865234
2019-09-25,81.21511840820312
2020-01-21,80.04226684570312
2020-04-09,80.55667114257812
2019-11-06,80.65956115722656
2020-01-24,80.2480239868164
2020-01-27,78.84883117675781
2020-04-15,78.76653289794922
2018-12-26,78.78711700439453
2019-08-07,77.77040100097656
2019-06-04,78.59774780273438
2018-09-21,78.51500701904297
2018-07-19,79.52851104736328
2018-08-20,77.17057037353516
2018-10-23,71.83747100830078
2019-05-03,72.29331970214844
2019-04-01,69.66183471679688
2019-02-28,66.59522247314453
2019-11-12,65.64208984375
2020-01-30,64.2123794555664
2019-11-15,65.22767639160156
