Dates,DPZ
2018-06-20,290.0199890136719
2018-06-21,292.6700134277344
2018-06-25,293.80999755859375
2018-06-22,293.489990234375
2018-06-26,286.1700134277344
2018-06-27,285.1600036621094
2018-06-28,283.3699951171875
2018-06-29,284.3699951171875
2018-07-02,281.3800048828125
2018-07-03,283.239990234375
2018-07-05,281.8599853515625
2018-07-16,280.8900146484375
2018-09-18,282.20001220703125
2019-01-24,280.6000061035156
2019-09-05,280.7300109863281
2018-11-21,280.6499938964844
2020-01-13,283.3399963378906
2020-04-01,283.69000244140625
2020-06-19,282.8999938964844
2019-10-29,284.8800048828125
2020-01-16,284.7699890136719
2020-06-22,282.4800109863281
2018-10-03,276.79998779296875
2018-07-31,271.55999755859375
2019-03-12,266.1400146484375
2019-02-08,263.05999755859375
2019-01-07,263.1099853515625
2018-12-06,261.57000732421875
2019-08-19,263.0799865722656
2019-07-18,270.739990234375
2019-05-15,277.67999267578125
2019-09-20,279.8699951171875
2019-11-01,282.4599914550781
2020-04-07,279.510009765625
2020-06-25,287.5199890136719
2020-06-16,295.239990234375
2019-11-04,293.69000244140625
2020-01-22,293.1099853515625
2019-11-07,290.30999755859375
2020-04-13,287.7900085449219
2019-07-01,289.8699951171875
2019-05-30,289.05999755859375
2018-08-15,286.57000732421875
2018-10-18,289.3399963378906
2019-03-27,292.0
2019-01-22,294.510009765625
2018-12-21,300.3399963378906
2019-09-03,300.0
2018-11-19,299.7900085449219
2019-08-02,305.3399963378906
2020-01-28,302.0899963378906
2020-04-16,302.0
2019-11-13,299.6600036621094
2020-01-31,297.1199951171875
2018-12-04,292.8500061035156
2018-11-02,297.19000244140625
2019-07-16,296.0899963378906
2018-08-30,293.8999938964844
2018-10-01,287.1600036621094
2019-06-14,286.17999267578125
2019-05-13,285.95001220703125
2019-04-11,279.260009765625
2019-02-06,284.510009765625
2019-09-18,281.989990234375
2020-02-03,283.6199951171875
2020-04-22,289.489990234375
2019-11-19,290.0
2020-02-06,293.5
