Dates,DPZ
2018-06-20,287.8999938964844
2018-06-21,290.760009765625
2018-06-25,292.3900146484375
2018-06-22,279.510009765625
2018-06-26,283.1099853515625
2018-06-27,281.4700012207031
2018-06-28,282.0899963378906
2018-06-29,282.1700134277344
2018-07-02,281.0
2018-07-03,280.1300048828125
2018-07-05,277.739990234375
2018-07-16,279.1499938964844
2018-09-18,278.2699890136719
2019-01-24,272.3900146484375
2019-09-05,279.6600036621094
2018-11-21,279.0299987792969
2020-01-13,281.3999938964844
2020-04-01,279.19000244140625
2020-06-19,282.0400085449219
2019-10-29,283.67999267578125
2020-01-16,276.75
2020-06-22,277.1700134277344
2018-10-03,271.75
2018-07-31,263.07000732421875
2019-03-12,262.20001220703125
2019-02-08,260.0
2019-01-07,260.70001220703125
2018-12-06,256.4100036621094
2019-08-19,262.6600036621094
2019-07-18,270.3399963378906
2019-05-15,276.75
2019-09-20,279.5
2019-11-01,280.1400146484375
2020-04-07,277.45001220703125
2020-06-25,286.9200134277344
2020-06-16,291.45001220703125
2019-11-04,291.30999755859375
2020-01-22,288.6000061035156
2019-11-07,287.510009765625
2020-04-13,284.19000244140625
2019-07-01,287.7200012207031
2019-05-30,285.0400085449219
2018-08-15,284.75
2018-10-18,287.3699951171875
2019-03-27,291.5400085449219
2019-01-22,289.3999938964844
2018-12-21,297.95001220703125
2019-09-03,297.8900146484375
2018-11-19,299.42999267578125
2019-08-02,300.6400146484375
2020-01-28,300.6700134277344
2020-04-16,298.55999755859375
2019-11-13,296.6000061035156
2020-01-31,289.80999755859375
2018-12-04,290.5299987792969
2018-11-02,294.07000732421875
2019-07-16,293.7799987792969
2018-08-30,286.6199951171875
2018-10-01,285.239990234375
2019-06-14,284.8399963378906
2019-05-13,280.04998779296875
2019-04-11,274.6000061035156
2019-02-06,281.80999755859375
2019-09-18,279.4700012207031
2020-02-03,282.7099914550781
2020-04-22,286.2200012207031
2019-11-19,288.989990234375
2020-02-06,290.7900085449219
2019-11-22,289.17999267578125
2019-03-25,293.45001220703125
2019-02-21,294.79998779296875
2018-12-19,285.5199890136719
2018-07-12,282.2799987792969
2018-09-14,286.0
2018-08-13,281.7699890136719
2018-10-16,282.9100036621094
2019-07-31,280.239990234375
2019-05-28,284.17999267578125
2019-04-26,274.9200134277344
2020-04-28,270.8800048828125
2019-11-25,277.3399963378906
2020-02-12,272.94000244140625
2020-05-01,259.6300048828125
2020-05-04,267.69000244140625
2019-06-12,266.3800048828125
2019-04-09,267.75
2019-03-08,267.75
2019-02-04,265.82000732421875
2018-07-27,255.49000549316406
2018-08-28,261.7699890136719
2019-01-03,261.239990234375
2019-08-15,256.489990234375
2018-10-31,266.2300109863281
2019-09-16,268.7900085449219
2020-02-18,266.04998779296875
2020-05-07,265.29998779296875
2018-08-17,260.260009765625
2019-12-04,263.55999755859375
2020-02-21,271.4700012207031
2018-12-17,273.1499938964844
2019-08-30,274.3500061035156
2018-11-15,269.0899963378906
2019-07-29,264.7099914550781
2019-06-27,266.1199951171875
2019-04-24,259.6199951171875
2018-07-10,264.6199951171875
2018-09-12,252.07000732421875
2019-02-19,255.22000122070312
2019-01-18,259.5899963378906
2020-02-24,262.5
2020-05-13,266.3599853515625
2019-12-10,268.5799865722656
2020-02-27,273.79998779296875
2019-12-13,280.17999267578125
2020-05-19,277.32000732421875
2019-03-06,276.3599853515625
2018-11-30,266.0199890136719
2019-08-13,266.3999938964844
2019-07-12,258.32000732421875
2019-06-10,255.2100067138672
2019-05-09,252.0
2018-07-25,249.67999267578125
2018-09-27,250.16000366210938
2018-10-29,249.00999450683594
2019-10-16,242.19000244140625
2019-12-16,244.64999389648438
2020-03-04,239.3800048828125
2020-05-22,235.38999938964844
2019-10-01,239.49000549316406
2019-12-19,234.35000610351562
2018-09-10,248.91000366210938
2019-05-24,248.47000122070312
2018-08-09,249.9499969482422
2019-04-22,247.99000549316406
2019-03-21,243.3000030517578
2019-01-16,239.69000244140625
2019-08-28,243.60000610351562
2018-11-13,246.42999267578125
2018-10-12,242.2100067138672
2019-06-25,246.58999633789062
2020-03-10,246.19000244140625
2020-05-28,248.99000549316406
2019-10-07,244.1699981689453
2020-03-13,247.88999938964844
2019-10-10,246.85000610351562
2020-03-16,258.94000244140625
2020-06-03,267.4599914550781
2018-11-28,263.42999267578125
2018-09-25,273.1600036621094
2018-07-23,276.8800048828125
2018-08-24,284.1600036621094
2019-07-10,279.7900085449219
2019-05-07,274.8500061035156
2019-04-05,277.05999755859375
2019-03-04,283.7300109863281
2019-01-31,278.3900146484375
2019-09-12,281.07000732421875
2019-12-31,289.2900085449219
2020-03-19,287.8900146484375
2020-01-03,288.8900146484375
2020-06-09,290.1600036621094
2019-02-15,294.8599853515625
2019-01-14,287.2099914550781
2018-07-06,288.79998779296875
2018-08-07,287.17999267578125
2018-10-10,281.6499938964844
2018-12-13,279.2300109863281
2019-08-26,278.489990234375
2019-07-25,253.00999450683594
2019-05-22,260.7099914550781
2019-03-19,255.94000244140625
2020-01-06,252.80999755859375
