Dates,BKR
2018-06-20,31.012195587158203
2018-06-21,30.308862686157227
2018-06-25,30.683977127075195
2018-06-22,30.421398162841797
2018-06-26,31.068464279174805
2018-06-27,31.509212493896484
2018-06-28,30.8996639251709
2018-06-29,30.974679946899414
2018-07-02,30.890287399291992
2018-07-03,31.218505859375
2018-07-05,31.180992126464844
2018-07-16,31.574859619140625
2018-09-18,32.29694747924805
2019-01-24,32.13752746582031
2019-09-05,30.871530532836914
2018-11-21,30.730863571166992
2020-01-13,30.599576950073242
2020-04-01,30.31824493408203
2020-06-19,30.608957290649414
2019-10-29,30.524551391601562
2020-01-16,29.80246925354004
2020-06-22,30.008779525756836
2018-10-03,30.477664947509766
2018-07-31,30.937179565429688
2019-03-12,31.199752807617188
2019-02-08,31.903079986572266
2019-01-07,32.568904876708984
2018-12-06,32.53138732910156
2019-08-19,32.42824172973633
2019-07-18,32.13752746582031
2019-05-15,31.828062057495117
2019-09-20,31.77179527282715
2019-11-01,32.72832489013672
2020-04-07,32.99089813232422
2020-06-25,32.868988037109375
2020-06-16,32.512630462646484
2019-11-04,32.5876579284668
2020-01-22,32.16346740722656
2019-11-07,31.984357833862305
2020-04-13,29.985923767089844
2019-07-01,29.769115447998047
2019-05-30,29.23179817199707
2018-08-15,30.17445182800293
2018-10-18,30.43840217590332
2019-03-27,30.655210494995117
2019-01-22,30.45725440979004
2018-12-21,30.900300979614258
2019-09-03,31.371625900268555
2018-11-19,31.49417495727539
2019-08-02,32.05034637451172
2020-01-28,32.031490325927734
2020-04-16,31.07940673828125
2019-11-13,30.523242950439453
2020-01-31,29.85395050048828
2018-12-04,29.21294403076172
2018-11-02,29.6182861328125
2019-07-16,30.099042892456055
2018-08-30,30.721195220947266
2018-10-01,30.542095184326172
2019-06-14,30.428972244262695
2019-05-13,29.750261306762695
2019-04-11,29.797393798828125
2019-02-06,30.400691986083984
2019-09-18,30.985137939453125
2020-02-03,30.598649978637695
2020-04-22,31.01342010498047
2019-11-19,30.956859588623047
2020-02-06,31.550735473632812
2019-11-22,31.880666732788086
2019-03-25,31.890094757080078
2019-02-21,31.890094757080078
2018-12-19,31.088830947875977
2018-07-12,30.400691986083984
2018-09-14,30.193307876586914
2018-08-13,30.49496078491211
2018-10-16,30.070762634277344
2019-07-31,30.06133460998535
2019-05-28,30.758907318115234
2019-04-26,30.089616775512695
