Dates,BKR
2018-06-20,3138300.0
2018-06-21,4137700.0
2018-06-25,9963700.0
2018-06-22,3520200.0
2018-06-26,3695800.0
2018-06-27,4098500.0
2018-06-28,2929800.0
2018-06-29,3390300.0
2018-07-02,3634600.0
2018-07-03,2004600.0
2018-07-05,2406100.0
2018-07-16,2491800.0
2018-09-18,2481900.0
2019-01-24,2315600.0
2019-09-05,3758100.0
2018-11-21,4180800.0
2020-01-13,2337600.0
2020-04-01,1387700.0
2020-06-19,3691500.0
2019-10-29,4141700.0
2020-01-16,5255800.0
2020-06-22,8592000.0
2018-10-03,5229800.0
2018-07-31,5201900.0
2019-03-12,4976700.0
2019-02-08,3515400.0
2019-01-07,3865000.0
2018-12-06,3035100.0
2019-08-19,3416200.0
2019-07-18,2943700.0
2019-05-15,2175300.0
2019-09-20,4126300.0
2019-11-01,4814300.0
2020-04-07,2661200.0
2020-06-25,2312500.0
2020-06-16,3040200.0
2019-11-04,2381200.0
2020-01-22,4305700.0
2019-11-07,4357300.0
2020-04-13,4941400.0
2019-07-01,3431300.0
2019-05-30,4408900.0
2018-08-15,3837100.0
2018-10-18,2823800.0
2019-03-27,2482500.0
2019-01-22,2958500.0
2018-12-21,1727700.0
2019-09-03,1756900.0
2018-11-19,3089700.0
2019-08-02,2639500.0
2020-01-28,1767500.0
2020-04-16,2893000.0
2019-11-13,2243900.0
2020-01-31,2178100.0
2018-12-04,2983500.0
2018-11-02,3463100.0
2019-07-16,1898500.0
2018-08-30,2682000.0
2018-10-01,2647100.0
2019-06-14,2502300.0
2019-05-13,3560300.0
2019-04-11,2239400.0
2019-02-06,3243200.0
2019-09-18,2636400.0
2020-02-03,2204900.0
2020-04-22,3918300.0
2019-11-19,3079700.0
2020-02-06,2961900.0
2019-11-22,3592400.0
2019-03-25,4855100.0
2019-02-21,3297700.0
2018-12-19,4288900.0
2018-07-12,3909900.0
2018-09-14,6746500.0
2018-08-13,3206900.0
2018-10-16,2578000.0
2019-07-31,2330900.0
2019-05-28,2625800.0
2019-04-26,3777100.0
2020-04-28,3271600.0
2019-11-25,2514000.0
2020-02-12,2407800.0
2020-05-01,3662100.0
2020-05-04,2337100.0
2019-06-12,4214700.0
2019-04-09,2728500.0
2019-03-08,3779400.0
2019-02-04,4074000.0
2018-07-27,3614000.0
2018-08-28,3299900.0
2019-01-03,4953100.0
2019-08-15,4944100.0
2018-10-31,7803700.0
2019-09-16,6849900.0
2020-02-18,5757400.0
2020-05-07,5121800.0
2018-08-17,4957900.0
2019-12-04,6124100.0
2020-02-21,3369600.0
2018-12-17,4053300.0
2019-08-30,8250500.0
2018-11-15,7951600.0
2019-07-29,12869600.0
2019-06-27,79090500.0
2019-04-24,15060200.0
2018-07-10,16835800.0
2018-09-12,9407800.0
2019-02-19,10927500.0
2019-01-18,5112200.0
2020-02-24,3648100.0
2020-05-13,6159300.0
2019-12-10,9160300.0
2020-02-27,5843900.0
2019-12-13,6214900.0
2020-05-19,14481800.0
2019-03-06,8005200.0
2018-11-30,6976500.0
2019-08-13,7052100.0
2019-07-12,5081200.0
2019-06-10,4871000.0
2019-05-09,6700000.0
2018-07-25,5014300.0
2018-09-27,5966900.0
2018-10-29,9238400.0
2019-10-16,6505000.0
2019-12-16,5191400.0
2020-03-04,8910800.0
2020-05-22,6532900.0
2019-10-01,10352800.0
2019-12-19,2644100.0
2018-09-10,4106300.0
2019-05-24,6581000.0
2018-08-09,4525200.0
2019-04-22,3802100.0
2019-03-21,7150000.0
2019-01-16,6672900.0
2019-08-28,5040400.0
2018-11-13,4740000.0
2018-10-12,4959100.0
2019-06-25,5217000.0
2020-03-10,5316500.0
2020-05-28,4876100.0
2019-10-07,4804100.0
2020-03-13,3370700.0
2019-10-10,4029200.0
2020-03-16,3884300.0
2020-06-03,4566700.0
2018-11-28,5088900.0
2018-09-25,4654900.0
2018-07-23,4706600.0
2018-08-24,6687200.0
2019-07-10,4181100.0
2019-05-07,3365200.0
2019-04-05,4274900.0
2019-03-04,9064600.0
2019-01-31,4559400.0
2019-09-12,6067000.0
2019-12-31,6189200.0
2020-03-19,4800900.0
2020-01-03,5052300.0
2020-06-09,4403700.0
2019-02-15,3831100.0
2019-01-14,6388400.0
2018-07-06,4004400.0
2018-08-07,6223600.0
2018-10-10,4119200.0
2018-12-13,2939700.0
2019-08-26,4672700.0
2019-07-25,4052300.0
2019-05-22,3507200.0
2019-03-19,3393000.0
2020-01-06,4086700.0
2020-03-25,2526600.0
2020-06-12,4311600.0
2019-10-22,4128500.0
2020-01-09,4308300.0
2020-06-15,4287700.0
2019-10-25,4412400.0
2020-03-31,3988700.0
2020-06-18,3554700.0
2019-04-03,4563000.0
2018-08-22,3879400.0
2018-10-25,3097600.0
2019-01-29,5624200.0
2018-12-28,9978700.0
2018-11-26,4398000.0
2019-08-09,4848400.0
2019-07-08,4939700.0
2019-06-06,3163700.0
2019-09-10,4306300.0
2020-01-15,2448300.0
2020-04-03,2738100.0
2019-10-31,2487800.0
2020-04-06,3084900.0
2020-06-24,7450800.0
2018-11-09,4567200.0
2019-07-23,5730000.0
2019-06-21,5338000.0
2019-05-20,4255900.0
2019-04-18,3982600.0
2018-09-06,4881700.0
2018-10-08,4457700.0
2019-02-13,3018900.0
2018-12-11,2695500.0
2019-09-25,4508600.0
2020-01-21,2892500.0
2020-04-09,4412300.0
2019-11-06,3486900.0
2020-01-24,2879400.0
2020-01-27,4087700.0
2020-04-15,7332300.0
2018-12-26,3725300.0
2019-08-07,4365800.0
2019-06-04,3062900.0
2018-09-21,3722000.0
2018-07-19,10785700.0
2018-08-20,7400400.0
2018-10-23,4682400.0
2019-05-03,4917100.0
2019-04-01,3463100.0
2019-02-28,2857100.0
2019-11-12,3673900.0
2020-01-30,6478600.0
2019-11-15,3950600.0
2020-04-21,4444100.0
2019-04-16,3404000.0
2019-03-15,2678900.0
2019-02-11,3052500.0
2019-01-10,4270100.0
2019-08-22,4750600.0
2018-11-07,3882600.0
2018-08-03,5351200.0
2018-09-04,6555600.0
2019-06-19,5048200.0
2019-09-23,4250300.0
2019-11-18,4033000.0
2020-02-05,3345400.0
2020-04-24,5449900.0
2019-03-29,5017400.0
2019-11-21,4720500.0
2020-04-27,3905700.0
2020-02-11,5709900.0
2020-04-30,4241000.0
2019-05-01,3219600.0
2019-02-26,3697500.0
2019-01-25,3622500.0
2018-12-24,3088800.0
2019-09-06,4031700.0
2018-07-17,3804700.0
2018-09-19,5238100.0
2019-08-05,3187400.0
2019-10-08,4282400.0
2019-12-11,7018100.0
2019-11-27,3145700.0
2020-02-14,2885700.0
2020-05-06,3669700.0
2019-01-08,3301900.0
2018-12-07,9899300.0
2019-08-20,4256600.0
2018-11-05,6348600.0
2019-07-19,1584500.0
2018-10-04,1951800.0
2019-06-17,3622900.0
2019-05-16,3473200.0
2018-08-01,2234200.0
2019-03-13,3322800.0
2019-12-03,2563700.0
2020-02-20,3081300.0
2019-12-06,5331900.0
2020-05-12,8302000.0
2019-12-09,11212900.0
2020-02-26,5471900.0
2020-05-15,4344400.0
2019-03-28,4163300.0
2018-09-17,2889200.0
2018-08-16,3396000.0
2018-10-19,3898300.0
2019-04-29,2924700.0
2019-01-23,6000100.0
2019-09-04,7307200.0
2018-11-20,6346400.0
2019-07-02,5043200.0
2019-05-31,4401200.0
2019-12-12,3429900.0
2020-05-18,4421600.0
2019-09-27,4279500.0
2020-03-03,3147200.0
2020-05-21,4045100.0
2019-05-14,3328000.0
2018-08-31,5437400.0
2018-07-30,7326700.0
2018-10-02,6012700.0
2019-04-12,4087000.0
2019-03-11,4000000.0
2019-02-07,2906000.0
2019-07-17,4029700.0
2019-09-19,5048700.0
2019-10-21,4018400.0
2019-12-18,3887400.0
2020-03-06,4271400.0
2019-10-03,3308500.0
2020-03-09,4984700.0
2020-05-27,5157400.0
2019-12-24,5410500.0
2020-03-12,4927400.0
2018-12-20,3744000.0
2019-08-01,4558800.0
2018-08-14,3551500.0
2018-07-13,12446500.0
2018-10-17,67849800.0
2019-05-29,10862400.0
2019-03-26,22371500.0
2019-02-22,8635700.0
2019-10-04,5777700.0
2019-11-05,4691400.0
2019-12-27,14539200.0
2020-06-02,12239800.0
2019-12-30,8521300.0
2020-03-18,8950800.0
2020-06-05,8708600.0
2019-07-15,31637300.0
2018-12-03,8175900.0
2019-06-13,6917300.0
2019-01-04,4997400.0
2018-08-29,5886300.0
2019-02-05,4581000.0
2018-11-01,3898900.0
2019-08-16,3177000.0
2019-04-10,2512300.0
2019-09-17,2959700.0
2019-10-15,5342900.0
