Dates,BKR
2018-06-20,32.970001220703125
2018-06-21,32.59000015258789
2018-06-25,33.29999923706055
2018-06-22,32.689998626708984
2018-06-26,32.5
2018-06-27,33.56999969482422
2018-06-28,33.459999084472656
2018-06-29,33.029998779296875
2018-07-02,32.83000183105469
2018-07-03,33.599998474121094
2018-07-05,33.33000183105469
2018-07-16,33.16999816894531
2018-09-18,33.88999938964844
2019-01-24,34.5
2019-09-05,33.86000061035156
2018-11-21,33.0
2020-01-13,32.68000030517578
2020-04-01,32.25
2020-06-19,32.20000076293945
2019-10-29,32.15999984741211
2020-01-16,32.25
2020-06-22,31.299999237060547
2018-10-03,31.850000381469727
2018-07-31,32.9900016784668
2019-03-12,33.099998474121094
2019-02-08,33.27000045776367
2019-01-07,33.83000183105469
2018-12-06,35.310001373291016
2019-08-19,34.25
2019-07-18,34.2400016784668
2019-05-15,33.84000015258789
2019-09-20,33.880001068115234
2019-11-01,33.90999984741211
2020-04-07,35.25
2020-06-25,35.0099983215332
2020-06-16,34.86000061035156
2019-11-04,34.619998931884766
2020-01-22,34.5
2019-11-07,34.220001220703125
2020-04-13,33.5
2019-07-01,32.06999969482422
2019-05-30,31.6200008392334
2018-08-15,31.530000686645508
2018-10-18,32.56999969482422
2019-03-27,32.619998931884766
2019-01-22,32.380001068115234
2018-12-21,32.65999984741211
2019-09-03,32.70000076293945
2018-11-19,33.349998474121094
2019-08-02,33.439998626708984
2020-01-28,33.91999816894531
2020-04-16,33.90999984741211
2019-11-13,32.97999954223633
2020-01-31,32.08000183105469
2018-12-04,31.670000076293945
2018-11-02,30.700000762939453
2019-07-16,31.559999465942383
2018-08-30,31.979999542236328
2018-10-01,32.959999084472656
2019-06-14,32.279998779296875
2019-05-13,32.099998474121094
2019-04-11,31.670000076293945
2019-02-06,31.93000030517578
2019-09-18,32.470001220703125
2020-02-03,33.2599983215332
2020-04-22,32.47999954223633
2019-11-19,33.22999954223633
2020-02-06,33.150001525878906
