Dates,EMR
2018-06-20,66.26637268066406
2018-06-21,65.1460952758789
2018-06-25,65.77684783935547
2018-06-22,65.09902954101562
2018-06-26,64.91073608398438
2018-06-27,64.5341796875
2018-06-28,64.57182312011719
2018-06-29,65.08960723876953
2018-07-02,65.3720474243164
2018-07-03,64.74129486083984
2018-07-05,65.12727355957031
2018-07-16,65.2214126586914
2018-09-18,66.69002532958984
2019-01-24,66.83123779296875
2019-09-05,65.02371215820312
2018-11-21,66.11576843261719
2020-01-13,66.44525909423828
2020-04-01,65.2496566772461
2020-06-19,65.40971374511719
2019-10-29,65.60740661621094
2020-01-16,65.71096801757812
2020-06-22,65.2214126586914
2018-10-03,63.912841796875
2018-07-31,64.83543395996094
2019-03-12,66.08751678466797
2019-02-08,67.0854263305664
2019-01-07,67.0854263305664
2018-12-06,66.39817810058594
2019-08-19,68.0456771850586
2019-07-18,67.12308502197266
2019-05-15,67.104248046875
2019-09-20,67.29254150390625
2019-11-01,67.42433166503906
2020-04-07,70.28623962402344
2020-06-25,69.70256042480469
2020-06-16,69.71198272705078
2019-11-04,69.53309631347656
2020-01-22,69.14712524414062
2019-11-07,69.8908462524414
2020-04-13,69.25068664550781
2019-07-01,70.08935546875
2019-05-30,70.94227600097656
2018-08-15,71.58667755126953
2018-10-18,72.5912094116211
2019-03-27,71.2265625
2019-01-22,71.6151123046875
2018-12-21,71.70986938476562
2019-09-03,72.63858795166016
2018-11-19,72.52486419677734
2019-08-02,72.78074645996094
2020-01-28,72.36376953125
2020-04-16,72.71440124511719
2019-11-13,72.40166473388672
2020-01-31,73.22613525390625
2018-12-04,72.22161102294922
2018-11-02,71.82360076904297
2019-07-16,72.27847290039062
2018-08-30,72.23108673095703
2018-10-01,73.07452392578125
2019-06-14,73.68102264404297
2019-05-13,73.48201751708984
2019-04-11,73.69996643066406
2019-02-06,74.30648803710938
2019-09-18,73.35881042480469
2020-02-03,74.27806091308594
2020-04-22,73.92741394042969
2019-11-19,73.42515563964844
2020-02-06,73.1692886352539
2019-11-22,72.63858795166016
2019-03-25,72.77125549316406
2019-02-21,72.572265625
2018-12-19,73.5767822265625
2018-07-12,73.7852783203125
2018-09-14,74.41072082519531
2018-08-13,74.06956481933594
2018-10-16,73.97479248046875
2019-07-31,73.82316589355469
2019-05-28,72.00364685058594
2019-04-26,69.51129150390625
2020-04-28,67.47381591796875
2019-11-25,68.15611267089844
2020-02-12,67.68230438232422
2020-05-01,69.71978759765625
2020-05-04,70.12728118896484
2019-06-12,68.64891815185547
2019-04-09,68.48780822753906
2019-03-08,67.96659851074219
2019-02-04,65.36052703857422
2018-07-27,62.555416107177734
2018-08-28,63.58837127685547
2019-01-03,62.782859802246094
2019-08-15,62.858680725097656
2018-10-31,64.26122283935547
2019-09-16,64.32756042480469
2020-02-18,66.28922271728516
