Dates,EMR
2018-06-20,1630400.0
2018-06-21,3272800.0
2018-06-25,4015000.0
2018-06-22,4148900.0
2018-06-26,3007300.0
2018-06-27,2782800.0
2018-06-28,1978000.0
2018-06-29,4025700.0
2018-07-02,2514800.0
2018-07-03,1839500.0
2018-07-05,2559100.0
2018-07-16,2298700.0
2018-09-18,2234600.0
2019-01-24,2671800.0
2019-09-05,3253900.0
2018-11-21,2226000.0
2020-01-13,1552600.0
2020-04-01,2727500.0
2020-06-19,2646500.0
2019-10-29,2902200.0
2020-01-16,2490500.0
2020-06-22,2232900.0
2018-10-03,2832100.0
2018-07-31,3076300.0
2019-03-12,2767300.0
2019-02-08,2755500.0
2019-01-07,1752700.0
2018-12-06,1812000.0
2019-08-19,3021500.0
2019-07-18,2611100.0
2019-05-15,2852200.0
2019-09-20,3682600.0
2019-11-01,2640300.0
2020-04-07,4945400.0
2020-06-25,3590200.0
2020-06-16,2071000.0
2019-11-04,3101100.0
2020-01-22,2882500.0
2019-11-07,2933800.0
2020-04-13,2851400.0
2019-07-01,2056400.0
2019-05-30,2862500.0
2018-08-15,2697900.0
2018-10-18,2526100.0
2019-03-27,2501400.0
2019-01-22,1608700.0
2018-12-21,2499200.0
2019-09-03,2093000.0
2018-11-19,2423000.0
2019-08-02,1576500.0
2020-01-28,1543200.0
2020-04-16,1967700.0
2019-11-13,2021100.0
2020-01-31,4056400.0
2018-12-04,3288600.0
2018-11-02,2038700.0
2019-07-16,2269000.0
2018-08-30,1479400.0
2018-10-01,2113100.0
2019-06-14,2482500.0
2019-05-13,1829400.0
2019-04-11,1518800.0
2019-02-06,2335300.0
2019-09-18,2744100.0
2020-02-03,2596400.0
2020-04-22,3093200.0
2019-11-19,1962300.0
2020-02-06,2673500.0
2019-11-22,1874700.0
2019-03-25,1541000.0
2019-02-21,2034200.0
2018-12-19,3218000.0
2018-07-12,4086500.0
2018-09-14,2593600.0
2018-08-13,3271600.0
2018-10-16,4116300.0
2019-07-31,2712100.0
2019-05-28,3638500.0
2019-04-26,4197300.0
2020-04-28,4347100.0
2019-11-25,3600900.0
2020-02-12,2559100.0
2020-05-01,3476200.0
2020-05-04,3635300.0
2019-06-12,3092500.0
2019-04-09,3182100.0
2019-03-08,2686800.0
2019-02-04,5546200.0
2018-07-27,5158200.0
2018-08-28,3657700.0
2019-01-03,3507500.0
2019-08-15,3496900.0
2018-10-31,2895200.0
2019-09-16,3606500.0
2020-02-18,3935400.0
2020-05-07,4625500.0
2018-08-17,4503900.0
2019-12-04,4589900.0
2020-02-21,6514300.0
2018-12-17,5343400.0
2019-08-30,4236000.0
2018-11-15,4731200.0
2019-07-29,4877800.0
2019-06-27,4789700.0
2019-04-24,4314800.0
2018-07-10,4732700.0
2018-09-12,6012200.0
2019-02-19,3350700.0
2019-01-18,3089200.0
2020-02-24,1888800.0
2020-05-13,3213700.0
2019-12-10,2156900.0
2020-02-27,2258200.0
2019-12-13,3108900.0
2020-05-19,3467100.0
2019-03-06,5009600.0
2018-11-30,6547400.0
2019-08-13,8001900.0
2019-07-12,5232300.0
