Dates,GC=F
2018-06-20,1274.4000244140625
2018-06-21,1262.699951171875
2018-06-25,1268.0999755859375
2018-06-22,1270.5999755859375
2018-06-26,1267.199951171875
2018-06-27,1255.5
2018-06-28,1251.699951171875
2018-06-29,1250.300048828125
2018-07-02,1249.9000244140625
2018-07-05,1255.5
2018-07-06,1255.5
2018-07-16,1258.199951171875
2018-09-18,1256.199951171875
2019-01-24,1253.199951171875
2019-09-05,1240.9000244140625
2018-11-21,1244.699951171875
2020-01-13,1242.699951171875
2020-04-01,1225.699951171875
2020-06-19,1226.699951171875
2019-10-29,1227.199951171875
2020-01-16,1229.5
2020-06-22,1222.0
2018-10-03,1223.9000244140625
2018-07-31,1231.4000244140625
2019-03-12,1227.800048828125
2019-02-08,1222.5999755859375
2019-01-07,1222.5
2018-12-06,1220.4000244140625
2019-08-19,1222.9000244140625
2019-07-18,1214.699951171875
2019-05-15,1206.5
2019-09-20,1214.4000244140625
2019-11-01,1207.800048828125
2020-01-19,1212.0
2020-04-07,1214.5
2020-06-25,1212.5
2020-06-16,1207.0
2019-11-04,1193.0999755859375
2020-01-22,1187.800048828125
2020-06-28,1173.199951171875
2019-11-07,1174.699951171875
2020-04-13,1184.800048828125
2019-07-01,1189.800048828125
2019-05-30,1194.699951171875
2018-08-15,1189.300048828125
2018-10-18,1185.300048828125
2019-03-27,1210.300048828125
2019-01-22,1209.699951171875
2018-12-21,1205.199951171875
2019-09-03,1205.4000244140625
2018-11-19,1207.0999755859375
2019-08-02,1193.800048828125
2020-01-28,1192.5
2020-04-16,1202.0
2019-11-13,1198.300048828125
2020-01-31,1193.0
2020-04-19,1190.4000244140625
2018-12-04,1205.0
2018-11-02,1203.4000244140625
2019-07-16,1195.0
2018-08-30,1199.699951171875
2018-10-01,1198.699951171875
2019-06-14,1202.199951171875
2019-05-13,1206.199951171875
2019-04-11,1196.199951171875
2019-02-06,1199.300048828125
2019-09-18,1202.0999755859375
2020-02-03,1194.0
2020-04-22,1194.5999755859375
2019-11-19,1181.699951171875
2020-02-06,1191.5999755859375
2019-11-22,1193.0
2020-02-09,1202.5999755859375
2019-03-25,1199.300048828125
2019-02-21,1197.0999755859375
2018-12-19,1201.0
2018-07-12,1185.5999755859375
2018-09-14,1189.300048828125
2018-08-13,1198.0999755859375
2018-10-16,1221.5999755859375
2019-07-31,1222.4000244140625
2019-05-28,1227.0999755859375
2019-04-26,1225.9000244140625
2020-04-28,1226.5
2019-11-25,1225.300048828125
2020-02-12,1224.5
2020-05-01,1224.800048828125
2020-05-04,1231.5999755859375
2019-06-12,1238.5999755859375
2019-04-09,1234.300048828125
2019-03-08,1224.5
2019-02-04,1227.699951171875
2018-07-27,1216.0
2018-08-28,1215.4000244140625
2019-01-03,1233.300048828125
2019-08-15,1230.5999755859375
2018-10-31,1230.699951171875
2019-09-16,1228.5999755859375
2020-02-18,1222.9000244140625
2020-05-07,1207.9000244140625
2018-08-17,1201.5999755859375
2019-12-04,1196.300048828125
2020-02-21,1207.9000244140625
2020-05-10,1212.800048828125
2018-12-17,1216.699951171875
2019-08-30,1223.0999755859375
2018-11-15,1225.300048828125
2019-07-29,1225.800048828125
2019-06-27,1220.199951171875
2019-04-24,1221.9000244140625
2018-07-10,1211.5
2018-09-12,1221.0
2019-02-19,1224.0999755859375
2019-01-18,1222.5
2020-02-24,1231.0
2020-05-13,1237.5
2019-12-10,1238.300048828125
2020-02-27,1249.5999755859375
2019-12-13,1245.800048828125
2020-05-19,1245.300048828125
2019-03-06,1243.5
2018-11-30,1241.699951171875
2019-08-13,1239.300048828125
2019-07-12,1248.199951171875
2019-06-10,1255.800048828125
2019-05-09,1243.199951171875
2018-07-25,1260.300048828125
2018-09-27,1269.300048828125
2018-10-29,1276.699951171875
2019-10-16,1273.5
2019-12-16,1278.0
2020-03-04,1286.0
2020-05-22,1286.800048828125
2019-10-01,1294.199951171875
2019-12-19,1286.800048828125
2018-09-10,1280.5
2019-05-24,1279.4000244140625
2018-08-09,1284.699951171875
2019-04-22,1291.199951171875
