Dates,ATVI
2018-06-20,77.66999816894531
2018-06-21,77.91000366210938
2018-06-25,76.55999755859375
2018-06-22,75.4000015258789
2018-06-26,76.41999816894531
2018-06-27,75.88999938964844
2018-06-28,76.19000244140625
2018-06-29,77.23999786376953
2018-07-02,77.33000183105469
2018-07-03,77.68000030517578
2018-07-05,76.80999755859375
2018-07-16,77.4800033569336
2018-09-18,77.98999786376953
2019-01-24,77.06999969482422
2019-09-05,79.36000061035156
2018-11-21,81.45999908447266
2020-01-13,81.63999938964844
2020-04-01,81.63999938964844
2020-06-19,81.16000366210938
2019-10-29,81.47000122070312
2020-01-16,81.19000244140625
2020-06-22,80.95999908447266
2018-10-03,80.0
2018-07-31,80.19999694824219
2019-03-12,79.73999786376953
2019-02-08,79.62000274658203
2019-01-07,77.56999969482422
2018-12-06,75.4800033569336
2019-08-19,74.29000091552734
2019-07-18,74.58000183105469
2019-05-15,74.16000366210938
2019-09-20,75.25
2019-11-01,71.61000061035156
2020-04-07,71.66999816894531
2020-06-25,70.55000305175781
2020-06-16,70.97000122070312
2019-11-04,71.04000091552734
2020-01-22,72.30000305175781
2019-11-07,71.73999786376953
2020-04-13,70.80999755859375
2019-07-01,69.98999786376953
2019-05-30,69.66999816894531
2018-08-15,69.38999938964844
2018-10-18,70.26000213623047
2019-03-27,71.5199966430664
2019-01-22,71.9000015258789
2018-12-21,74.16000366210938
2019-09-03,75.0
2018-11-19,74.33000183105469
2019-08-02,75.4000015258789
2020-01-28,75.7699966430664
2020-04-16,72.44999694824219
2019-11-13,73.04000091552734
2020-01-31,73.18000030517578
2018-12-04,72.43000030517578
2018-11-02,73.70999908447266
2019-07-16,74.7300033569336
2018-08-30,79.54000091552734
2018-10-01,81.48999786376953
2019-06-14,81.4000015258789
2019-05-13,82.02999877929688
2019-04-11,81.87999725341797
2019-02-06,80.37999725341797
2019-09-18,80.12999725341797
2020-02-03,81.04000091552734
2020-04-22,81.33000183105469
2019-11-19,80.69000244140625
2020-02-06,81.26000213623047
2019-11-22,82.45999908447266
2019-03-25,83.2300033569336
2019-02-21,83.75
2018-12-19,84.68000030517578
2018-07-12,83.75
2018-09-14,83.93000030517578
2018-08-13,82.68000030517578
2018-10-16,81.0
2019-07-31,79.25
2019-05-28,78.8499984741211
2019-04-26,77.63999938964844
2020-04-28,75.63999938964844
2019-11-25,80.25
2020-02-12,76.69999694824219
2020-05-01,78.9800033569336
2020-05-04,78.52999877929688
2019-06-12,74.58000183105469
2019-04-09,72.76000213623047
2019-03-08,70.94999694824219
2019-02-04,69.38999938964844
2018-07-27,70.08999633789062
2018-08-28,70.7300033569336
2019-01-03,70.20999908447266
2019-08-15,70.33999633789062
2018-10-31,67.5
2019-09-16,70.13999938964844
2020-02-18,69.7300033569336
2020-05-07,70.29000091552734
2018-08-17,68.30000305175781
2019-12-04,65.9800033569336
2020-02-21,66.5999984741211
2018-12-17,65.4000015258789
2019-08-30,56.91999816894531
2018-11-15,55.599998474121094
2019-07-29,54.97999954223633
2019-06-27,53.4900016784668
