Dates,ATVI
2018-06-20,76.77999877929688
2018-06-21,75.30999755859375
2018-06-25,75.22000122070312
2018-06-22,74.13999938964844
2018-06-26,74.43000030517578
2018-06-27,73.4000015258789
2018-06-28,73.66000366210938
2018-06-29,76.08000183105469
2018-07-02,75.0
2018-07-03,75.72000122070312
2018-07-05,75.69000244140625
2018-07-16,76.0199966430664
2018-09-18,75.93000030517578
2019-01-24,75.66999816894531
2019-09-05,75.3499984741211
2018-11-21,78.66999816894531
2020-01-13,79.91999816894531
2020-04-01,80.0999984741211
2020-06-19,77.55000305175781
2019-10-29,80.4000015258789
2020-01-16,80.19000244140625
2020-06-22,79.55000305175781
2018-10-03,78.81999969482422
2018-07-31,77.95999908447266
2019-03-12,78.31999969482422
2019-02-08,77.45999908447266
2019-01-07,74.66999816894531
2018-12-06,71.79000091552734
2019-08-19,72.5199966430664
2019-07-18,72.91999816894531
2019-05-15,72.55000305175781
2019-09-20,70.7300033569336
2019-11-01,70.45999908447266
2020-04-07,69.87000274658203
2020-06-25,69.2699966430664
2020-06-16,69.55999755859375
2019-11-04,69.7699966430664
2020-01-22,70.26000213623047
2019-11-07,70.18000030517578
2020-04-13,68.44000244140625
2019-07-01,68.91000366210938
2019-05-30,68.33000183105469
2018-08-15,68.22000122070312
2018-10-18,69.04000091552734
2019-03-27,69.5
2019-01-22,70.51000213623047
2018-12-21,71.45999908447266
2019-09-03,73.33000183105469
2018-11-19,73.38999938964844
2019-08-02,73.87999725341797
2020-01-28,73.5999984741211
2020-04-16,71.01000213623047
2019-11-13,72.02999877929688
2020-01-31,71.0
2018-12-04,71.1500015258789
2018-11-02,71.80999755859375
2019-07-16,73.25
2018-08-30,74.66000366210938
2018-10-01,78.80000305175781
2019-06-14,79.83000183105469
2019-05-13,80.43000030517578
2019-04-11,78.66000366210938
2019-02-06,78.81999969482422
2019-09-18,78.5199966430664
2020-02-03,79.3499984741211
2020-04-22,80.25
2019-11-19,79.3499984741211
2020-02-06,79.87000274658203
2019-11-22,81.0199966430664
2019-03-25,81.91999816894531
2019-02-21,82.73999786376953
2018-12-19,82.30999755859375
2018-07-12,82.19999694824219
2018-09-14,82.5199966430664
2018-08-13,79.83000183105469
2018-10-16,78.66000366210938
2019-07-31,76.33000183105469
2019-05-28,76.62000274658203
2019-04-26,73.43000030517578
2020-04-28,73.2300033569336
2019-11-25,76.55000305175781
2020-02-12,74.05000305175781
2020-05-01,76.26000213623047
2020-05-04,76.95999908447266
2019-06-12,71.22000122070312
2019-04-09,69.52999877929688
2019-03-08,69.31999969482422
2019-02-04,66.70999908447266
2018-07-27,67.23999786376953
2018-08-28,67.66000366210938
2019-01-03,67.58999633789062
2019-08-15,63.400001525878906
2018-10-31,65.33999633789062
2019-09-16,68.12000274658203
2020-02-18,67.94999694824219
2020-05-07,68.37999725341797
2018-08-17,64.0
2019-12-04,63.66999816894531
2020-02-21,64.98999786376953
2018-12-17,62.349998474121094
2019-08-30,53.5
2018-11-15,53.810001373291016
2019-07-29,52.38999938964844
2019-06-27,51.369998931884766
2019-04-24,51.029998779296875
2018-07-10,50.86000061035156
2018-09-12,48.88999938964844
