Dates,MSCI
2018-06-20,171.58999633789062
2018-06-21,169.60000610351562
2018-06-25,169.75
2018-06-22,166.72000122070312
2018-06-26,166.30999755859375
2018-06-27,163.5399932861328
2018-06-28,162.52000427246094
2018-06-29,164.94000244140625
2018-07-02,163.75999450683594
2018-07-03,165.4600067138672
2018-07-05,164.22000122070312
2018-07-16,164.72999572753906
2018-09-18,167.41000366210938
2019-01-24,168.08999633789062
2019-09-05,167.99000549316406
2018-11-21,168.83999633789062
2020-01-13,167.57000732421875
2020-04-01,168.89999389648438
2020-06-19,169.86000061035156
2019-10-29,170.5
2020-01-16,169.60000610351562
2020-06-22,170.5
2018-10-03,170.6199951171875
2018-07-31,171.57000732421875
2019-03-12,173.0
2019-02-08,173.27999877929688
2019-01-07,171.0
2018-12-06,167.1999969482422
2019-08-19,163.8699951171875
2019-07-18,162.80999755859375
2019-05-15,163.02999877929688
2019-09-20,164.61000061035156
2019-11-01,166.0500030517578
2020-04-07,170.32000732421875
2020-06-25,171.25999450683594
2020-06-16,171.0
2019-11-04,171.67999267578125
2020-01-22,172.32000732421875
2019-11-07,172.9600067138672
2020-04-13,173.07000732421875
2019-07-01,173.25
2019-05-30,172.16000366210938
2018-08-15,172.89999389648438
2018-10-18,173.44000244140625
2019-03-27,172.3000030517578
2019-01-22,172.3699951171875
2018-12-21,173.42999267578125
2019-09-03,174.4199981689453
2018-11-19,174.9199981689453
2019-08-02,177.44000244140625
2020-01-28,177.02000427246094
2020-04-16,177.42999267578125
2019-11-13,180.22000122070312
2020-01-31,177.82000732421875
2018-12-04,177.80999755859375
2018-11-02,178.75
2019-07-16,177.9600067138672
2018-08-30,176.10000610351562
2018-10-01,175.55999755859375
2019-06-14,176.52999877929688
2019-05-13,180.80999755859375
2019-04-11,177.74000549316406
2019-02-06,177.5500030517578
2019-09-18,174.13999938964844
2020-02-03,172.7899932861328
2020-04-22,175.6999969482422
2019-11-19,175.02000427246094
2020-02-06,177.91000366210938
2019-11-22,177.3699951171875
2019-03-25,178.52999877929688
2019-02-21,177.00999450683594
2018-12-19,177.47999572753906
2018-07-12,176.44000244140625
2018-09-14,177.0800018310547
2018-08-13,171.88999938964844
2018-10-16,169.13999938964844
2019-07-31,165.13999938964844
2019-05-28,166.13999938964844
2019-04-26,156.5500030517578
2020-04-28,151.5
2019-11-25,152.1199951171875
2020-02-12,150.8000030517578
2020-05-01,152.60000610351562
2020-05-04,155.25999450683594
2019-06-12,153.44000244140625
2019-04-09,153.66000366210938
2019-03-08,154.47999572753906
2019-02-04,152.27000427246094
2018-07-27,148.3699951171875
2018-08-28,146.5
2019-01-03,142.08999633789062
2019-08-15,141.05999755859375
2018-10-31,140.4600067138672
2019-09-16,146.64999389648438
2020-02-18,144.3300018310547
2020-05-07,143.52999877929688
2018-08-17,142.6699981689453
2019-12-04,144.9600067138672
2020-02-21,148.52999877929688
2018-12-17,150.74000549316406
2019-08-30,148.05999755859375
2018-11-15,147.0399932861328
2019-07-29,146.7899932861328
2019-06-27,146.50999450683594
2019-04-24,146.1199951171875
2018-07-10,149.7899932861328
2018-09-12,145.0399932861328
2019-02-19,141.3800048828125
2019-01-18,144.83999633789062
2020-02-24,145.17999267578125
2020-05-13,149.3000030517578
2019-12-10,151.05999755859375
2020-02-27,152.83999633789062
2019-12-13,156.77000427246094
