Dates,MSCI
2018-06-20,465000.0
2018-06-21,813900.0
2018-06-25,923800.0
2018-06-22,672200.0
2018-06-26,533900.0
2018-06-27,637300.0
2018-06-28,534300.0
2018-06-29,602100.0
2018-07-02,558400.0
2018-07-03,311100.0
2018-07-05,400700.0
2018-07-16,459600.0
2018-09-18,494200.0
2019-01-24,353000.0
2019-09-05,442500.0
2018-11-21,502400.0
2020-01-13,369100.0
2020-04-01,349700.0
2020-06-19,302100.0
2019-10-29,373000.0
2020-01-16,310400.0
2020-06-22,415900.0
2018-10-03,439900.0
2018-07-31,852700.0
2019-03-12,528400.0
2019-02-08,485400.0
2019-01-07,374400.0
2018-12-06,472200.0
2019-08-19,693100.0
2019-07-18,1021800.0
2019-05-15,1333600.0
2019-09-20,721600.0
2019-11-01,787300.0
2020-04-07,433800.0
2020-06-25,337700.0
2020-06-16,343300.0
2019-11-04,432300.0
2020-01-22,462700.0
2019-11-07,474300.0
2020-04-13,500100.0
2019-07-01,411600.0
2019-05-30,284000.0
2018-08-15,227400.0
2018-10-18,344500.0
2019-03-27,366600.0
2019-01-22,539300.0
2018-12-21,376400.0
2019-09-03,339300.0
2018-11-19,446500.0
2019-08-02,395200.0
2020-01-28,322100.0
2020-04-16,410400.0
2019-11-13,537900.0
2020-01-31,677500.0
2018-12-04,476500.0
2018-11-02,471100.0
2019-07-16,338900.0
2018-08-30,535200.0
2018-10-01,338900.0
2019-06-14,688800.0
2019-05-13,525500.0
2019-04-11,473200.0
2019-02-06,393500.0
2019-09-18,627300.0
2020-02-03,865200.0
2020-04-22,911100.0
2019-11-19,440700.0
2020-02-06,530800.0
2019-11-22,363700.0
2019-03-25,233100.0
2019-02-21,448000.0
2018-12-19,391400.0
2018-07-12,492000.0
2018-09-14,329700.0
2018-08-13,680300.0
2018-10-16,648100.0
2019-07-31,658000.0
2019-05-28,665900.0
2019-04-26,1505900.0
2020-04-28,1994000.0
2019-11-25,765800.0
2020-02-12,953400.0
2020-05-01,643600.0
2020-05-04,566000.0
2019-06-12,689900.0
2019-04-09,1120800.0
2019-03-08,840500.0
2019-02-04,1110100.0
2018-07-27,1416800.0
2018-08-28,1492500.0
2019-01-03,1478200.0
2019-08-15,1143100.0
2018-10-31,1584400.0
2019-09-16,1167200.0
2020-02-18,1233900.0
2020-05-07,1177000.0
2018-08-17,711800.0
2019-12-04,1026600.0
2020-02-21,976900.0
2018-12-17,700000.0
2019-08-30,892800.0
2018-11-15,874200.0
2019-07-29,842700.0
2019-06-27,1143900.0
2019-04-24,847800.0
2018-07-10,968200.0
2018-09-12,808400.0
2019-02-19,896300.0
2019-01-18,723100.0
2020-02-24,611600.0
2020-05-13,911500.0
2019-12-10,548200.0
2020-02-27,692700.0
2019-12-13,733600.0
2020-05-19,998400.0
2019-03-06,861700.0
2018-11-30,756600.0
2019-08-13,780000.0
2019-07-12,831900.0
2019-06-10,530200.0
2019-05-09,699300.0
2018-07-25,525000.0
2018-09-27,808800.0
2018-10-29,679900.0
2019-10-16,862400.0
2019-12-16,809900.0
2020-03-04,1044000.0
2020-05-22,999900.0
2019-10-01,2022500.0
2019-12-19,580400.0
2018-09-10,930900.0
2019-05-24,863500.0
2018-08-09,597800.0
2019-04-22,447900.0
2019-03-21,637500.0
2019-01-16,852100.0
2019-08-28,599900.0
2018-11-13,795300.0
2018-10-12,535900.0
2019-06-25,661200.0
2020-03-10,584400.0
2020-05-28,480400.0
2019-10-07,629100.0
2020-03-13,501600.0
2019-10-10,825400.0
2020-03-16,436300.0
2020-06-03,949400.0
2018-11-28,741600.0
2018-09-25,484600.0
2018-07-23,568300.0
2018-08-24,482400.0
2019-07-10,571400.0
2019-05-07,432600.0
2019-04-05,670100.0
2019-03-04,1193800.0
2019-01-31,765400.0
2019-09-12,523300.0
2019-12-31,742000.0
2020-03-19,436900.0
2020-01-03,786600.0
2020-06-09,549100.0
2019-02-15,390900.0
2019-01-14,437100.0
2018-07-06,276000.0
2018-08-07,344900.0
2018-10-10,500900.0
2018-12-13,502000.0
2019-08-26,572000.0
2019-07-25,497800.0
2019-05-22,377200.0
2019-03-19,758500.0
2020-01-06,555800.0
2020-03-25,487700.0
2020-06-12,826800.0
2019-10-22,1095200.0
2020-01-09,956100.0
2020-06-15,705500.0
2019-10-25,511200.0
2020-03-31,747100.0
2020-06-18,338400.0
2019-04-03,517200.0
2018-08-22,572400.0
2018-10-25,649800.0
2019-01-29,656900.0
2018-12-28,1508500.0
2018-11-26,794000.0
2019-08-09,603500.0
2019-07-08,593400.0
2019-06-06,694300.0
2019-09-10,806400.0
2020-01-15,591700.0
2020-04-03,494600.0
2019-10-31,439600.0
2020-04-06,471400.0
2020-06-24,525600.0
2018-11-09,617300.0
2019-07-23,859800.0
2019-06-21,513600.0
2019-05-20,463100.0
2019-04-18,530700.0
2018-09-06,607800.0
2018-10-08,520100.0
2019-02-13,623100.0
2018-12-11,687700.0
2019-09-25,650900.0
2020-01-21,477000.0
2020-04-09,698500.0
2019-11-06,714600.0
2020-01-24,523200.0
2020-01-27,215400.0
2020-04-15,553700.0
2018-12-26,511000.0
2019-08-07,908600.0
2019-06-04,389400.0
2018-09-21,499400.0
2018-07-19,804100.0
2018-08-20,689600.0
2018-10-23,925000.0
2019-05-03,520500.0
2019-04-01,605800.0
2019-02-28,737800.0
2019-11-12,589000.0
2020-01-30,576600.0
2019-11-15,388800.0
2020-04-21,1587100.0
2019-04-16,503400.0
2019-03-15,432800.0
2019-02-11,562900.0
2019-01-10,466200.0
2019-08-22,348600.0
2018-11-07,692500.0
2018-08-03,340100.0
2018-09-04,552800.0
2019-06-19,620800.0
2019-09-23,985900.0
2019-11-18,549800.0
2020-02-05,502000.0
2020-04-24,392600.0
2019-03-29,596200.0
2019-11-21,472800.0
2020-04-27,959200.0
2020-02-11,635800.0
2020-04-30,448000.0
2019-05-01,419200.0
2019-02-26,783200.0
2019-01-25,523600.0
2018-12-24,443500.0
2019-09-06,328000.0
2018-07-17,385900.0
2018-09-19,439700.0
2019-08-05,519500.0
2019-10-08,563100.0
2019-12-11,747100.0
2019-11-27,416900.0
2020-02-14,365800.0
2020-05-06,490400.0
2019-01-08,547000.0
2018-12-07,652700.0
2019-08-20,436500.0
2018-11-05,401900.0
2019-07-19,170200.0
2018-10-04,376900.0
2019-06-17,440000.0
2019-05-16,448900.0
2018-08-01,511000.0
2019-03-13,290200.0
2019-12-03,294000.0
2020-02-20,197800.0
