Dates,AVY
2018-06-20,102.19999694824219
2018-06-21,101.4800033569336
2018-06-25,100.66999816894531
2018-06-22,100.0199966430664
2018-06-26,101.8499984741211
2018-06-27,101.62999725341797
2018-06-28,100.36000061035156
2018-06-29,100.91999816894531
2018-07-02,101.5199966430664
2018-07-03,101.0199966430664
2018-07-05,100.66999816894531
2018-07-16,100.63999938964844
2018-09-18,101.5
2019-01-24,102.16999816894531
2019-09-05,102.04000091552734
2018-11-21,102.31999969482422
2020-01-13,102.4800033569336
2020-04-01,103.6500015258789
2020-06-19,102.55000305175781
2019-10-29,104.45999908447266
2020-01-16,104.4000015258789
2020-06-22,103.27999877929688
2018-10-03,103.9000015258789
2018-07-31,109.41000366210938
2019-03-12,115.44999694824219
2019-02-08,112.30000305175781
2019-01-07,113.33000183105469
2018-12-06,112.68000030517578
2019-08-19,113.19999694824219
2019-07-18,114.44000244140625
2019-05-15,112.52999877929688
2019-09-20,112.69999694824219
2019-11-01,112.76000213623047
2020-04-07,113.4800033569336
2020-06-25,112.6500015258789
2020-06-16,111.76000213623047
2019-11-04,111.0199966430664
2020-01-22,110.4800033569336
2019-11-07,108.52999877929688
2020-04-13,107.29000091552734
2019-07-01,107.79000091552734
2019-05-30,106.86000061035156
2018-08-15,107.06999969482422
2018-10-18,107.87999725341797
2019-03-27,107.38999938964844
2019-01-22,106.12999725341797
2018-12-21,105.54000091552734
2019-09-03,105.94999694824219
2018-11-19,106.83999633789062
2019-08-02,106.02999877929688
2020-01-28,106.38999938964844
2020-04-16,104.95999908447266
2019-11-13,104.55999755859375
2020-01-31,104.20999908447266
2018-12-04,105.19000244140625
2018-11-02,104.6500015258789
2019-07-16,105.91000366210938
2018-08-30,105.43000030517578
2018-10-01,105.69999694824219
2019-06-14,107.81999969482422
2019-05-13,108.4800033569336
2019-04-11,109.11000061035156
2019-02-06,109.30999755859375
2019-09-18,111.8499984741211
2020-02-03,112.12999725341797
2020-04-22,112.87000274658203
2019-11-19,112.76000213623047
2020-02-06,111.2300033569336
2019-11-22,110.11000061035156
2019-03-25,108.93000030517578
2019-02-21,107.55999755859375
2018-12-19,108.9000015258789
2018-07-12,109.27999877929688
2018-09-14,109.33000183105469
2018-08-13,107.2300033569336
2018-10-16,107.22000122070312
2019-07-31,106.61000061035156
2019-05-28,106.62999725341797
2019-04-26,104.6500015258789
2020-04-28,100.55999755859375
2019-11-25,98.5
2020-02-12,98.06999969482422
2020-05-01,98.80000305175781
2020-05-04,100.19999694824219
2019-06-12,98.86000061035156
2019-04-09,98.06999969482422
2019-03-08,97.87000274658203
2019-02-04,96.69000244140625
2018-07-27,93.12999725341797
2018-08-28,89.55000305175781
2019-01-03,87.55999755859375
2019-08-15,88.94000244140625
2018-10-31,89.69000244140625
2019-09-16,91.33000183105469
2020-02-18,91.31999969482422
2020-05-07,92.98999786376953
2018-08-17,92.55999755859375
2019-12-04,91.88999938964844
2020-02-21,93.13999938964844
2018-12-17,93.01000213623047
2019-08-30,93.19000244140625
2018-11-15,92.05999755859375
2019-07-29,91.72000122070312
2019-06-27,92.54000091552734
2019-04-24,90.7699966430664
2018-07-10,91.80000305175781
2018-09-12,93.52999877929688
2019-02-19,91.47000122070312
2019-01-18,92.63999938964844
2020-02-24,91.61000061035156
2020-05-13,93.20999908447266
2019-12-10,92.9800033569336
2020-02-27,93.20999908447266
2019-12-13,95.69999694824219
2020-05-19,95.44999694824219
2019-03-06,97.97000122070312
2018-11-30,95.52999877929688
2019-08-13,92.37999725341797
2019-07-12,93.8499984741211
2019-06-10,91.79000091552734
2019-05-09,92.41000366210938
2018-07-25,92.30000305175781
2018-09-27,91.4800033569336
2018-10-29,90.36000061035156
2019-10-16,90.69999694824219
2019-12-16,89.80000305175781
2020-03-04,89.58999633789062
2020-05-22,87.87000274658203
2019-10-01,86.27999877929688
2019-12-19,85.58999633789062
2018-09-10,83.95999908447266
2019-05-24,85.73999786376953
2018-08-09,89.73999786376953
2019-04-22,89.0999984741211
2019-03-21,88.63999938964844
2019-01-16,89.62999725341797
2019-08-28,88.2699966430664
2018-11-13,90.4000015258789
2018-10-12,91.4000015258789
2019-06-25,91.4800033569336
2020-03-10,91.51000213623047
2020-05-28,93.11000061035156
2019-10-07,93.94999694824219
2020-03-13,94.0
2019-10-10,93.54000091552734
2020-03-16,93.05999755859375
2020-06-03,95.1500015258789
2018-11-28,96.5
2018-09-25,97.20999908447266
2018-07-23,95.66999816894531
2018-08-24,96.80000305175781
2019-07-10,96.77999877929688
2019-05-07,98.0999984741211
2019-04-05,100.55000305175781
2019-03-04,102.2300033569336
2019-01-31,104.19000244140625
2019-09-12,103.93000030517578
2019-12-31,103.94999694824219
2020-03-19,104.33000183105469
2020-01-03,103.30000305175781
2020-06-09,102.69999694824219
2019-02-15,102.97000122070312
2019-01-14,102.36000061035156
2018-07-06,104.5
2018-08-07,104.01000213623047
2018-10-10,104.83000183105469
2018-12-13,104.48999786376953
2019-08-26,105.12999725341797
2019-07-25,106.1500015258789
2019-05-22,106.0999984741211
2019-03-19,107.48999786376953
2020-01-06,108.04000091552734
2020-03-25,106.56999969482422
2020-06-12,107.58000183105469
2019-10-22,108.87999725341797
2020-01-09,109.9800033569336
2020-06-15,108.94999694824219
2019-10-25,108.98999786376953
2020-03-31,107.22000122070312
2020-06-18,107.20999908447266
2019-04-03,108.69000244140625
2018-08-22,109.54000091552734
2018-10-25,110.97000122070312
2019-01-29,109.69000244140625
2018-12-28,109.75
2018-11-26,110.20999908447266
2019-08-09,112.0
2019-07-08,111.58000183105469
2019-06-06,109.87999725341797
2019-09-10,110.81999969482422
2020-01-15,108.83999633789062
2020-04-03,109.98999786376953
2019-10-31,110.93000030517578
2020-04-06,111.47000122070312
2020-06-24,113.48999786376953
2018-11-09,113.7300033569336
2019-07-23,113.7300033569336
2019-06-21,113.86000061035156
2019-05-20,113.2300033569336
2019-04-18,113.6500015258789
2018-09-06,113.23999786376953
2018-10-08,113.33999633789062
2019-02-13,112.73999786376953
2018-12-11,114.08000183105469
2019-09-25,114.88999938964844
2020-01-21,116.3499984741211
2020-04-09,115.83000183105469
2019-11-06,116.83000183105469
2020-01-24,112.51000213623047
2020-01-27,113.25
2020-04-15,114.13999938964844
2018-12-26,112.77999877929688
