Dates,AVY
2018-06-20,101.55000305175781
2018-06-21,100.22000122070312
2018-06-25,100.25
2018-06-22,101.91999816894531
2018-06-26,101.5999984741211
2018-06-27,100.31999969482422
2018-06-28,100.63999938964844
2018-06-29,102.0999984741211
2018-07-02,100.55000305175781
2018-07-03,100.20999908447266
2018-07-05,100.5
2018-07-16,101.06999969482422
2018-09-18,102.31999969482422
2019-01-24,102.70999908447266
2019-09-05,101.7300033569336
2018-11-21,102.23999786376953
2020-01-13,103.66000366210938
2020-04-01,103.0
2020-06-19,104.4800033569336
2019-10-29,104.54000091552734
2020-01-16,103.9800033569336
2020-06-22,103.94999694824219
2018-10-03,102.95999908447266
2018-07-31,114.37000274658203
2019-03-12,112.31999969482422
2019-02-08,113.12999725341797
2019-01-07,112.45999908447266
2018-12-06,112.58999633789062
2019-08-19,114.68000030517578
2019-07-18,113.41000366210938
2019-05-15,112.37000274658203
2019-09-20,113.1500015258789
2019-11-01,113.58999633789062
2020-04-07,112.29000091552734
2020-06-25,111.37000274658203
2020-06-16,111.44000244140625
2019-11-04,110.16000366210938
2020-01-22,108.5
2019-11-07,107.81999969482422
2020-04-13,107.0
2019-07-01,107.30999755859375
2019-05-30,106.94999694824219
2018-08-15,107.97000122070312
2018-10-18,107.2300033569336
2019-03-27,106.38999938964844
2019-01-22,105.37000274658203
2018-12-21,105.79000091552734
2019-09-03,106.55999755859375
2018-11-19,106.41999816894531
2019-08-02,106.5
2020-01-28,105.20999908447266
2020-04-16,105.18000030517578
2019-11-13,103.9800033569336
2020-01-31,105.27999877929688
2018-12-04,105.12999725341797
2018-11-02,105.37999725341797
2019-07-16,105.87000274658203
2018-08-30,105.5999984741211
2018-10-01,105.80000305175781
2019-06-14,108.48999786376953
2019-05-13,109.05999755859375
2019-04-11,109.3499984741211
2019-02-06,111.81999969482422
2019-09-18,111.62000274658203
2020-02-03,112.58000183105469
2020-04-22,112.76000213623047
2019-11-19,111.33999633789062
2020-02-06,110.06999969482422
2019-11-22,108.8499984741211
2019-03-25,107.81999969482422
2019-02-21,108.3499984741211
2018-12-19,109.12999725341797
2018-07-12,109.13999938964844
2018-09-14,107.55999755859375
2018-08-13,107.04000091552734
2018-10-16,106.66000366210938
2019-07-31,106.91000366210938
2019-05-28,104.72000122070312
2019-04-26,100.4800033569336
2020-04-28,97.19000244140625
2019-11-25,98.0199966430664
2020-02-12,98.38999938964844
2020-05-01,100.33000183105469
2020-05-04,99.55000305175781
2019-06-12,97.86000061035156
2019-04-09,97.58000183105469
2019-03-08,96.97000122070312
2019-02-04,92.4000015258789
2018-07-27,88.93000030517578
2018-08-28,89.0
2019-01-03,88.12000274658203
2019-08-15,89.38999938964844
2018-10-31,90.58999633789062
2019-09-16,90.72000122070312
2020-02-18,93.08000183105469
2020-05-07,92.41999816894531
2018-08-17,91.94000244140625
2019-12-04,91.97000122070312
2020-02-21,93.33000183105469
2018-12-17,93.62000274658203
2019-08-30,92.0
2018-11-15,91.44999694824219
2019-07-29,91.94000244140625
2019-06-27,91.62000274658203
2019-04-24,92.0199966430664
2018-07-10,93.91000366210938
2018-09-12,92.44000244140625
2019-02-19,92.30000305175781
2019-01-18,92.41999816894531
2020-02-24,92.58999633789062
2020-05-13,93.48999786376953
2019-12-10,92.94000244140625
2020-02-27,96.04000091552734
2019-12-13,95.33000183105469
2020-05-19,96.4000015258789
2019-03-06,96.19000244140625
2018-11-30,93.66999816894531
2019-08-13,93.8499984741211
2019-07-12,91.97000122070312
2019-06-10,91.16999816894531
2019-05-09,91.0999984741211
2018-07-25,91.54000091552734
2018-09-27,90.7699966430664
2018-10-29,91.19999694824219
2019-10-16,89.16999816894531
2019-12-16,89.5999984741211
2020-03-04,88.19000244140625
2020-05-22,86.69000244140625
2019-10-01,85.94999694824219
2019-12-19,83.79000091552734
2018-09-10,87.12999725341797
2019-05-24,89.31999969482422
2018-08-09,88.83000183105469
2019-04-22,89.83000183105469
2019-03-21,89.98999786376953
2019-01-16,87.06999969482422
2019-08-28,90.44999694824219
2018-11-13,90.87999725341797
2018-10-12,91.80999755859375
2019-06-25,91.7300033569336
2020-03-10,93.62000274658203
2020-05-28,94.61000061035156
2019-10-07,93.97000122070312
2020-03-13,93.73999786376953
2019-10-10,93.33000183105469
2020-03-16,94.81999969482422
2020-06-03,96.56999969482422
2018-11-28,96.51000213623047
2018-09-25,95.4800033569336
2018-07-23,95.9800033569336
2018-08-24,97.19999694824219
2019-07-10,97.83999633789062
2019-05-07,98.75
2019-04-05,102.19999694824219
2019-03-04,104.44999694824219
2019-01-31,104.47000122070312
2019-09-12,103.66999816894531
2019-12-31,104.7699966430664
2020-03-19,104.0999984741211
2020-01-03,103.02999877929688
2020-06-09,102.81999969482422
2019-02-15,102.0
2019-01-14,104.08000183105469
2018-07-06,104.41000366210938
2018-08-07,103.94999694824219
2018-10-10,104.9000015258789
2018-12-13,104.9800033569336
2019-08-26,106.43000030517578
2019-07-25,105.61000061035156
2019-05-22,106.94000244140625
2019-03-19,107.94000244140625
2020-01-06,106.8499984741211
2020-03-25,107.77999877929688
2020-06-12,108.04000091552734
2019-10-22,109.70999908447266
2020-01-09,109.38999938964844
2020-06-15,108.83999633789062
2019-10-25,107.9800033569336
2020-03-31,107.79000091552734
2020-06-18,108.4000015258789
2019-04-03,109.1500015258789
2018-08-22,110.55999755859375
2018-10-25,109.97000122070312
2019-01-29,110.12000274658203
2018-12-28,110.20999908447266
2018-11-26,111.5999984741211
2019-08-09,112.2699966430664
2019-07-08,109.9800033569336
2019-06-06,111.23999786376953
2019-09-10,108.98999786376953
2020-01-15,109.37999725341797
2020-04-03,110.86000061035156
2019-10-31,111.0999984741211
2020-04-06,113.0199966430664
2020-06-24,113.0
2018-11-09,113.69000244140625
2019-07-23,113.08999633789062
2019-06-21,113.2699966430664
2019-05-20,113.58999633789062
2019-04-18,114.04000091552734
2018-09-06,113.91000366210938
2018-10-08,112.62000274658203
2019-02-13,113.76000213623047
2018-12-11,114.3499984741211
2019-09-25,116.30999755859375
2020-01-21,116.02999877929688
2020-04-09,116.37000274658203
2019-11-06,113.63999938964844
2020-01-24,113.37000274658203
2020-01-27,113.88999938964844
2020-04-15,116.0
2018-12-26,110.80000305175781
2019-08-07,108.45999908447266
2019-06-04,109.18000030517578
2018-09-21,109.61000061035156
2018-07-19,110.6500015258789
2018-08-20,108.5199966430664
2018-10-23,109.61000061035156
2019-05-03,111.41999816894531
2019-04-01,109.41999816894531
2019-02-28,106.83000183105469
2019-11-12,106.22000122070312
2020-01-30,105.54000091552734
2019-11-15,106.25
2020-04-21,103.76000213623047
2019-04-16,103.4000015258789
2019-03-15,103.02999877929688
2019-02-11,102.79000091552734
2019-01-10,101.66000366210938
2019-08-22,99.91999816894531
2018-11-07,101.48999786376953
2018-08-03,100.5999984741211
2018-09-04,99.69000244140625
2019-06-19,101.26000213623047
2019-09-23,101.80000305175781
2019-11-18,102.54000091552734
2020-02-05,103.63999938964844
2020-04-24,104.05999755859375
2019-03-29,105.77999877929688
2019-11-21,107.69000244140625
2020-04-27,109.12999725341797
2020-02-11,110.3499984741211
2020-04-30,112.1500015258789
2019-05-01,112.52999877929688
2019-02-26,112.2699966430664
2019-01-25,111.83000183105469
2018-12-24,111.05000305175781
2019-09-06,110.38999938964844
2018-07-17,110.12000274658203
2018-09-19,110.54000091552734
2019-08-05,111.43000030517578
2019-10-08,112.83999633789062
2019-12-11,112.06999969482422
2019-11-27,111.70999908447266
2020-02-14,111.93000030517578
2020-05-06,110.3499984741211
2019-01-08,113.02999877929688
2018-12-07,115.68000030517578
2019-08-20,118.55999755859375
2018-11-05,119.44000244140625
2019-07-19,120.1500015258789
2018-10-04,120.4800033569336
2019-06-17,117.69999694824219
2019-05-16,115.6500015258789
2018-08-01,114.5999984741211
2019-03-13,115.30000305175781
2019-12-03,113.4800033569336
2020-02-20,113.45999908447266
2019-12-06,115.91000366210938
2020-05-12,113.26000213623047
2019-12-09,113.8499984741211
2020-02-26,113.86000061035156
2020-05-15,112.29000091552734
2019-03-28,117.08999633789062
2018-09-17,116.61000061035156
2018-08-16,115.98999786376953
2018-10-19,117.19000244140625
2019-04-29,116.4000015258789
2019-01-23,116.08999633789062
2019-09-04,114.87000274658203
2018-11-20,111.0199966430664
2019-07-02,110.87000274658203
2019-05-31,108.33999633789062
2019-12-12,110.05999755859375
2020-05-18,111.01000213623047
2019-09-27,114.66999816894531
2020-03-03,113.25
2020-05-21,112.12000274658203
2019-05-14,112.7300033569336
2018-08-31,109.9000015258789
2018-07-30,111.62999725341797
2018-10-02,113.9800033569336
2019-04-12,115.73999786376953
2019-03-11,114.08999633789062
2019-02-07,114.97000122070312
2019-07-17,114.94999694824219
2019-09-19,110.72000122070312
2019-10-21,111.69000244140625
2019-12-18,112.91999816894531
2020-03-06,113.69000244140625
2019-10-03,115.0
2020-03-09,115.56999969482422
2020-05-27,112.66000366210938
2019-12-24,114.3499984741211
2020-03-12,113.93000030517578
2018-12-20,114.19000244140625
2019-08-01,113.41999816894531
2018-08-14,113.69000244140625
2018-07-13,113.0
2018-10-17,113.0
2019-05-29,116.55000305175781
2019-03-26,112.94000244140625
2019-02-22,114.69999694824219
2019-10-04,114.41999816894531
2019-11-05,114.06999969482422
2019-12-27,112.81999969482422
2020-06-02,113.19999694824219
2019-12-30,112.33000183105469
2020-03-18,112.26000213623047
2020-06-05,112.55999755859375
2019-07-15,112.81999969482422
2018-12-03,113.56999969482422
2019-06-13,111.66000366210938
2019-01-04,109.41000366210938
2018-08-29,109.44999694824219
2019-02-05,111.36000061035156
2018-11-01,111.16999816894531
2019-08-16,108.9000015258789
2019-04-10,110.51000213623047
2019-09-17,111.30000305175781
2019-10-15,113.37000274658203
2020-01-02,112.9000015258789
2020-06-08,113.62000274658203
2019-10-18,114.08000183105469
2020-03-24,115.3499984741211
2020-06-11,116.88999938964844
2020-01-08,118.5
2019-04-25,118.43000030517578
2019-07-30,126.13999938964844
2019-02-20,126.19999694824219
2018-07-11,126.80000305175781
2018-09-13,127.48999786376953
2018-10-15,129.17999267578125
2019-06-28,129.00999450683594
2018-12-18,127.86000061035156
2018-11-16,129.39999389648438
2019-10-02,130.64999389648438
2020-03-27,133.30999755859375
2020-01-10,132.02000427246094
2019-10-24,132.6699981689453
2020-03-30,133.8300018310547
2020-06-17,133.4600067138672
2020-01-14,133.88999938964844
2020-04-02,132.22000122070312
2019-01-02,131.85000610351562
2019-08-14,132.0800018310547
2018-10-30,131.1199951171875
2019-06-11,131.5399932861328
2019-05-10,131.77000427246094
2019-04-08,131.52000427246094
2018-08-27,129.25999450683594
2018-07-26,129.25
2018-09-28,130.74000549316406
2019-03-07,130.80999755859375
2019-10-30,130.3699951171875
2020-01-17,128.75
2020-06-23,128.77000427246094
2020-04-08,128.52999877929688
2020-06-26,129.89999389648438
2019-03-22,130.13999938964844
2019-01-17,130.08999633789062
2019-08-29,129.77000427246094
