Dates,CAH
2018-06-20,1828800.0
2018-06-21,1745500.0
2018-06-25,2937800.0
2018-06-22,1693300.0
2018-06-26,1779300.0
2018-06-27,2028300.0
2018-06-28,6511700.0
2018-06-29,3545100.0
2018-07-02,3679400.0
2018-07-03,1857800.0
2018-07-05,3663000.0
2018-07-16,4756000.0
2018-09-18,3849900.0
2019-01-24,3704200.0
2019-09-05,3478900.0
2018-11-21,3528200.0
2020-01-13,3035400.0
2020-04-01,1568600.0
2020-06-19,2280900.0
2019-10-29,2235900.0
2020-01-16,4400000.0
2020-06-22,3092400.0
2018-10-03,3571400.0
2018-07-31,2911800.0
2019-03-12,3673000.0
2019-02-08,4540500.0
2019-01-07,5052200.0
2018-12-06,4419700.0
2019-08-19,9292800.0
2019-07-18,3096700.0
2019-05-15,4006800.0
2019-09-20,4835900.0
2019-11-01,7838500.0
2020-04-07,5324300.0
2020-06-25,4275600.0
2020-06-16,3378000.0
2019-11-04,3071200.0
2020-01-22,2743000.0
2019-11-07,2790400.0
2020-04-13,3104400.0
2019-07-01,5151700.0
2019-05-30,4880700.0
2018-08-15,3605800.0
2018-10-18,2831300.0
2019-03-27,2379500.0
2019-01-22,2707600.0
2018-12-21,2670100.0
2019-09-03,3027300.0
2018-11-19,2672500.0
2019-08-02,2977500.0
2020-01-28,2184300.0
2020-04-16,2038500.0
2019-11-13,2940500.0
2020-01-31,4424600.0
2018-12-04,2195300.0
2018-11-02,2500900.0
2019-07-16,2948300.0
2018-08-30,3221200.0
2018-10-01,1703900.0
2019-06-14,3027700.0
2019-05-13,3501500.0
2019-04-11,4230200.0
2019-02-06,2586100.0
2019-09-18,3127300.0
2020-02-03,4796100.0
2020-04-22,4570400.0
2019-11-19,4961500.0
2020-02-06,2995200.0
2019-11-22,2548600.0
2019-03-25,2044500.0
2019-02-21,3178600.0
2018-12-19,2236000.0
2018-07-12,1800600.0
2018-09-14,3172300.0
2018-08-13,2908600.0
2018-10-16,2068900.0
2019-07-31,1807200.0
2019-05-28,1834900.0
2019-04-26,3516900.0
2020-04-28,6872100.0
2019-11-25,3971200.0
2020-02-12,2725400.0
2020-05-01,4878800.0
2020-05-04,4351700.0
2019-06-12,3574500.0
2019-04-09,3004400.0
2019-03-08,3684300.0
2019-02-04,3209200.0
2018-07-27,6826600.0
2018-08-28,4279600.0
2019-01-03,4413100.0
2019-08-15,2742300.0
2018-10-31,4245500.0
2019-09-16,4698900.0
2020-02-18,3318600.0
2020-05-07,2383800.0
2018-08-17,1958000.0
2019-12-04,2952700.0
2020-02-21,2911000.0
2018-12-17,7442300.0
2019-08-30,4201200.0
2018-11-15,2782900.0
2019-07-29,2666800.0
2019-06-27,4346100.0
2019-04-24,3770000.0
2018-07-10,6444800.0
2018-09-12,5103200.0
2019-02-19,4419900.0
2019-01-18,4799200.0
2020-02-24,975100.0
2020-05-13,5349800.0
2019-12-10,4923300.0
2020-02-27,5282300.0
2019-12-13,2855800.0
2020-05-19,4442700.0
2019-03-06,7001200.0
2018-11-30,5149800.0
2019-08-13,4844900.0
2019-07-12,4184700.0
2019-06-10,3681600.0
2019-05-09,2382800.0
2018-07-25,2231000.0
2018-09-27,2950300.0
2018-10-29,3554700.0
2019-10-16,3643000.0
2019-12-16,3369000.0
2020-03-04,4142700.0
2020-05-22,4603600.0
2019-10-01,6035200.0
2019-12-19,1903100.0
2018-09-10,3365300.0
2019-05-24,2743100.0
2018-08-09,4077500.0
2019-04-22,2482400.0
2019-03-21,3311900.0
2019-01-16,4258800.0
2019-08-28,3077200.0
2018-11-13,2670600.0
2018-10-12,3064700.0
2019-06-25,3580900.0
2020-03-10,2760700.0
2020-05-28,1703500.0
2019-10-07,2557800.0
2020-03-13,2632800.0
2019-10-10,3136600.0
2020-03-16,2532800.0
2020-06-03,2720300.0
2018-11-28,2234300.0
2018-09-25,1539200.0
2018-07-23,1976100.0
2018-08-24,4750900.0
2019-07-10,1956300.0
2019-05-07,2568600.0
2019-04-05,5037000.0
2019-03-04,5287800.0
2019-01-31,3090700.0
2019-09-12,3855800.0
2019-12-31,2450100.0
2020-03-19,3308300.0
2020-01-03,8144800.0
2020-06-09,4727200.0
2019-02-15,2661100.0
2019-01-14,3662900.0
2018-07-06,2724700.0
2018-08-07,3608600.0
2018-10-10,3650600.0
2018-12-13,2795700.0
2019-08-26,2715900.0
2019-07-25,2590400.0
2019-05-22,2317200.0
2019-03-19,2278700.0
2020-01-06,2166600.0
2020-03-25,2818000.0
2020-06-12,4113000.0
2019-10-22,3598700.0
2020-01-09,4399500.0
2020-06-15,2962500.0
2019-10-25,2663300.0
2020-03-31,3240500.0
2020-06-18,3175400.0
2019-04-03,2864700.0
2018-08-22,2809800.0
2018-10-25,4979000.0
2019-01-29,4233800.0
2018-12-28,5657500.0
2018-11-26,4008400.0
2019-08-09,4430700.0
2019-07-08,2633600.0
2019-06-06,2285400.0
2019-09-10,2414000.0
2020-01-15,3459600.0
2020-04-03,2797300.0
2019-10-31,3600500.0
2020-04-06,3042400.0
2020-06-24,3029500.0
2018-11-09,2249300.0
2019-07-23,3544000.0
2019-06-21,3481200.0
2019-05-20,2218500.0
2019-04-18,2827000.0
2018-09-06,2005300.0
2018-10-08,1799700.0
2019-02-13,3097500.0
2018-12-11,2208900.0
2019-09-25,2524300.0
2020-01-21,2920700.0
2020-04-09,2422200.0
2019-11-06,3433000.0
2020-01-24,3975600.0
2020-01-27,2781200.0
2020-04-15,2828800.0
2018-12-26,3255200.0
2019-08-07,2348700.0
2019-06-04,1746700.0
2018-09-21,1789000.0
2018-07-19,6961700.0
2018-08-20,3044500.0
2018-10-23,2707400.0
2019-05-03,3512100.0
2019-04-01,3188100.0
2019-02-28,4987300.0
2019-11-12,3866600.0
2020-01-30,5154300.0
2019-11-15,3291100.0
2020-04-21,4349100.0
2019-04-16,3479400.0
2019-03-15,2170900.0
2019-02-11,2880100.0
2019-01-10,3068100.0
2019-08-22,3667100.0
2018-11-07,3570200.0
2018-08-03,1986700.0
2018-09-04,2021100.0
2019-06-19,1173400.0
2019-09-23,1727200.0
2019-11-18,3058800.0
2020-02-05,2552700.0
2020-04-24,3134200.0
2019-03-29,2531800.0
2019-11-21,2728500.0
2020-04-27,2639100.0
2020-02-11,2748900.0
2020-04-30,2290900.0
2019-05-01,2310100.0
2019-02-26,2914800.0
2019-01-25,1705500.0
2018-12-24,2029000.0
2019-09-06,1732500.0
2018-07-17,2183700.0
2018-09-19,2254000.0
2019-08-05,2121300.0
2019-10-08,2082800.0
2019-12-11,4091800.0
2019-11-27,2642100.0
2020-02-14,2753100.0
2020-05-06,2738100.0
2019-01-08,2649400.0
2018-12-07,2720500.0
2019-08-20,2980400.0
2018-11-05,1795400.0
2019-07-19,1949800.0
2018-10-04,2244600.0
2019-06-17,3798800.0
2019-05-16,1970700.0
2018-08-01,1882100.0
2019-03-13,2952500.0
2019-12-03,2413100.0
2020-02-20,2114800.0
2019-12-06,3525200.0
2020-05-12,3211500.0
2019-12-09,1998000.0
2020-02-26,1385700.0
2020-05-15,1663100.0
2019-03-28,2678100.0
2018-09-17,4842700.0
2018-08-16,2888700.0
2018-10-19,1472200.0
2019-04-29,1825600.0
2019-01-23,2797300.0
2019-09-04,6371200.0
2018-11-20,4735400.0
2019-07-02,2157900.0
2019-05-31,3769100.0
2019-12-12,5465300.0
2020-05-18,6580500.0
2019-09-27,4805500.0
2020-03-03,2061700.0
2020-05-21,1813900.0
2019-05-14,2161800.0
2018-08-31,3352500.0
2018-07-30,2113400.0
2018-10-02,1924600.0
2019-04-12,1661400.0
2019-03-11,2541900.0
2019-02-07,2140300.0
2019-07-17,2637600.0
2019-09-19,2863200.0
2019-10-21,2280400.0
2019-12-18,4308600.0
2020-03-06,3283800.0
2019-10-03,2957200.0
2020-03-09,3234300.0
2020-05-27,3418700.0
2019-12-24,2606500.0
2020-03-12,3069100.0
2018-12-20,1908300.0
2019-08-01,3392600.0
2018-08-14,3966000.0
2018-07-13,3009800.0
2018-10-17,2486400.0
2019-05-29,2077000.0
2019-03-26,1989500.0
2019-02-22,2215600.0
2019-10-04,2460800.0
2019-11-05,1976400.0
2019-12-27,5779500.0
2020-06-02,2337600.0
2019-12-30,2417200.0
2020-03-18,2559000.0
2020-06-05,2017200.0
2019-07-15,3159300.0
2018-12-03,2461100.0
2019-06-13,2496000.0
2019-01-04,3253500.0
2018-08-29,2503400.0
2019-02-05,1859600.0
2018-11-01,1845900.0
2019-08-16,1962200.0
2019-04-10,1940900.0
2019-09-17,2431400.0
2019-10-15,2043800.0
2020-01-02,1458700.0
2020-06-08,1807000.0
2019-10-18,5924900.0
2020-03-24,4493600.0
2020-06-11,3655700.0
2020-01-08,4647200.0
2019-04-25,1950400.0
2019-07-30,2091900.0
2019-02-20,2007500.0
2018-07-11,1933400.0
2018-09-13,1382700.0
2018-10-15,2313400.0
2019-06-28,2807700.0
2018-12-18,3952900.0
2018-11-16,2035500.0
2019-10-02,2398300.0
2020-03-27,3111900.0
2020-01-10,3042100.0
2019-10-24,4773500.0
2020-03-30,3366200.0
2020-06-17,3544800.0
2020-01-14,3432900.0
2020-04-02,3378300.0
2019-01-02,4312300.0
2019-08-14,3373300.0
2018-10-30,2719900.0
2019-06-11,2137000.0
2019-05-10,2686400.0
2019-04-08,2301300.0
2018-08-27,2061900.0
2018-07-26,2111100.0
2018-09-28,5571600.0
2019-03-07,1988800.0
2019-10-30,833400.0
2020-01-17,1622200.0
2020-06-23,1900100.0
2020-04-08,1753800.0
2020-06-26,1924800.0
2019-03-22,1525900.0
2019-01-17,1581800.0
2019-08-29,1823200.0
2018-11-14,1691100.0
2019-06-26,1533200.0
2018-09-11,1568600.0
2018-07-09,2872500.0
2018-08-10,3657100.0
2019-04-23,2624300.0
2019-09-30,1920900.0
2020-01-23,4939500.0
2019-11-08,1402200.0
2020-04-14,535400.0
2019-11-11,839600.0
2020-01-29,1427100.0
2020-04-17,1648900.0
2018-07-24,1908300.0
2018-09-26,2824600.0
2019-05-08,1876300.0
2019-03-05,2410200.0
2019-02-01,1818700.0
2018-12-31,1727100.0
2018-11-29,1747000.0
2019-08-12,2298200.0
2019-07-11,2526500.0
2019-09-13,3186300.0
2019-11-14,4023200.0
2020-04-20,2710300.0
2020-02-04,2566400.0
2020-04-23,1874000.0
2018-12-14,3059800.0
2019-08-27,3333100.0
2018-08-08,2107200.0
2018-10-11,2511400.0
2018-11-12,2089200.0
2019-07-26,1748600.0
