Dates,HPQ
2018-06-20,23.690000534057617
2018-06-21,23.6200008392334
2018-06-25,23.899999618530273
2018-06-22,23.760000228881836
2018-06-26,23.229999542236328
2018-06-27,23.170000076293945
2018-06-28,22.850000381469727
2018-06-29,23.049999237060547
2018-07-02,22.860000610351562
2018-07-03,22.93000030517578
2018-07-05,22.989999771118164
2018-07-16,23.219999313354492
2018-09-18,23.440000534057617
2019-01-24,23.969999313354492
2019-09-05,23.709999084472656
2018-11-21,23.6200008392334
2020-01-13,23.770000457763672
2020-04-01,23.739999771118164
2020-06-19,23.719999313354492
2019-10-29,23.68000030517578
2020-01-16,23.530000686645508
2020-06-22,23.200000762939453
2018-10-03,23.149999618530273
2018-07-31,23.450000762939453
2019-03-12,23.309999465942383
2019-02-08,23.649999618530273
2019-01-07,23.549999237060547
2018-12-06,23.389999389648438
2019-08-19,23.219999313354492
2019-07-18,23.299999237060547
2019-05-15,23.260000228881836
2019-09-20,23.489999771118164
2019-11-01,23.829999923706055
2020-04-07,24.079999923706055
2020-06-25,24.25
2020-06-16,24.31999969482422
2019-11-04,24.09000015258789
2020-01-22,24.15999984741211
2019-11-07,24.25
2020-04-13,24.09000015258789
2019-07-01,24.290000915527344
2019-05-30,24.6200008392334
2018-08-15,24.799999237060547
2018-10-18,24.729999542236328
2019-03-27,24.6299991607666
2019-01-22,24.709999084472656
2018-12-21,24.3799991607666
2019-09-03,24.559999465942383
2018-11-19,24.59000015258789
2019-08-02,25.280000686645508
2020-01-28,25.260000228881836
2020-04-16,24.729999542236328
2019-11-13,24.8799991607666
2020-01-31,24.93000030517578
2018-12-04,24.920000076293945
2018-11-02,24.959999084472656
2019-07-16,24.889999389648438
2018-08-30,24.809999465942383
2018-10-01,24.690000534057617
2019-06-14,25.09000015258789
2019-05-13,25.149999618530273
2019-04-11,25.25
2019-02-06,25.270000457763672
2019-09-18,25.329999923706055
2020-02-03,25.780000686645508
2020-04-22,26.139999389648438
2019-11-19,25.950000762939453
2020-02-06,25.940000534057617
2019-11-22,26.219999313354492
2019-03-25,26.020000457763672
2019-02-21,25.889999389648438
2018-12-19,25.979999542236328
2018-07-12,26.149999618530273
2018-09-14,26.34000015258789
2018-08-13,27.079999923706055
2018-10-16,26.43000030517578
2019-07-31,25.350000381469727
2019-05-28,25.1200008392334
2019-04-26,25.0
2020-04-28,24.139999389648438
2019-11-25,23.760000228881836
2020-02-12,23.850000381469727
2020-05-01,23.979999542236328
2020-05-04,24.1299991607666
2019-06-12,24.09000015258789
2019-04-09,24.25
2019-03-08,24.43000030517578
2019-02-04,24.1299991607666
2018-07-27,24.040000915527344
2018-08-28,24.059999465942383
2019-01-03,23.6299991607666
2019-08-15,23.719999313354492
2018-10-31,23.700000762939453
2019-09-16,24.3700008392334
2020-02-18,24.5
2020-05-07,24.829999923706055
2018-08-17,24.770000457763672
2019-12-04,24.8799991607666
2020-02-21,25.510000228881836
2018-12-17,25.719999313354492
2019-08-30,25.489999771118164
2018-11-15,24.860000610351562
2019-07-29,24.329999923706055
2019-06-27,24.420000076293945
2019-04-24,24.43000030517578
2018-07-10,24.3700008392334
2018-09-12,24.170000076293945
2019-02-19,23.1200008392334
2019-01-18,23.079999923706055
2020-02-24,22.760000228881836
