Dates,ANTM
2018-06-20,245.57000732421875
2018-06-21,244.83999633789062
2018-06-25,246.3000030517578
2018-06-22,245.4499969482422
2018-06-26,244.39999389648438
2018-06-27,243.5800018310547
2018-06-28,239.92999267578125
2018-06-29,242.0399932861328
2018-07-02,238.4499969482422
2018-07-03,240.1199951171875
2018-07-05,241.75999450683594
2018-07-16,242.8000030517578
2018-09-18,249.0500030517578
2019-01-24,250.5800018310547
2019-09-05,252.0500030517578
2018-11-21,252.41000366210938
2020-01-13,250.9199981689453
2020-04-01,250.42999267578125
2020-06-19,247.02000427246094
2019-10-29,249.41000366210938
2020-01-16,249.22999572753906
2020-06-22,249.2899932861328
2018-10-03,251.08999633789062
2018-07-31,250.0
2019-03-12,248.75
2019-02-08,251.17999267578125
2019-01-07,249.8699951171875
2018-12-06,253.88999938964844
2019-08-19,253.6699981689453
2019-07-18,256.3800048828125
2019-05-15,257.0799865722656
2019-09-20,258.5899963378906
2019-11-01,259.2099914550781
2020-04-07,259.55999755859375
2020-06-25,260.8699951171875
2020-06-16,263.239990234375
2019-11-04,262.1400146484375
2020-01-22,264.54998779296875
2019-11-07,266.0
2020-04-13,265.05999755859375
2019-07-01,268.0400085449219
2019-05-30,267.29998779296875
2018-08-15,263.9599914550781
2018-10-18,263.7799987792969
2019-03-27,263.4700012207031
2019-01-22,265.55999755859375
2018-12-21,266.0
2019-09-03,266.8699951171875
2018-11-19,267.7099914550781
2019-08-02,268.1300048828125
2020-01-28,267.0199890136719
2020-04-16,265.3900146484375
2019-11-13,266.1099853515625
2020-01-31,268.2799987792969
2018-12-04,272.3599853515625
2018-11-02,273.1400146484375
2019-07-16,269.0400085449219
2018-08-30,264.2799987792969
2018-10-01,267.80999755859375
2019-06-14,270.8800048828125
2019-05-13,272.260009765625
2019-04-11,274.0
2019-02-06,272.70001220703125
2019-09-18,272.6600036621094
2020-02-03,275.07000732421875
2020-04-22,276.0
2019-11-19,274.69000244140625
2020-02-06,274.3299865722656
2019-11-22,271.5299987792969
2019-03-25,273.2200012207031
2019-02-21,274.2200012207031
2018-12-19,278.1099853515625
2018-07-12,277.8500061035156
2018-09-14,277.20001220703125
2018-08-13,276.8800048828125
2018-10-16,277.9800109863281
2019-07-31,277.989990234375
2019-05-28,280.42999267578125
2019-04-26,279.5299987792969
2020-04-28,274.5899963378906
2019-11-25,272.9100036621094
2020-02-12,271.92999267578125
2020-05-01,279.0799865722656
2020-05-04,281.3999938964844
2019-06-12,282.54998779296875
2019-04-09,283.05999755859375
2019-03-08,280.510009765625
2019-02-04,276.1199951171875
2018-07-27,276.4700012207031
2018-08-28,273.69000244140625
2019-01-03,270.0
2019-08-15,269.4800109863281
2018-10-31,267.25
2019-09-16,279.20001220703125
2020-02-18,279.6499938964844
2020-05-07,275.2799987792969
2018-08-17,271.5
2019-12-04,273.3800048828125
2020-02-21,290.8399963378906
2018-12-17,289.5299987792969
2019-08-30,288.6000061035156
2018-11-15,288.239990234375
2019-07-29,284.5899963378906
2019-06-27,283.9100036621094
2019-04-24,284.8900146484375
2018-07-10,288.94000244140625
2018-09-12,287.8599853515625
2019-02-19,282.1199951171875
2019-01-18,281.5899963378906
2020-02-24,282.2699890136719
2020-05-13,286.32000732421875
2019-12-10,282.67999267578125
2020-02-27,292.95001220703125
2019-12-13,293.75
2020-05-19,294.4100036621094
2019-03-06,297.2300109863281
2018-11-30,300.57000732421875
2019-08-13,291.6400146484375
2019-07-12,288.32000732421875
2019-06-10,280.989990234375
2019-05-09,282.8999938964844
2018-07-25,282.9700012207031
2018-09-27,282.760009765625
2018-10-29,281.6000061035156
2019-10-16,271.42999267578125
2019-12-16,268.9100036621094
2020-03-04,263.4800109863281
2020-05-22,257.7099914550781
2019-10-01,259.1300048828125
2019-12-19,251.67999267578125
2018-09-10,259.6700134277344
2019-05-24,260.8800048828125
2018-08-09,263.0799865722656
2019-04-22,262.8900146484375
2019-03-21,258.92999267578125
2019-01-16,256.8800048828125
2019-08-28,253.63999938964844
2018-11-13,253.1199951171875
2018-10-12,256.3500061035156
2019-06-25,255.0
2020-03-10,254.0399932861328
2020-05-28,256.94000244140625
2019-10-07,257.6000061035156
2020-03-13,261.260009765625
2019-10-10,263.0
2020-03-16,263.7699890136719
2020-06-03,266.8500061035156
2018-11-28,267.7900085449219
2018-09-25,268.42999267578125
2018-07-23,269.3299865722656
2018-08-24,272.9800109863281
2019-07-10,271.5400085449219
2019-05-07,273.42999267578125
2019-04-05,305.989990234375
2019-03-04,304.3800048828125
2019-01-31,304.739990234375
2019-09-12,304.32000732421875
2019-12-31,307.2300109863281
2020-03-19,311.6000061035156
2020-01-03,310.45001220703125
2020-06-09,307.44000244140625
2019-02-15,305.4800109863281
2019-01-14,307.1000061035156
2018-07-06,309.5
2018-08-07,309.2699890136719
2018-10-10,311.8399963378906
2018-12-13,312.5799865722656
2019-08-26,313.67999267578125
2019-07-25,313.2099914550781
2019-05-22,317.2099914550781
2019-03-19,317.989990234375
2020-01-06,317.55999755859375
2020-03-25,315.9700012207031
2020-06-12,309.5899963378906
2019-10-22,308.80999755859375
2020-01-09,308.989990234375
2020-06-15,300.6000061035156
2019-10-25,299.30999755859375
2020-03-31,301.29998779296875
2020-06-18,296.5899963378906
2019-04-03,297.0
2018-08-22,298.5
2018-10-25,304.8500061035156
2019-01-29,306.4599914550781
2018-12-28,306.6700134277344
2018-11-26,308.8800048828125
2019-08-09,312.4100036621094
2019-07-08,309.30999755859375
2019-06-06,305.3399963378906
2019-09-10,306.0
2020-01-15,301.57000732421875
2020-04-03,299.5
2019-10-31,291.5400085449219
2020-04-06,285.0
2020-06-24,287.6499938964844
2018-11-09,290.5199890136719
2019-07-23,289.69000244140625
2019-06-21,291.0
2019-05-20,292.0799865722656
2019-04-18,293.55999755859375
2018-09-06,293.6499938964844
2018-10-08,291.2900085449219
2019-02-13,291.19000244140625
2018-12-11,290.94000244140625
2019-09-25,276.8900146484375
2020-01-21,264.6499938964844
2020-04-09,267.489990234375
2019-11-06,243.8300018310547
2020-01-24,241.44000244140625
2020-01-27,245.24000549316406
2020-04-15,252.16000366210938
2018-12-26,253.99000549316406
2019-08-07,257.5299987792969
2019-06-04,266.7699890136719
2018-09-21,268.1700134277344
2018-07-19,268.1700134277344
2018-08-20,264.9100036621094
2018-10-23,262.010009765625
2019-05-03,263.3399963378906
2019-04-01,269.75
2019-02-28,269.3999938964844
2019-11-12,266.8900146484375
2020-01-30,267.8900146484375
2019-11-15,269.82000732421875
2020-04-21,266.0199890136719
2019-04-16,264.75
2019-03-15,262.95001220703125
2019-02-11,269.44000244140625
2019-01-10,267.8399963378906
2019-08-22,266.8800048828125
2018-11-07,278.2900085449219
2018-08-03,280.25
2018-09-04,278.010009765625
2019-06-19,279.92999267578125
2019-09-23,279.1000061035156
2019-11-18,276.9200134277344
2020-02-05,279.260009765625
2020-04-24,279.7699890136719
2019-03-29,281.5899963378906
2019-11-21,281.1499938964844
2020-04-27,282.82000732421875
2020-02-11,281.6700134277344
2020-04-30,279.8500061035156
2019-05-01,282.489990234375
2019-02-26,285.8599853515625
2019-01-25,283.44000244140625
2018-12-24,285.29998779296875
2019-09-06,286.95001220703125
2018-07-17,288.04998779296875
2018-09-19,290.19000244140625
2019-08-05,292.1499938964844
2019-10-08,294.3699951171875
2019-12-11,294.8299865722656
2019-11-27,294.8599853515625
2020-02-14,291.3500061035156
2020-05-06,285.79998779296875
2019-01-08,284.25
2018-12-07,282.3900146484375
2019-08-20,284.6600036621094
2018-11-05,283.2099914550781
2019-07-19,284.4800109863281
2018-10-04,288.30999755859375
2019-06-17,285.6499938964844
2019-05-16,285.5799865722656
2018-08-01,289.04998779296875
2019-03-13,304.0799865722656
2019-12-03,312.4800109863281
2020-02-20,310.7799987792969
2019-12-06,307.760009765625
2020-05-12,306.8900146484375
2019-12-09,305.0400085449219
2020-02-26,306.3699951171875
2020-05-15,303.760009765625
2019-03-28,303.4700012207031
2018-09-17,293.4800109863281
2018-08-16,296.1199951171875
2018-10-19,300.010009765625
2019-04-29,302.07000732421875
2019-01-23,299.989990234375
2019-09-04,302.3900146484375
