Dates,ANTM
2018-06-20,1268400.0
2018-06-21,804300.0
2018-06-25,1081000.0
2018-06-22,1204700.0
2018-06-26,1125700.0
2018-06-27,1094600.0
2018-06-28,1602500.0
2018-06-29,1184700.0
2018-07-02,698000.0
2018-07-03,569100.0
2018-07-05,703300.0
2018-07-16,803000.0
2018-09-18,1607200.0
2019-01-24,1262700.0
2019-09-05,922300.0
2018-11-21,1451700.0
2020-01-13,1016000.0
2020-04-01,1027800.0
2020-06-19,1387700.0
2019-10-29,1090800.0
2020-01-16,947600.0
2020-06-22,863900.0
2018-10-03,1012400.0
2018-07-31,1468400.0
2019-03-12,2443000.0
2019-02-08,999400.0
2019-01-07,1056400.0
2018-12-06,1520600.0
2019-08-19,1336500.0
2019-07-18,1328400.0
2019-05-15,938800.0
2019-09-20,767500.0
2019-11-01,808700.0
2020-04-07,591400.0
2020-06-25,772300.0
2020-06-16,697100.0
2019-11-04,700500.0
2020-01-22,913600.0
2019-11-07,931100.0
2020-04-13,913700.0
2019-07-01,1073700.0
2019-05-30,940100.0
2018-08-15,870100.0
2018-10-18,727700.0
2019-03-27,661200.0
2019-01-22,761900.0
2018-12-21,883600.0
2019-09-03,815500.0
2018-11-19,691500.0
2019-08-02,650300.0
2020-01-28,769400.0
2020-04-16,1149100.0
2019-11-13,1164200.0
2020-01-31,2045000.0
2018-12-04,1502600.0
2018-11-02,1824000.0
2019-07-16,1984500.0
2018-08-30,1294200.0
2018-10-01,873700.0
2019-06-14,1204400.0
2019-05-13,1030200.0
2019-04-11,970000.0
2019-02-06,1080700.0
2019-09-18,1101000.0
2020-02-03,1267700.0
2020-04-22,2717000.0
2019-11-19,1047000.0
2020-02-06,1172400.0
2019-11-22,786600.0
2019-03-25,916900.0
2019-02-21,1053800.0
2018-12-19,1015300.0
2018-07-12,922500.0
2018-09-14,707200.0
2018-08-13,693900.0
2018-10-16,655900.0
2019-07-31,833300.0
2019-05-28,923800.0
2019-04-26,1997600.0
2020-04-28,2016100.0
2019-11-25,1326700.0
2020-02-12,1305300.0
2020-05-01,1417800.0
2020-05-04,1067900.0
2019-06-12,903800.0
2019-04-09,1054100.0
2019-03-08,955100.0
2019-02-04,1654900.0
2018-07-27,1753600.0
2018-08-28,1893000.0
2019-01-03,1653700.0
2019-08-15,2257600.0
2018-10-31,1904100.0
2019-09-16,2621600.0
2020-02-18,2286900.0
2020-05-07,1430800.0
2018-08-17,1066200.0
2019-12-04,984400.0
