Dates,ANET
2019-02-11,788000.0
2019-01-10,1309700.0
2019-08-22,795200.0
2018-11-07,1134900.0
2018-08-03,848500.0
2018-09-04,1162600.0
2019-06-19,875000.0
2019-09-23,567200.0
2019-11-18,623000.0
2020-02-05,409600.0
2020-04-24,692200.0
2019-03-29,1064100.0
2019-11-21,835100.0
2020-04-27,1489600.0
2020-02-11,1109000.0
2020-04-30,2086700.0
2019-05-01,1119600.0
2019-02-26,844800.0
2019-01-25,679200.0
2018-12-24,1246200.0
2019-09-06,946200.0
2018-07-17,902300.0
2018-09-19,686000.0
2019-08-05,632900.0
2019-10-08,705200.0
2019-12-11,1477500.0
2019-11-27,869500.0
2020-02-14,574700.0
2020-05-06,1437100.0
2019-01-08,1149500.0
2018-12-07,813900.0
2019-08-20,664800.0
2018-11-05,570100.0
2019-07-19,830700.0
2018-10-04,571600.0
2019-06-17,615000.0
2019-05-16,525600.0
2018-08-01,463600.0
2019-03-13,535900.0
2019-12-03,456700.0
2020-02-20,640700.0
2019-12-06,639900.0
2020-05-12,597100.0
2019-12-09,758700.0
2020-02-26,1033500.0
2020-05-15,672200.0
2019-03-28,1280400.0
2018-09-17,756000.0
2018-08-16,1263800.0
2018-10-19,677500.0
2019-04-29,671500.0
2019-01-23,642900.0
2019-09-04,687400.0
2018-11-20,1178800.0
2019-07-02,2991400.0
2019-05-31,1503900.0
2019-12-12,948600.0
2020-05-18,765000.0
2019-09-27,949200.0
2020-03-03,1222300.0
2020-05-21,717500.0
2019-05-14,807400.0
2018-08-31,1139200.0
2018-07-30,1116700.0
2018-10-02,769400.0
2019-04-12,662900.0
2019-03-11,551500.0
2019-02-07,737000.0
2019-07-17,657400.0
2019-09-19,781200.0
2019-10-21,429300.0
2019-12-18,520600.0
2020-03-06,496400.0
2019-10-03,464000.0
2020-03-09,545000.0
2020-05-27,445900.0
2019-12-24,594000.0
2020-03-12,737900.0
2018-12-20,558600.0
2019-08-01,720500.0
2018-08-14,703800.0
2018-07-13,896500.0
2018-10-17,1001500.0
2019-05-29,607000.0
2019-03-26,340100.0
2019-02-22,620500.0
2019-10-04,709400.0
2019-11-05,610400.0
2019-12-27,777000.0
2020-06-02,589200.0
2019-12-30,607200.0
2020-03-18,441100.0
2020-06-05,377900.0
2019-07-15,417200.0
2018-12-03,745000.0
2019-06-13,723300.0
2019-01-04,589200.0
2018-08-29,923300.0
2019-02-05,330300.0
2018-11-01,355500.0
2019-08-16,443500.0
2019-04-10,462900.0
2019-09-17,687500.0
2019-10-15,557100.0
2020-01-02,321400.0
2020-06-08,493100.0
2019-10-18,445700.0
2020-03-24,394700.0
2020-06-11,358500.0
2020-01-08,463500.0
2019-04-25,471900.0
2019-07-30,372700.0
2019-02-20,812500.0
2018-07-11,709300.0
2018-09-13,672300.0
2018-10-15,359100.0
2019-06-28,489600.0
2018-12-18,1481800.0
2018-11-16,10478600.0
2019-10-02,2596800.0
2020-03-27,1854900.0
2020-01-10,1307000.0
2019-10-24,1302600.0
2020-03-30,808800.0
2020-06-17,658300.0
2020-01-14,925200.0
2020-04-02,591200.0
2019-01-02,1142700.0
2019-08-14,834800.0
2018-10-30,840400.0
2019-06-11,582100.0
2019-05-10,752900.0
2019-04-08,850900.0
2018-08-27,914100.0
2018-07-26,555800.0
2018-09-28,670300.0
2019-03-07,560500.0
2019-10-30,264700.0
2020-01-17,635800.0
2020-06-23,624600.0
2020-04-08,525000.0
2020-06-26,621800.0
2019-03-22,626200.0
2019-01-17,754100.0
2019-08-29,772200.0
2018-11-14,877900.0
2019-06-26,922000.0
2018-09-11,887400.0
2018-07-09,1131900.0
2018-08-10,594300.0
2019-04-23,687900.0
2019-09-30,984000.0
2020-01-23,1711800.0
2019-11-08,905200.0
2020-04-14,264000.0
2019-11-11,394700.0
2020-01-29,554600.0
2020-04-17,708000.0
2018-07-24,547600.0
2018-09-26,624500.0
2019-05-08,766900.0
2019-03-05,516000.0
2019-02-01,532900.0
2018-12-31,673800.0
2018-11-29,475400.0
2019-08-12,456500.0
2019-07-11,607300.0
2019-09-13,647000.0
2019-11-14,581100.0
2020-04-20,639400.0
2020-02-04,996200.0
2020-04-23,619800.0
2018-12-14,452300.0
2019-08-27,847100.0
2018-08-08,1608800.0
2018-10-11,1200700.0
