Dates,ANET
2018-06-20,276.6199951171875
2018-06-21,278.44000244140625
2018-06-25,269.30999755859375
2018-06-22,257.4100036621094
2018-06-26,259.1000061035156
2018-06-27,253.72000122070312
2018-06-28,252.85800170898438
2018-06-29,256.760009765625
2018-07-02,253.08999633789062
2018-07-03,255.4499969482422
2018-07-05,252.25
2018-07-16,257.9200134277344
2018-09-18,265.6099853515625
2019-01-24,267.7300109863281
2019-09-05,263.57000732421875
2018-11-21,270.67498779296875
2020-01-13,261.1600036621094
2020-04-01,266.5
2020-06-19,266.8999938964844
2019-10-29,273.0799865722656
2020-01-16,275.38299560546875
2020-06-22,268.54998779296875
2018-10-03,263.5
2018-07-31,262.9800109863281
2019-03-12,266.0299987792969
2019-02-08,269.260009765625
2019-01-07,266.89801025390625
2018-12-06,255.0800018310547
2019-08-19,253.50999450683594
2019-07-18,256.0010070800781
2019-05-15,260.5159912109375
2019-09-20,256.5400085449219
2019-11-01,258.5
2020-04-07,267.510009765625
2020-06-25,263.1000061035156
2020-06-16,263.75
2019-11-04,266.7699890136719
2020-01-22,267.4800109863281
2019-11-07,268.70001220703125
2020-04-13,262.5199890136719
2019-07-01,267.4849853515625
2019-05-30,265.7699890136719
2018-08-15,268.135009765625
2018-10-18,271.3240051269531
2019-03-27,269.6650085449219
2019-01-22,275.010009765625
2018-12-21,294.9200134277344
2019-09-03,300.6000061035156
2018-11-19,302.135009765625
2019-08-02,300.9360046386719
2020-01-28,294.45001220703125
2020-04-16,295.44000244140625
2019-11-13,286.25
2020-01-31,271.1400146484375
2018-12-04,265.2200012207031
2018-11-02,264.0
2019-07-16,264.9100036621094
2018-08-30,265.6400146484375
2018-10-01,261.7900085449219
2019-06-14,267.9599914550781
2019-05-13,269.3800048828125
2019-04-11,264.55999755859375
2019-02-06,265.29998779296875
2019-09-18,267.20098876953125
2020-02-03,270.20001220703125
2020-04-22,268.44000244140625
2019-11-19,265.0199890136719
2020-02-06,272.5
2019-11-22,263.3699951171875
2019-03-25,263.70001220703125
2019-02-21,264.7149963378906
2018-12-19,258.4700012207031
2018-07-12,255.32000732421875
2018-09-14,255.74000549316406
2018-08-13,255.49000549316406
2018-10-16,247.1699981689453
2019-07-31,239.21400451660156
2019-05-28,235.52999877929688
2019-04-26,225.26499938964844
2020-04-28,214.10000610351562
2019-11-25,217.9550018310547
2020-02-12,220.5
2020-05-01,223.4499969482422
