Dates,ANET
2018-06-20,287.1199951171875
2018-06-21,285.75
2018-06-25,280.9800109863281
2018-06-22,270.0
2018-06-26,265.2550048828125
2018-06-27,264.4800109863281
2018-06-28,260.55999755859375
2018-06-29,260.7149963378906
2018-07-02,261.45001220703125
2018-07-03,262.3299865722656
2018-07-05,258.68499755859375
2018-07-16,263.92999267578125
2018-09-18,274.9700012207031
2019-01-24,272.0
2019-09-05,270.9590148925781
2018-11-21,279.17999267578125
2020-01-13,278.3599853515625
2020-04-01,274.75
2020-06-19,274.760009765625
2019-10-29,275.8500061035156
2020-01-16,281.20001220703125
2020-06-22,277.80999755859375
2018-10-03,270.8699951171875
2018-07-31,272.20001220703125
2019-03-12,275.9800109863281
2019-02-08,279.32000732421875
2019-01-07,276.8900146484375
2018-12-06,270.7699890136719
2019-08-19,262.8699951171875
2019-07-18,263.4800109863281
2019-05-15,271.8500061035156
2019-09-20,269.4200134277344
2019-11-01,272.19000244140625
2020-04-07,273.75
2020-06-25,269.8299865722656
2020-06-16,272.760009765625
2019-11-04,270.6300048828125
2020-01-22,273.3500061035156
2019-11-07,274.2539978027344
2020-04-13,272.6000061035156
2019-07-01,275.4949951171875
2019-05-30,270.4750061035156
2018-08-15,274.5
2018-10-18,277.1499938964844
2019-03-27,278.9549865722656
2019-01-22,283.4200134277344
2018-12-21,313.36700439453125
2019-09-03,312.5
2018-11-19,306.739990234375
2019-08-02,306.05999755859375
2020-01-28,302.7409973144531
2020-04-16,302.3299865722656
2019-11-13,294.0
2020-01-31,289.0899963378906
2018-12-04,276.9599914550781
2018-11-02,272.30999755859375
2019-07-16,269.9800109863281
2018-08-30,271.25
2018-10-01,268.2099914550781
2019-06-14,272.0
2019-05-13,273.69000244140625
2019-04-11,272.2799987792969
2019-02-06,269.3500061035156
2019-09-18,271.3800048828125
2020-02-03,274.04998779296875
2020-04-22,275.0
2019-11-19,275.2300109863281
2020-02-06,276.0
2019-11-22,273.8999938964844
2019-03-25,268.4100036621094
2019-02-21,269.0
2018-12-19,268.82000732421875
2018-07-12,259.8399963378906
2018-09-14,262.55999755859375
2018-08-13,261.4150085449219
2018-10-16,261.989990234375
2019-07-31,251.61000061035156
2019-05-28,244.99000549316406
2019-04-26,237.99000549316406
2020-04-28,224.1999969482422
2019-11-25,225.67999267578125
2020-02-12,232.77000427246094
2020-05-01,234.375
2020-05-04,247.47999572753906
2019-06-12,237.97999572753906
2019-04-09,236.2100067138672
2019-03-08,234.3699951171875
2019-02-04,235.0
2018-07-27,237.00999450683594
2018-08-28,232.75
2019-01-03,225.77999877929688
2019-08-15,226.14999389648438
2018-10-31,228.6300048828125
2019-09-16,238.67999267578125
2020-02-18,242.32000732421875
2020-05-07,269.48699951171875
2018-08-17,257.4800109863281
2019-12-04,252.2949981689453
2020-02-21,254.38099670410156
2018-12-17,255.30999755859375
2019-08-30,251.19000244140625
2018-11-15,245.0
2019-07-29,240.84500122070312
2019-06-27,240.0
2019-04-24,244.92999267578125
2018-07-10,243.0
2018-09-12,239.17999267578125
2019-02-19,223.63499450683594
2019-01-18,228.64999389648438
2020-02-24,222.86500549316406
2020-05-13,227.0
2019-12-10,226.64999389648438
2020-02-27,236.0
2019-12-13,238.10000610351562
2020-05-19,239.2050018310547
2019-03-06,248.97999572753906
2018-11-30,244.27499389648438
2019-08-13,238.64999389648438
2019-07-12,240.99000549316406
2019-06-10,231.97500610351562
2019-05-09,235.88999938964844
2018-07-25,236.33999633789062
2018-09-27,235.2100067138672
2018-10-29,226.052001953125
2019-10-16,220.0
2019-12-16,213.77000427246094
2020-03-04,216.30999755859375
2020-05-22,203.58999633789062
2019-10-01,202.85000610351562
2019-12-19,194.1750030517578
2018-09-10,200.9600067138672
2019-05-24,204.9199981689453
2018-08-09,209.77099609375
2019-04-22,210.6999969482422
2019-03-21,213.4199981689453
2019-01-16,207.97000122070312
2019-08-28,204.83999633789062
2018-11-13,213.44000244140625
2018-10-12,215.1199951171875
2019-06-25,218.9499969482422
2020-03-10,219.13400268554688
2020-05-28,218.94000244140625
2019-10-07,217.89999389648438
2020-03-13,223.5
2019-10-10,227.25
2020-03-16,222.14999389648438
2020-06-03,233.16000366210938
2018-11-28,230.24000549316406
2018-09-25,227.2270050048828
2018-07-23,226.89999389648438
2018-08-24,228.8000030517578
2019-07-10,223.50999450683594
2019-05-07,216.00999450683594
2019-04-05,210.72999572753906
2019-03-04,216.07000732421875
2019-01-31,222.80999755859375
2019-09-12,221.91700744628906
2019-12-31,226.0
