Dates,DFS
2018-06-20,69.84159088134766
2018-06-21,69.51793670654297
2018-06-25,69.88919067382812
2018-06-22,68.81352233886719
2018-06-26,67.9568099975586
2018-06-27,66.7288589477539
2018-06-28,66.78596496582031
2018-06-29,67.02394104003906
2018-07-02,67.72836303710938
2018-07-03,67.14768981933594
2018-07-05,67.18577575683594
2018-07-16,67.0525131225586
2018-09-18,68.55651092529297
2019-01-24,68.1376724243164
2019-09-05,67.81401824951172
2018-11-21,67.56653594970703
2020-01-13,66.52894592285156
2020-04-01,67.1667251586914
2020-06-19,67.68075561523438
2019-10-29,68.6231460571289
2020-01-16,68.071044921875
2020-06-22,68.59459686279297
2018-10-03,69.61312103271484
2018-07-31,69.59410095214844
2019-03-12,69.24188232421875
2019-02-08,68.4803695678711
2019-01-07,69.6417007446289
2018-12-06,68.44229125976562
2019-08-19,67.9758529663086
2019-07-18,68.071044921875
2019-05-15,68.39469909667969
2019-09-20,69.81303405761719
2019-11-01,69.62265014648438
2020-04-07,71.20281982421875
2020-06-25,71.8691635131836
2020-06-16,72.0309829711914
2019-11-04,70.93628692626953
2020-01-22,70.75543212890625
2019-11-07,72.06906127929688
2020-04-13,71.77397155761719
2019-07-01,73.58260345458984
2019-05-30,74.17278289794922
2018-08-15,74.74392700195312
2018-10-18,75.4292984008789
2019-03-27,75.46756744384766
2019-01-22,74.5395278930664
2018-12-21,74.88396453857422
2019-09-03,75.63977813720703
2018-11-19,75.10401153564453
2019-08-02,75.12315368652344
2020-01-28,74.48213195800781
2020-04-16,74.7404556274414
2019-11-13,75.18054962158203
2020-01-31,75.13270568847656
2018-12-04,74.36732482910156
2018-11-02,74.10899353027344
2019-07-16,74.75001525878906
2018-08-30,75.46756744384766
2018-10-01,74.21424102783203
2019-06-14,73.76458740234375
2019-05-13,74.47256469726562
2019-04-11,74.20468139648438
2019-02-06,74.90309143066406
2019-09-18,75.3527603149414
2020-02-03,75.917236328125
2020-04-22,76.52955627441406
2019-11-19,75.41017150878906
2020-02-06,75.19969177246094
2019-11-22,74.08988189697266
2019-03-25,73.76458740234375
2019-02-21,73.1427001953125
2018-12-19,73.41059112548828
2018-07-12,73.984619140625
2018-09-14,74.63520812988281
2018-08-13,74.37689208984375
2018-10-16,73.49668884277344
2019-07-31,73.66889953613281
2019-05-28,73.27664947509766
2019-04-26,72.25292205810547
2020-04-28,70.97089385986328
2019-11-25,71.3153305053711
2020-02-12,70.80825805664062
2020-05-01,72.3294677734375
2020-05-04,72.60693359375
2019-06-12,71.6980209350586
2019-04-09,72.74085998535156
2019-03-08,71.10484313964844
2019-02-04,70.80825805664062
2018-07-27,69.2200698852539
2018-08-28,70.05242919921875
2019-01-03,64.50334930419922
2019-08-15,64.9817123413086
2018-10-31,66.18721008300781
2019-09-16,66.656005859375
2020-02-18,67.07697296142578
2020-05-07,65.7662353515625
2018-08-17,66.18721008300781
2019-12-04,66.56033325195312
2020-02-21,67.6797103881836
2018-12-17,68.12937927246094
2019-08-30,67.50749969482422
2018-11-15,66.34027862548828
2019-07-29,66.9143295288086
2019-06-27,66.19678497314453
2019-04-24,67.66058349609375
2018-07-10,67.66058349609375
2018-09-12,66.95259857177734
2019-02-19,65.66319274902344
2019-01-18,66.211669921875
2020-02-24,65.92300415039062
2020-05-13,67.98219299316406
2019-12-10,68.213134765625
2020-02-27,69.32933807373047
2019-12-13,68.53067016601562
2020-05-19,68.6076431274414
2019-03-06,68.98292541503906
2018-11-30,63.87342834472656
2019-08-13,63.97928237915039
2019-07-12,62.39157485961914
2019-06-10,62.29536056518555
2019-05-09,61.26576232910156
2018-07-25,61.727638244628906
2018-09-27,60.871246337890625
2018-10-29,59.485618591308594
2019-10-16,57.638118743896484
2019-12-16,57.2724723815918
2020-03-04,56.194766998291016
2020-05-22,55.80024337768555
2019-10-01,54.27028274536133
2019-12-19,53.0097541809082
2018-09-10,55.93496322631836
2019-05-24,56.647010803222656
2018-08-09,56.10816192626953
