Dates,DFS
2018-06-20,1702600.0
2018-06-21,2508100.0
2018-06-25,3538900.0
2018-06-22,2503800.0
2018-06-26,2399700.0
2018-06-27,2282500.0
2018-06-28,2213000.0
2018-06-29,2753200.0
2018-07-02,2324400.0
2018-07-03,985900.0
2018-07-05,1164000.0
2018-07-16,1835100.0
2018-09-18,3099800.0
2019-01-24,2209100.0
2019-09-05,1673900.0
2018-11-21,2483200.0
2020-01-13,2085100.0
2020-04-01,1804500.0
2020-06-19,1556100.0
2019-10-29,1314500.0
2020-01-16,2146400.0
2020-06-22,3013900.0
2018-10-03,2273600.0
2018-07-31,2703200.0
2019-03-12,2062300.0
2019-02-08,2543400.0
2019-01-07,3130300.0
2018-12-06,2095300.0
2019-08-19,1973400.0
2019-07-18,1256200.0
2019-05-15,1595200.0
2019-09-20,2723900.0
2019-11-01,1351300.0
2020-04-07,2510500.0
2020-06-25,2105300.0
2020-06-16,2016200.0
2019-11-04,3477800.0
2020-01-22,2043400.0
2019-11-07,1834900.0
2020-04-13,2401000.0
2019-07-01,2080700.0
2019-05-30,1633800.0
2018-08-15,1517500.0
2018-10-18,2238600.0
2019-03-27,1687700.0
2019-01-22,1355300.0
2018-12-21,1042900.0
2019-09-03,1580600.0
2018-11-19,2152400.0
2019-08-02,1639000.0
2020-01-28,1732300.0
2020-04-16,1629500.0
2019-11-13,1481000.0
2020-01-31,2357500.0
2018-12-04,1651500.0
2018-11-02,2034900.0
2019-07-16,1410400.0
2018-08-30,2248800.0
2018-10-01,1904700.0
2019-06-14,1944500.0
2019-05-13,1226900.0
2019-04-11,1416300.0
2019-02-06,1600300.0
2019-09-18,1415300.0
2020-02-03,1745800.0
2020-04-22,3394100.0
2019-11-19,1302300.0
2020-02-06,1581700.0
2019-11-22,1756400.0
2019-03-25,1362100.0
2019-02-21,2308900.0
2018-12-19,1565600.0
2018-07-12,1530300.0
2018-09-14,1651700.0
2018-08-13,1758500.0
2018-10-16,1863100.0
2019-07-31,1282700.0
2019-05-28,1247900.0
2019-04-26,2784100.0
2020-04-28,2273500.0
2019-11-25,1493400.0
2020-02-12,1563200.0
2020-05-01,1401100.0
2020-05-04,1683800.0
2019-06-12,1558300.0
2019-04-09,2126700.0
2019-03-08,1970400.0
2019-02-04,1887000.0
2018-07-27,2512000.0
2018-08-28,2537200.0
2019-01-03,4988800.0
2019-08-15,3545100.0
2018-10-31,2098900.0
2019-09-16,2683000.0
2020-02-18,1868800.0
2020-05-07,2324500.0
2018-08-17,1950700.0
2019-12-04,2503300.0
2020-02-21,1691000.0
2018-12-17,1377700.0
2019-08-30,1477600.0
2018-11-15,1104000.0
2019-07-29,1408200.0
2019-06-27,1762400.0
2019-04-24,2631500.0
2018-07-10,2370200.0
2018-09-12,1737700.0
2019-02-19,2712700.0
