Dates,MAR
2018-06-20,135.99000549316406
2018-06-21,133.72999572753906
2018-06-25,132.61000061035156
2018-06-22,129.10000610351562
2018-06-26,129.42999267578125
2018-06-27,126.94000244140625
2018-06-28,125.26000213623047
2018-06-29,126.5999984741211
2018-07-02,126.48999786376953
2018-07-03,124.5199966430664
2018-07-05,126.48999786376953
2018-07-16,127.66000366210938
2018-09-18,130.16000366210938
2019-01-24,130.72999572753906
2019-09-05,129.85000610351562
2018-11-21,130.77000427246094
2020-01-13,131.00999450683594
2020-04-01,130.7899932861328
2020-06-19,130.4499969482422
2019-10-29,133.1300048828125
2020-01-16,133.1999969482422
2020-06-22,133.0500030517578
2018-10-03,132.02999877929688
2018-07-31,130.02000427246094
2019-03-12,131.5
2019-02-08,130.97000122070312
2019-01-07,128.5500030517578
2018-12-06,125.91000366210938
2019-08-19,127.83999633789062
2019-07-18,127.87000274658203
2019-05-15,129.1300048828125
2019-09-20,128.19000244140625
2019-11-01,129.27999877929688
2020-04-07,124.43000030517578
2020-06-25,121.62999725341797
2020-06-16,120.79000091552734
2019-11-04,120.16000366210938
2020-01-22,120.45999908447266
2019-11-07,121.61000061035156
2020-04-13,120.43000030517578
2019-07-01,122.1500015258789
2019-05-30,123.8499984741211
2018-08-15,124.4000015258789
2018-10-18,125.16000366210938
2019-03-27,123.70999908447266
2019-01-22,122.18000030517578
2018-12-21,123.11000061035156
2019-09-03,124.29000091552734
2018-11-19,124.68000030517578
2019-08-02,126.94999694824219
2020-01-28,126.20999908447266
2020-04-16,126.47000122070312
2019-11-13,126.55000305175781
2020-01-31,125.01000213623047
2018-12-04,124.9800033569336
2018-11-02,126.61000061035156
2019-07-16,127.68000030517578
2018-08-30,127.3499984741211
2018-10-01,127.56999969482422
2019-06-14,129.5399932861328
2019-05-13,130.42999267578125
2019-04-11,129.77000427246094
2019-02-06,129.80999755859375
2019-09-18,131.22999572753906
2020-02-03,132.17999267578125
2020-04-22,130.89999389648438
2019-11-19,130.24000549316406
2020-02-06,129.27000427246094
2019-11-22,130.97999572753906
2019-03-25,133.4199981689453
2019-02-21,132.02999877929688
2018-12-19,128.35000610351562
2018-07-12,125.97000122070312
2018-09-14,124.58999633789062
2018-08-13,122.19999694824219
