Dates,MAR
2018-06-20,135.8300018310547
2018-06-21,133.4199981689453
2018-06-25,132.47999572753906
2018-06-22,128.66000366210938
2018-06-26,128.9600067138672
2018-06-27,126.69999694824219
2018-06-28,124.22000122070312
2018-06-29,125.25
2018-07-02,125.0
2018-07-03,124.33999633789062
2018-07-05,125.05999755859375
2018-07-16,125.83999633789062
2018-09-18,127.91000366210938
2019-01-24,130.08999633789062
2019-09-05,129.25999450683594
2018-11-21,129.3699951171875
2020-01-13,130.41000366210938
2020-04-01,130.25999450683594
2020-06-19,129.89999389648438
2019-10-29,130.16000366210938
2020-01-16,131.02000427246094
2020-06-22,132.07000732421875
2018-10-03,131.8699951171875
2018-07-31,128.77000427246094
2019-03-12,127.20999908447266
2019-02-08,130.77000427246094
2019-01-07,128.33999633789062
2018-12-06,125.69000244140625
2019-08-19,125.69999694824219
2019-07-18,126.97000122070312
2019-05-15,125.91999816894531
2019-09-20,127.58000183105469
2019-11-01,127.4000015258789
2020-04-07,123.95999908447266
2020-06-25,121.5
2020-06-16,120.61000061035156
2019-11-04,119.7699966430664
2020-01-22,119.9000015258789
2019-11-07,120.83999633789062
2020-04-13,119.31999969482422
2019-07-01,121.11000061035156
2019-05-30,121.41999816894531
2018-08-15,123.62999725341797
2018-10-18,124.37000274658203
2019-03-27,123.55000305175781
2019-01-22,122.0199966430664
2018-12-21,122.30000305175781
2019-09-03,123.58000183105469
2018-11-19,123.56999969482422
2019-08-02,124.16000366210938
2020-01-28,125.73999786376953
2020-04-16,126.20999908447266
2019-11-13,125.05999755859375
2020-01-31,124.86000061035156
2018-12-04,123.55999755859375
2018-11-02,124.37999725341797
2019-07-16,126.69999694824219
2018-08-30,126.66999816894531
2018-10-01,126.5
2019-06-14,128.00999450683594
2019-05-13,129.4199981689453
2019-04-11,129.36000061035156
2019-02-06,129.25
2019-09-18,129.77999877929688
2020-02-03,130.24000549316406
2020-04-22,130.41000366210938
2019-11-19,128.38999938964844
2020-02-06,129.14999389648438
2019-11-22,129.33999633789062
2019-03-25,130.33999633789062
2019-02-21,131.8699951171875
2018-12-19,128.3000030517578
2018-07-12,125.94999694824219
2018-09-14,124.33999633789062
2018-08-13,121.08000183105469
2018-10-16,120.29000091552734
2019-07-31,119.5
2019-05-28,119.68000030517578
2019-04-26,116.41000366210938
2020-04-28,114.05000305175781
2019-11-25,115.73999786376953
2020-02-12,115.47000122070312
2020-05-01,115.95999908447266
2020-05-04,116.37000274658203
2019-06-12,115.12000274658203
2019-04-09,112.01000213623047
2019-03-08,111.27999877929688
2019-02-04,107.9000015258789
2018-07-27,106.95999908447266
2018-08-28,108.16000366210938
2019-01-03,108.44000244140625
2019-08-15,111.19999694824219
2018-10-31,112.44999694824219
2019-09-16,116.20999908447266
2020-02-18,116.0199966430664
2020-05-07,119.94000244140625
2018-08-17,119.70999908447266
2019-12-04,112.11000061035156
2020-02-21,114.63999938964844
2018-12-17,115.26000213623047
2019-08-30,116.18000030517578
2018-11-15,114.7300033569336
2019-07-29,115.69999694824219
2019-06-27,115.5999984741211
2019-04-24,115.02999877929688
2018-07-10,117.04000091552734
2018-09-12,115.38999938964844
2019-02-19,113.13999938964844
2019-01-18,116.08999633789062
2020-02-24,115.80000305175781
2020-05-13,118.27999877929688
2019-12-10,119.06999969482422
2020-02-27,118.5199966430664
2019-12-13,120.55000305175781
2020-05-19,113.37999725341797
2019-03-06,115.69000244140625
2018-11-30,112.91999816894531
2019-08-13,111.11000061035156
2019-07-12,110.69000244140625
2019-06-10,109.19999694824219
2019-05-09,109.79000091552734
2018-07-25,109.97000122070312
2018-09-27,108.23999786376953
2018-10-29,107.37000274658203
2019-10-16,106.58000183105469
2019-12-16,107.5199966430664
2020-03-04,105.76000213623047
2020-05-22,102.95999908447266
2019-10-01,102.30000305175781
2019-12-19,100.62000274658203
2018-09-10,101.41999816894531
2019-05-24,102.80000305175781
2018-08-09,106.4000015258789
2019-04-22,107.38999938964844
2019-03-21,105.29000091552734
2019-01-16,101.56999969482422
2019-08-28,103.13999938964844
2018-11-13,105.94999694824219
2018-10-12,107.81999969482422
2019-06-25,108.58999633789062
2020-03-10,108.0
2020-05-28,107.33000183105469
2019-10-07,107.83000183105469
2020-03-13,107.54000091552734
2019-10-10,109.08999633789062
2020-03-16,108.18000030517578
2020-06-03,108.26000213623047
2018-11-28,106.0199966430664
2018-09-25,106.58000183105469
2018-07-23,107.4000015258789
2018-08-24,107.80999755859375
2019-07-10,108.73999786376953
2019-05-07,109.9800033569336
2019-04-05,111.0199966430664
2019-03-04,112.68000030517578
2019-01-31,114.01000213623047
2019-09-12,114.43000030517578
2019-12-31,115.7699966430664
2020-03-19,116.66999816894531
2020-01-03,114.76000213623047
2020-06-09,114.58000183105469
2019-02-15,115.45999908447266
2019-01-14,114.48999786376953
2018-07-06,115.93000030517578
2018-08-07,116.63999938964844
2018-10-10,118.80999755859375
2018-12-13,120.1500015258789
2019-08-26,121.94999694824219
2019-07-25,125.44999694824219
2019-05-22,127.56999969482422
2019-03-19,128.4199981689453
2020-01-06,128.1699981689453
2020-03-25,126.63999938964844
2020-06-12,125.01000213623047
2019-10-22,122.2300033569336
2020-01-09,122.33999633789062
2020-06-15,124.0
2019-10-25,124.81999969482422
2020-03-31,122.06999969482422
2020-06-18,119.98999786376953
2019-04-03,120.11000061035156
2018-08-22,119.0999984741211
2018-10-25,120.01000213623047
2019-01-29,118.98999786376953
2018-12-28,119.88999938964844
2018-11-26,123.83000183105469
2019-08-09,124.66000366210938
2019-07-08,123.54000091552734
2019-06-06,122.9800033569336
2019-09-10,123.41999816894531
2020-01-15,123.12999725341797
2020-04-03,122.7300033569336
2019-10-31,121.33000183105469
2020-04-06,122.27999877929688
2020-06-24,123.87000274658203
2018-11-09,125.8499984741211
2019-07-23,126.51000213623047
2019-06-21,128.72000122070312
2019-05-20,131.1300048828125
2019-04-18,132.32000732421875
2018-09-06,133.47000122070312
2018-10-08,132.27000427246094
2019-02-13,132.3000030517578
2018-12-11,132.72000122070312
2019-09-25,133.25999450683594
2020-01-21,133.10000610351562
2020-04-09,134.3699951171875
2019-11-06,135.64999389648438
2020-01-24,133.49000549316406
2020-01-27,133.3300018310547
