Dates,NWL
2018-06-20,25.950000762939453
2018-06-21,25.709999084472656
2018-06-25,25.81999969482422
2018-06-22,25.559999465942383
2018-06-26,25.670000076293945
2018-06-27,25.639999389648438
2018-06-28,25.280000686645508
2018-06-29,25.479999542236328
2018-07-02,25.530000686645508
2018-07-03,26.15999984741211
2018-07-05,26.34000015258789
2018-07-16,27.049999237060547
2018-09-18,27.270000457763672
2019-01-24,27.3799991607666
2019-09-05,26.940000534057617
2018-11-21,27.31999969482422
2020-01-13,27.510000228881836
2020-04-01,27.690000534057617
2020-06-19,27.610000610351562
2019-10-29,26.829999923706055
2020-01-16,26.43000030517578
2020-06-22,26.09000015258789
2018-10-03,26.010000228881836
2018-07-31,26.229999542236328
2019-03-12,25.43000030517578
2019-02-08,25.809999465942383
2019-01-07,25.8700008392334
2018-12-06,26.110000610351562
2019-08-19,25.979999542236328
2019-07-18,25.989999771118164
2019-05-15,26.09000015258789
2019-09-20,26.530000686645508
2019-11-01,22.5
2020-04-07,21.649999618530273
2020-06-25,20.209999084472656
2020-06-16,20.829999923706055
2019-11-04,20.649999618530273
2020-01-22,20.260000228881836
2019-11-07,20.329999923706055
2020-04-13,20.350000381469727
2019-07-01,20.920000076293945
2019-05-30,20.950000762939453
2018-08-15,21.5
2018-10-18,21.450000762939453
2019-03-27,21.559999465942383
2019-01-22,21.329999923706055
2018-12-21,21.530000686645508
2019-09-03,21.799999237060547
2018-11-19,22.280000686645508
2019-08-02,21.950000762939453
2020-01-28,21.81999969482422
2020-04-16,21.520000457763672
2019-11-13,21.25
2020-01-31,21.25
2018-12-04,21.209999084472656
2018-11-02,21.1299991607666
2019-07-16,21.40999984741211
2018-08-30,21.270000457763672
2018-10-01,21.389999389648438
2019-06-14,21.469999313354492
2019-05-13,21.530000686645508
2019-04-11,21.530000686645508
2019-02-06,21.31999969482422
2019-09-18,21.450000762939453
2020-02-03,21.729999542236328
2020-04-22,21.56999969482422
2019-11-19,20.139999389648438
2020-02-06,20.399999618530273
2019-11-22,20.420000076293945
2019-03-25,20.360000610351562
2019-02-21,20.260000228881836
2018-12-19,20.229999542236328
2018-07-12,20.290000915527344
2018-09-14,20.18000030517578
2018-08-13,19.959999084472656
2018-10-16,18.610000610351562
2019-07-31,18.579999923706055
2019-05-28,18.600000381469727
2019-04-26,18.049999237060547
2020-04-28,17.56999969482422
2019-11-25,17.280000686645508
2020-02-12,17.290000915527344
2020-05-01,17.06999969482422
2020-05-04,17.700000762939453
2019-06-12,16.510000228881836
2019-04-09,16.56999969482422
2019-03-08,16.31999969482422
2019-02-04,15.930000305175781
2018-07-27,15.880000114440918
2018-08-28,16.059999465942383
2019-01-03,15.380000114440918
2019-08-15,15.119999885559082
2018-10-31,15.399999618530273
2019-09-16,15.5600004196167
2020-02-18,15.75
2020-05-07,17.989999771118164
2018-08-17,19.0
2019-12-04,19.75
2020-02-21,19.8799991607666
2018-12-17,19.760000228881836
2019-08-30,19.600000381469727
2018-11-15,19.68000030517578
2019-07-29,20.239999771118164
2019-06-27,20.43000030517578
2019-04-24,20.5
2018-07-10,21.1200008392334
2018-09-12,21.219999313354492
2019-02-19,20.829999923706055
2019-01-18,21.40999984741211
2020-02-24,21.479999542236328
2020-05-13,21.850000381469727
2019-12-10,22.799999237060547
2020-02-27,22.450000762939453
2019-12-13,23.059999465942383
2020-05-19,23.399999618530273
2019-03-06,23.709999084472656
2018-11-30,23.31999969482422
2019-08-13,22.149999618530273
2019-07-12,22.40999984741211
2019-06-10,21.969999313354492
2019-05-09,22.979999542236328
2018-07-25,23.399999618530273
2018-09-27,22.6299991607666
2018-10-29,21.950000762939453
2019-10-16,21.31999969482422
2019-12-16,21.260000228881836
2020-03-04,20.270000457763672
2020-05-22,19.959999084472656
2019-10-01,18.639999389648438
2019-12-19,17.940000534057617
2018-09-10,17.709999084472656
2019-05-24,17.860000610351562
2018-08-09,18.1200008392334
2019-04-22,18.020000457763672
2019-03-21,17.979999542236328
2019-01-16,18.059999465942383
2019-08-28,18.639999389648438
2018-11-13,18.799999237060547
2018-10-12,19.34000015258789
2019-06-25,19.610000610351562
2020-03-10,19.639999389648438
2020-05-28,20.200000762939453
2019-10-07,20.079999923706055
2020-03-13,20.299999237060547
2019-10-10,20.489999771118164
