Dates,NWL
2018-09-21,5651300.0
2018-07-19,7173000.0
2018-08-20,7448200.0
2018-10-23,7218200.0
2019-05-03,19595000.0
2019-04-01,8264300.0
2019-02-28,7225000.0
2019-11-12,5103300.0
2020-01-30,5227600.0
2019-11-15,4655100.0
2020-04-21,4768400.0
2019-04-16,4734200.0
2019-03-15,7097500.0
2019-02-11,3313700.0
2019-01-10,3270900.0
2019-08-22,4095500.0
2018-11-07,3811000.0
2018-08-03,4184900.0
2018-09-04,3669300.0
2019-06-19,2605200.0
2019-09-23,7318200.0
2019-11-18,9510900.0
2020-02-05,5169200.0
2020-04-24,9234900.0
2019-03-29,7397100.0
2019-11-21,5344900.0
2020-04-27,4683900.0
2020-02-11,3898400.0
2020-04-30,3452700.0
2019-05-01,4978500.0
2019-02-26,4266400.0
2019-01-25,3042600.0
2018-12-24,3611300.0
2019-09-06,2929500.0
2018-07-17,3957100.0
2018-09-19,3913700.0
2019-08-05,3390200.0
2019-10-08,4060500.0
2019-12-11,6155000.0
2019-11-27,4270000.0
2020-02-14,6957100.0
2020-05-06,5184400.0
2019-01-08,3355300.0
2018-12-07,6961700.0
2019-08-20,3943300.0
2018-11-05,3850200.0
2019-07-19,2367900.0
2018-10-04,2060400.0
2019-06-17,2617800.0
2019-05-16,2927900.0
2018-08-01,2596300.0
2019-03-13,2955200.0
2019-12-03,2437000.0
2020-02-20,2984900.0
2019-12-06,4684300.0
2020-05-12,4687600.0
2019-12-09,3333800.0
2020-02-26,4126800.0
2020-05-15,4105700.0
2019-03-28,3558600.0
2018-09-17,5349900.0
2018-08-16,4404100.0
2018-10-19,5629600.0
2019-04-29,10765200.0
2019-01-23,10246300.0
2019-09-04,8235400.0
2018-11-20,12417700.0
2019-07-02,20655600.0
2019-05-31,9256600.0
2019-12-12,9475300.0
2020-05-18,8273000.0
2019-09-27,4507100.0
2020-03-03,3565500.0
2020-05-21,4412000.0
2019-05-14,3793000.0
2018-08-31,3968700.0
2018-07-30,4160700.0
2018-10-02,3198900.0
2019-04-12,5161800.0
2019-03-11,4489500.0
2019-02-07,5308800.0
2019-07-17,3195100.0
2019-09-19,4343900.0
2019-10-21,3045300.0
2019-12-18,4645800.0
2020-03-06,5065900.0
2019-10-03,4781600.0
2020-03-09,3089900.0
2020-05-27,4853300.0
2019-12-24,4012400.0
2020-03-12,6096100.0
2018-12-20,4228200.0
2019-08-01,4584700.0
2018-08-14,6270200.0
2018-07-13,5556100.0
2018-10-17,3997100.0
2019-05-29,4290000.0
2019-03-26,3879600.0
2019-02-22,4085700.0
2019-10-04,3790100.0
2019-11-05,5251100.0
2019-12-27,6241000.0
2020-06-02,2915300.0
2019-12-30,3668800.0
2020-03-18,3186100.0
2020-06-05,5546700.0
2019-07-15,3211400.0
2018-12-03,9557800.0
2019-06-13,6114500.0
2019-01-04,5013500.0
2018-08-29,5831900.0
2019-02-05,2758000.0
2018-11-01,4701400.0
2019-08-16,4751900.0
2019-04-10,3701100.0
2019-09-17,2854500.0
2019-10-15,3429900.0
2020-01-02,2678500.0
2020-06-08,3157800.0
2019-10-18,4088100.0
2020-03-24,3575000.0
2020-06-11,4584600.0
2020-01-08,4795600.0
2019-04-25,4051800.0
2019-07-30,3288500.0
2019-02-20,4336900.0
2018-07-11,5794600.0
2018-09-13,3924300.0
2018-10-15,5225900.0
2019-06-28,4080200.0
2018-12-18,5377500.0
2018-11-16,11942900.0
2019-10-02,7143800.0
2020-03-27,5838100.0
2020-01-10,3428500.0
2019-10-24,4593700.0
2020-03-30,3583700.0
2020-06-17,3796400.0
2020-01-14,3460100.0
2020-04-02,3421600.0
2019-01-02,2121500.0
2019-08-14,2948100.0
2018-10-30,2676000.0
2019-06-11,1911600.0
2019-05-10,2004000.0
2019-04-08,2982200.0
2018-08-27,4287500.0
2018-07-26,4280100.0
2018-09-28,4758900.0
2019-03-07,2427000.0
2019-10-30,1369600.0
2020-01-17,2671900.0
2020-06-23,3154200.0
2020-04-08,4010000.0
2020-06-26,2017300.0
2019-03-22,3358200.0
2019-01-17,2016800.0
2019-08-29,2852300.0
2018-11-14,2917400.0
2019-06-26,2765000.0
2018-09-11,2447600.0
2018-07-09,4693000.0
2018-08-10,3885400.0
2019-04-23,4100000.0
2019-09-30,6113800.0
2020-01-23,12935100.0
2019-11-08,3397600.0
2020-04-14,884400.0
2019-11-11,1836500.0
2020-01-29,2346800.0
2020-04-17,1502600.0
2018-07-24,2165200.0
2018-09-26,3998300.0
2019-05-08,3206800.0
2019-03-05,3492000.0
2019-02-01,3362600.0
2018-12-31,2967000.0
2018-11-29,3903500.0
2019-08-12,2339300.0
2019-07-11,2514100.0
2019-09-13,3991600.0
2019-11-14,3610900.0
2020-04-20,2708400.0
2020-02-04,2712600.0
