Dates,ABC
2018-06-20,640300.0
2018-06-21,962800.0
2018-06-25,974300.0
2018-06-22,670900.0
2018-06-26,959700.0
2018-06-27,811700.0
2018-06-28,5020200.0
2018-06-29,1401800.0
2018-07-02,1260100.0
2018-07-03,619700.0
2018-07-05,871600.0
2018-07-16,1014800.0
2018-09-18,1436200.0
2019-01-24,843300.0
2019-09-05,1250900.0
2018-11-21,1482100.0
2020-01-13,1157600.0
2020-04-01,926600.0
2020-06-19,1097300.0
2019-10-29,813600.0
2020-01-16,2193700.0
2020-06-22,1217000.0
2018-10-03,670600.0
2018-07-31,920500.0
2019-03-12,1263700.0
2019-02-08,1634400.0
2019-01-07,1276900.0
2018-12-06,1668500.0
2019-08-19,1500200.0
2019-07-18,2357800.0
2019-05-15,3712200.0
2019-09-20,1937500.0
2019-11-01,1966800.0
2020-04-07,1581600.0
2020-06-25,1446700.0
2020-06-16,1316400.0
2019-11-04,1255000.0
2020-01-22,1243500.0
2019-11-07,1182500.0
2020-04-13,1377100.0
2019-07-01,1811900.0
2019-05-30,1298900.0
2018-08-15,868000.0
2018-10-18,769500.0
2019-03-27,550400.0
2019-01-22,836000.0
2018-12-21,626700.0
2019-09-03,786700.0
2018-11-19,578900.0
2019-08-02,792300.0
2020-01-28,1446400.0
2020-04-16,886000.0
2019-11-13,1021100.0
2020-01-31,1063200.0
2018-12-04,1342200.0
2018-11-02,974100.0
2019-07-16,1013700.0
2018-08-30,2498700.0
2018-10-01,1310100.0
2019-06-14,1096100.0
2019-05-13,1166900.0
2019-04-11,1010500.0
2019-02-06,1009500.0
2019-09-18,1393000.0
2020-02-03,1082900.0
2020-04-22,1853200.0
2019-11-19,966700.0
2020-02-06,975300.0
2019-11-22,1301700.0
2019-03-25,948800.0
2019-02-21,1128400.0
2018-12-19,1232500.0
2018-07-12,1197600.0
2018-09-14,1405100.0
2018-08-13,1300400.0
2018-10-16,1178600.0
2019-07-31,1163400.0
2019-05-28,1157900.0
2019-04-26,1781600.0
2020-04-28,1590200.0
2019-11-25,1147900.0
2020-02-12,956700.0
2020-05-01,2020200.0
2020-05-04,1470300.0
2019-06-12,881100.0
2019-04-09,1100500.0
2019-03-08,1244600.0
2019-02-04,940400.0
2018-07-27,2792500.0
2018-08-28,2680800.0
2019-01-03,1017200.0
2019-08-15,777100.0
2018-10-31,1095600.0
2019-09-16,961900.0
2020-02-18,927800.0
2020-05-07,989500.0
2018-08-17,1162800.0
2019-12-04,4966200.0
2020-02-21,1975100.0
2018-12-17,2154800.0
2019-08-30,1129200.0
2018-11-15,954700.0
2019-07-29,1683600.0
2019-06-27,1178400.0
2019-04-24,1200400.0
2018-07-10,1175400.0
2018-09-12,2033000.0
2019-02-19,2098900.0
2019-01-18,1252900.0
2020-02-24,361400.0
2020-05-13,928300.0
2019-12-10,1327100.0
2020-02-27,1018900.0
2019-12-13,805000.0
2020-05-19,1934500.0
2019-03-06,1270200.0
2018-11-30,2102800.0
2019-08-13,1582600.0
2019-07-12,934700.0
2019-06-10,1193900.0
2019-05-09,1297900.0
2018-07-25,1175800.0
2018-09-27,1140800.0
2018-10-29,1567900.0
2019-10-16,1472600.0
2019-12-16,1327200.0
2020-03-04,1639100.0
2020-05-22,2130700.0
2019-10-01,2573600.0
2019-12-19,523900.0
2018-09-10,1049200.0
2019-05-24,1213200.0
2018-08-09,1543000.0
2019-04-22,1028400.0
2019-03-21,1149700.0
2019-01-16,1499400.0
2019-08-28,2417700.0
2018-11-13,1608300.0
2018-10-12,1689500.0
2019-06-25,1151400.0
2020-03-10,1623100.0
2020-05-28,978600.0
2019-10-07,1466200.0
2020-03-13,1667400.0
2019-10-10,988900.0
2020-03-16,1369700.0
2020-06-03,2245600.0
2018-11-28,1400200.0
2018-09-25,1044000.0
2018-07-23,670000.0
2018-08-24,924200.0
2019-07-10,838800.0
2019-05-07,1040900.0
2019-04-05,1833000.0
2019-03-04,4542200.0
2019-01-31,4283300.0
2019-09-12,1872000.0
2019-12-31,1594600.0
2020-03-19,1132700.0
2020-01-03,1470700.0
2020-06-09,1519900.0
2019-02-15,1304800.0
2019-01-14,1024800.0
2018-07-06,752200.0
2018-08-07,735800.0
2018-10-10,920500.0
2018-12-13,1546000.0
2019-08-26,728300.0
2019-07-25,722400.0
2019-05-22,827900.0
2019-03-19,746100.0
2020-01-06,825100.0
2020-03-25,1896300.0
2020-06-12,1832300.0
2019-10-22,902600.0
2020-01-09,1260600.0
2020-06-15,2123500.0
2019-10-25,3413200.0
2020-03-31,2734200.0
2020-06-18,1426200.0
2019-04-03,1336200.0
