Dates,ABC
2018-06-20,93.58000183105469
2018-06-21,93.95999908447266
2018-06-25,94.33999633789062
2018-06-22,93.80999755859375
2018-06-26,92.33000183105469
2018-06-27,91.52999877929688
2018-06-28,86.76000213623047
2018-06-29,86.55999755859375
2018-07-02,85.73999786376953
2018-07-03,87.13999938964844
2018-07-05,87.2699966430664
2018-07-16,88.13999938964844
2018-09-18,89.55000305175781
2019-01-24,89.01000213623047
2019-09-05,87.37999725341797
2018-11-21,87.98999786376953
2020-01-13,88.66999816894531
2020-04-01,88.23999786376953
2020-06-19,87.58000183105469
2019-10-29,87.54000091552734
2020-01-16,86.37999725341797
2020-06-22,85.52999877929688
2018-10-03,85.72000122070312
2018-07-31,85.58000183105469
2019-03-12,85.19999694824219
2019-02-08,85.25
2019-01-07,84.37000274658203
2018-12-06,84.48999786376953
2019-08-19,83.48999786376953
2019-07-18,82.83999633789062
2019-05-15,79.66999816894531
2019-09-20,81.33999633789062
2019-11-01,82.72000122070312
2020-04-07,84.80999755859375
2020-06-25,83.55999755859375
2020-06-16,84.5199966430664
2019-11-04,83.08000183105469
2020-01-22,83.2699966430664
2019-11-07,85.12999725341797
2020-04-13,85.1500015258789
2019-07-01,87.29000091552734
2019-05-30,88.47000122070312
2018-08-15,88.66000366210938
2018-10-18,88.83000183105469
2019-03-27,88.37999725341797
2019-01-22,88.58999633789062
2018-12-21,88.9800033569336
2019-09-03,89.6500015258789
2018-11-19,88.97000122070312
2019-08-02,89.43000030517578
2020-01-28,90.38999938964844
2020-04-16,90.04000091552734
2019-11-13,89.5999984741211
2020-01-31,89.54000091552734
2018-12-04,89.91999816894531
2018-11-02,89.26000213623047
2019-07-16,89.4800033569336
2018-08-30,87.80999755859375
2018-10-01,85.43000030517578
2019-06-14,86.2699966430664
2019-05-13,87.37999725341797
2019-04-11,87.38999938964844
2019-02-06,88.05999755859375
2019-09-18,89.88999938964844
2020-02-03,91.44999694824219
2020-04-22,91.69999694824219
2019-11-19,90.19000244140625
2020-02-06,90.58000183105469
2019-11-22,91.4800033569336
2019-03-25,91.48999786376953
2019-02-21,92.51000213623047
2018-12-19,93.94000244140625
2018-07-12,93.16000366210938
2018-09-14,92.70999908447266
2018-08-13,92.56999969482422
2018-10-16,92.19000244140625
2019-07-31,92.25
2019-05-28,91.80000305175781
2019-04-26,92.83000183105469
2020-04-28,90.79000091552734
2019-11-25,88.77999877929688
2020-02-12,90.54000091552734
2020-05-01,93.22000122070312
2020-05-04,94.56999969482422
2019-06-12,94.27999877929688
2019-04-09,94.8499984741211
2019-03-08,93.5
2019-02-04,90.73999786376953
2018-07-27,90.19000244140625
2018-08-28,87.30000305175781
2019-01-03,86.12000274658203
2019-08-15,87.7300033569336
2018-10-31,87.68000030517578
2019-09-16,89.22000122070312
2020-02-18,91.16999816894531
2020-05-07,91.9800033569336
2018-08-17,89.56999969482422
2019-12-04,85.94000244140625
2020-02-21,87.37000274658203
2018-12-17,90.0199966430664
2019-08-30,90.30999755859375
2018-11-15,90.33000183105469
2019-07-29,92.58999633789062
2019-06-27,92.44000244140625
2019-04-24,89.18000030517578
2018-07-10,89.12000274658203
2018-09-12,91.37000274658203
2019-02-19,91.52999877929688
2019-01-18,89.30000305175781
2020-02-24,88.0
2020-05-13,89.2300033569336
2019-12-10,89.75
2020-02-27,91.2699966430664
2019-12-13,91.20999908447266
2020-05-19,90.87000274658203
2019-03-06,89.68000030517578
2018-11-30,90.26000213623047
2019-08-13,86.98999786376953
2019-07-12,86.26000213623047
2019-06-10,84.41999816894531
2019-05-09,84.77999877929688
2018-07-25,84.9800033569336
2018-09-27,83.33999633789062
2018-10-29,81.33000183105469
2019-10-16,78.55000305175781
2019-12-16,78.5999984741211
2020-03-04,78.66999816894531
2020-05-22,77.0199966430664
2019-10-01,75.55999755859375
2019-12-19,72.70999908447266
2018-09-10,73.12999725341797
2019-05-24,73.52999877929688
2018-08-09,75.08000183105469
2019-04-22,75.08000183105469
2019-03-21,74.7699966430664
2019-01-16,74.70999908447266
2019-08-28,74.36000061035156
2018-11-13,76.23999786376953
2018-10-12,75.93000030517578
2019-06-25,76.9000015258789
2020-03-10,76.33000183105469
2020-05-28,76.62000274658203
2019-10-07,77.62000274658203
2020-03-13,77.73999786376953
2019-10-10,77.7699966430664
2020-03-16,78.12999725341797
2020-06-03,79.94999694824219
2018-11-28,79.91000366210938
2018-09-25,79.9800033569336
2018-07-23,79.94999694824219
2018-08-24,80.52999877929688
2019-07-10,80.30999755859375
2019-05-07,80.11000061035156
2019-04-05,80.13999938964844
2019-03-04,85.86000061035156
2019-01-31,83.81999969482422
2019-09-12,85.0
2019-12-31,86.3499984741211
2020-03-19,87.2699966430664
2020-01-03,87.52999877929688
2020-06-09,85.44999694824219
2019-02-15,84.3499984741211
2019-01-14,85.83000183105469
2018-07-06,86.7699966430664
2018-08-07,86.97000122070312
2018-10-10,87.3499984741211
2018-12-13,87.31999969482422
2019-08-26,87.12999725341797
2019-07-25,86.4000015258789
2019-05-22,85.87999725341797
2019-03-19,86.56999969482422
2020-01-06,84.9800033569336
2020-03-25,83.87000274658203
2020-06-12,83.95999908447266
2019-10-22,84.2699966430664
2020-01-09,83.44000244140625
2020-06-15,80.69999694824219
2019-10-25,79.62999725341797
2020-03-31,77.51000213623047
2020-06-18,76.94000244140625
2019-04-03,78.05000305175781
2018-08-22,79.12000274658203
2018-10-25,80.26000213623047
2019-01-29,80.26000213623047
2018-12-28,80.58999633789062
2018-11-26,81.30000305175781
2019-08-09,81.69999694824219
2019-07-08,80.88999938964844
2019-06-06,80.43000030517578
2019-09-10,80.37999725341797
2020-01-15,78.7699966430664
2020-04-03,77.93000030517578
2019-10-31,76.87000274658203
2020-04-06,77.93000030517578
2020-06-24,79.63999938964844
2018-11-09,80.25
2019-07-23,77.05000305175781
2019-06-21,76.26000213623047
2019-05-20,76.12000274658203
2019-04-18,78.16999816894531
2018-09-06,78.38999938964844
2018-10-08,78.04000091552734
2019-02-13,75.44999694824219
2018-12-11,75.2699966430664
2019-09-25,76.23999786376953
2020-01-21,76.16000366210938
2020-04-09,76.9000015258789
2019-11-06,75.79000091552734
2020-01-24,72.77999877929688
2020-01-27,72.97000122070312
2020-04-15,73.98999786376953
2018-12-26,74.66000366210938
2019-08-07,73.86000061035156
2019-06-04,74.8499984741211
2018-09-21,74.77999877929688
2018-07-19,75.05999755859375
2018-08-20,75.25
2018-10-23,78.7699966430664
2019-05-03,79.58999633789062
2019-04-01,78.55999755859375
2019-02-28,79.05999755859375
2019-11-12,79.55999755859375
2020-01-30,79.79000091552734
2019-11-15,79.51000213623047
2020-04-21,76.2699966430664
2019-04-16,78.93000030517578
2019-03-15,77.95999908447266
2019-02-11,78.75
2019-01-10,78.83000183105469
2019-08-22,79.66999816894531
2018-11-07,81.26000213623047
2018-08-03,82.08000183105469
2018-09-04,81.66999816894531
2019-06-19,81.29000091552734
2019-09-23,81.69000244140625
2019-11-18,80.58000183105469
2020-02-05,78.93000030517578
2020-04-24,78.3499984741211
2019-03-29,81.06999969482422
2019-11-21,82.87999725341797
2020-04-27,83.19000244140625
2020-02-11,82.45999908447266
2020-04-30,83.66999816894531
2019-05-01,85.4800033569336
2019-02-26,85.2699966430664
2019-01-25,85.41000366210938
2018-12-24,86.68000030517578
2019-09-06,86.98999786376953
2018-07-17,85.61000061035156
2018-09-19,87.0999984741211
2019-08-05,86.79000091552734
2019-10-08,86.97000122070312
2019-12-11,85.48999786376953
2019-11-27,85.13999938964844
2020-02-14,85.1500015258789
2020-05-06,84.83999633789062
2019-01-08,86.52999877929688
2018-12-07,86.26000213623047
2019-08-20,85.91000366210938
2018-11-05,86.05000305175781
2019-07-19,88.77999877929688
2018-10-04,88.86000061035156
2019-06-17,88.05999755859375
2019-05-16,88.75
2018-08-01,89.7699966430664
2019-03-13,94.19999694824219
2019-12-03,91.30000305175781
2020-02-20,90.4000015258789
2019-12-06,89.9000015258789
2020-05-12,88.5199966430664
2019-12-09,87.0
2020-02-26,86.63999938964844
2020-05-15,86.18000030517578
2019-03-28,86.16000366210938
2018-09-17,87.04000091552734
2018-08-16,87.62000274658203
2018-10-19,86.69000244140625
2019-04-29,87.26000213623047
2019-01-23,89.01000213623047
2019-09-04,88.7300033569336
2018-11-20,94.75
2019-07-02,92.88999938964844
2019-05-31,90.86000061035156
2019-12-12,90.98999786376953
2020-05-18,86.04000091552734
2019-09-27,88.38999938964844
2020-03-03,88.16999816894531
2020-05-21,87.87000274658203
2019-05-14,89.95999908447266
2018-08-31,88.4800033569336
2018-07-30,86.87999725341797
2018-10-02,87.9000015258789
2019-04-12,88.97000122070312
2019-03-11,88.61000061035156
2019-02-07,87.58000183105469
2019-07-17,87.12000274658203
2019-09-19,86.4000015258789
2019-10-21,85.91999816894531
2019-12-18,86.58999633789062
2020-03-06,82.02999877929688
2019-10-03,82.7699966430664
2020-03-09,82.48999786376953
2020-05-27,84.5
2019-12-24,85.44999694824219
2020-03-12,87.16999816894531
2018-12-20,86.61000061035156
2019-08-01,87.56999969482422
2018-08-14,86.81999969482422
2018-07-13,88.45999908447266
2018-10-17,88.2300033569336
2019-05-29,86.33000183105469
2019-03-26,83.88999938964844
2019-02-22,84.55999755859375
2019-10-04,83.27999877929688
2019-11-05,85.19999694824219
2019-12-27,86.45999908447266
2020-06-02,85.26000213623047
2019-12-30,85.12999725341797
2020-03-18,84.06999969482422
2020-06-05,83.87000274658203
2019-07-15,82.36000061035156
2018-12-03,83.41000366210938
2019-06-13,84.20999908447266
2019-01-04,81.77999877929688
2018-08-29,81.56999969482422
2019-02-05,81.87999725341797
2018-11-01,82.69000244140625
2019-08-16,81.87000274658203
2019-04-10,81.18000030517578
2019-09-17,81.56999969482422
2019-10-15,83.1500015258789
2020-01-02,82.1500015258789
2020-06-08,83.61000061035156
2019-10-18,88.69000244140625
2020-03-24,89.83000183105469
2020-06-11,90.0
2020-01-08,89.0
2019-04-25,87.11000061035156
2019-07-30,86.02999877929688
2019-02-20,86.29000091552734
2018-07-11,87.22000122070312
2018-09-13,88.19999694824219
2018-10-15,88.87999725341797
2019-06-28,88.0
2018-12-18,85.7699966430664
2018-11-16,87.41999816894531
2019-10-02,87.7300033569336
2020-03-27,88.77999877929688
2020-01-10,86.94999694824219
2019-10-24,87.7699966430664
2020-03-30,86.1500015258789
2020-06-17,85.0999984741211
2020-01-14,86.48999786376953
2020-04-02,86.7300033569336
2019-01-02,87.12000274658203
2019-08-14,87.73999786376953
2018-10-30,88.19999694824219
2019-06-11,88.13999938964844
2019-05-10,88.3499984741211
2019-04-08,88.70999908447266
2018-08-27,90.5199966430664
2018-07-26,90.80999755859375
2018-09-28,90.72000122070312
2019-03-07,88.55000305175781
2019-10-30,88.75
2020-01-17,88.5999984741211
2020-06-23,87.55999755859375
2020-04-08,88.97000122070312
2020-06-26,88.88999938964844
2019-03-22,89.20999908447266
2019-01-17,88.23999786376953
2019-08-29,87.05000305175781
2018-11-14,87.04000091552734
2019-06-26,87.80999755859375
2018-09-11,87.61000061035156
2018-07-09,86.66000366210938
2018-08-10,86.08999633789062
2019-04-23,84.8499984741211
2019-09-30,84.20999908447266
2020-01-23,85.76000213623047
2019-11-08,86.11000061035156
2020-04-14,86.30000305175781
2019-11-11,85.66999816894531
2020-01-29,85.48999786376953
2020-04-17,85.2300033569336
2018-07-24,85.02999877929688
2018-09-26,85.80000305175781
2019-05-08,85.06999969482422
2019-03-05,85.30999755859375
2019-02-01,85.25
2018-12-31,85.81999969482422
2018-11-29,86.7300033569336
2019-08-12,87.38999938964844
2019-07-11,87.25
2019-09-13,88.9800033569336
