Dates,EFX
2018-06-20,128.47999572753906
2018-06-21,128.52999877929688
2018-06-25,128.1699981689453
2018-06-22,126.5999984741211
2018-06-26,124.93000030517578
2018-06-27,125.51000213623047
2018-06-28,126.23999786376953
2018-06-29,127.33000183105469
2018-07-02,124.31999969482422
2018-07-03,125.9000015258789
2018-07-05,126.23999786376953
2018-07-16,127.56999969482422
2018-09-18,128.85000610351562
2019-01-24,129.05999755859375
2019-09-05,129.30999755859375
2018-11-21,129.10000610351562
2020-01-13,128.60000610351562
2020-04-01,127.41999816894531
2020-06-19,126.61000061035156
2019-10-29,126.41000366210938
2020-01-16,126.5999984741211
2020-06-22,126.87000274658203
2018-10-03,127.68000030517578
2018-07-31,127.7300033569336
2019-03-12,128.1999969482422
2019-02-08,125.0
2019-01-07,123.73999786376953
2018-12-06,126.16000366210938
2019-08-19,128.08999633789062
2019-07-18,126.54000091552734
2019-05-15,125.93000030517578
2019-09-20,127.83000183105469
2019-11-01,128.27999877929688
2020-04-07,128.3800048828125
2020-06-25,128.44000244140625
2020-06-16,129.0500030517578
2019-11-04,128.77000427246094
2020-01-22,129.89999389648438
2019-11-07,130.17999267578125
2020-04-13,129.35000610351562
2019-07-01,130.47999572753906
2019-05-30,133.1199951171875
2018-08-15,133.99000549316406
2018-10-18,134.6699981689453
2019-03-27,134.7899932861328
2019-01-22,136.08999633789062
2018-12-21,135.17999267578125
2019-09-03,133.1300048828125
2018-11-19,134.2100067138672
2019-08-02,134.25
2020-01-28,133.88999938964844
2020-04-16,134.11000061035156
2019-11-13,134.92999267578125
2020-01-31,135.1300048828125
2018-12-04,136.1999969482422
2018-11-02,137.0
2019-07-16,136.67999267578125
2018-08-30,135.5
2018-10-01,135.8000030517578
2019-06-14,136.86000061035156
2019-05-13,136.99000549316406
2019-04-11,136.6999969482422
2019-02-06,138.69000244140625
2019-09-18,138.14999389648438
2020-02-03,135.44000244140625
2020-04-22,134.13999938964844
2019-11-19,133.3800048828125
2020-02-06,132.39999389648438
2019-11-22,132.49000549316406
2019-03-25,131.1999969482422
2019-02-21,130.97000122070312
2018-12-19,131.49000549316406
2018-07-12,132.74000549316406
2018-09-14,132.8800048828125
2018-08-13,131.77000427246094
2018-10-16,129.64999389648438
2019-07-31,129.36000061035156
2019-05-28,127.91000366210938
2019-04-26,127.52999877929688
2020-04-28,122.91000366210938
2019-11-25,123.4000015258789
2020-02-12,124.01000213623047
2020-05-01,125.1500015258789
2020-05-04,125.13999938964844
2019-06-12,125.19000244140625
2019-04-09,125.18000030517578
2019-03-08,124.11000061035156
2019-02-04,120.47000122070312
2018-07-27,120.19999694824219
2018-08-28,107.73999786376953
2019-01-03,98.3499984741211
2019-08-15,99.31999969482422
2018-10-31,99.2699966430664
2019-09-16,102.12000274658203
2020-02-18,105.13999938964844
2020-05-07,105.69999694824219
2018-08-17,105.9800033569336
2019-12-04,104.30999755859375
2020-02-21,104.41000366210938
2018-12-17,103.95999908447266
2019-08-30,102.81999969482422
2018-11-15,102.0
2019-07-29,102.01000213623047
2019-06-27,100.72000122070312
2019-04-24,100.08999633789062
2018-07-10,101.52999877929688
2018-09-12,102.9800033569336
2019-02-19,101.19999694824219
2019-01-18,101.33000183105469
2020-02-24,101.80999755859375
2020-05-13,102.37000274658203
2019-12-10,103.01000213623047
2020-02-27,105.83000183105469
2019-12-13,106.73999786376953
2020-05-19,103.0999984741211
2019-03-06,104.97000122070312
2018-11-30,103.72000122070312
2019-08-13,100.31999969482422
2019-07-12,101.55000305175781
2019-06-10,99.41000366210938
2019-05-09,99.2300033569336
2018-07-25,99.63999938964844
2018-09-27,98.44000244140625
2018-10-29,97.25
2019-10-16,98.2300033569336
2019-12-16,98.6500015258789
2020-03-04,97.19000244140625
2020-05-22,94.37999725341797
2019-10-01,92.86000061035156
2019-12-19,91.13999938964844
2018-09-10,92.81999969482422
2019-05-24,94.12999725341797
2018-08-09,94.68000030517578
2019-04-22,93.98999786376953
2019-03-21,93.41000366210938
2019-01-16,93.70999908447266
2019-08-28,94.54000091552734
2018-11-13,95.08999633789062
2018-10-12,94.81999969482422
2019-06-25,96.06999969482422
2020-03-10,96.9000015258789
2020-05-28,96.66000366210938
2019-10-07,96.77999877929688
2020-03-13,98.4000015258789
2019-10-10,98.76000213623047
2020-03-16,101.0999984741211
2020-06-03,104.27999877929688
2018-11-28,104.05999755859375
2018-09-25,104.30000305175781
2018-07-23,104.41999816894531
2018-08-24,105.63999938964844
2019-07-10,105.9000015258789
2019-05-07,105.81999969482422
2019-04-05,106.5999984741211
2019-03-04,107.36000061035156
2019-01-31,108.5199966430664
2019-09-12,108.1500015258789
2019-12-31,107.81999969482422
2020-03-19,107.62000274658203
2020-01-03,107.08999633789062
2020-06-09,106.94000244140625
2019-02-15,107.7300033569336
2019-01-14,108.5
2018-07-06,108.80000305175781
2018-08-07,109.66999816894531
2018-10-10,110.5199966430664
2018-12-13,109.69999694824219
2019-08-26,110.36000061035156
2019-07-25,113.11000061035156
2019-05-22,110.9800033569336
2019-03-19,111.94999694824219
2020-01-06,111.0
2020-03-25,111.27999877929688
2020-06-12,109.8499984741211
2019-10-22,110.61000061035156
2020-01-09,111.25
2020-06-15,110.33000183105469
2019-10-25,110.05000305175781
2020-03-31,109.5199966430664
2020-06-18,108.66999816894531
2019-04-03,110.4000015258789
2018-08-22,111.48999786376953
2018-10-25,112.44999694824219
2019-01-29,111.6500015258789
2018-12-28,111.05000305175781
2018-11-26,112.87000274658203
2019-08-09,113.76000213623047
2019-07-08,113.4800033569336
2019-06-06,115.11000061035156
2019-09-10,114.77999877929688
2020-01-15,113.01000213623047
2020-04-03,113.58000183105469
2019-10-31,115.20999908447266
2020-04-06,117.05000305175781
2020-06-24,118.94999694824219
2018-11-09,119.83000183105469
2019-07-23,120.31999969482422
2019-06-21,122.4000015258789
2019-05-20,123.12000274658203
2019-04-18,124.83000183105469
2018-09-06,124.0199966430664
2018-10-08,123.1500015258789
2019-02-13,123.12999725341797
2018-12-11,124.56999969482422
2019-09-25,126.1500015258789
2020-01-21,126.20999908447266
2020-04-09,126.66000366210938
2019-11-06,126.88999938964844
2020-01-24,126.05999755859375
2020-01-27,125.3499984741211
2020-04-15,125.80999755859375
2018-12-26,126.7300033569336
2019-08-07,124.94000244140625
2019-06-04,125.36000061035156
2018-09-21,126.43000030517578
2018-07-19,126.8499984741211
2018-08-20,126.45999908447266
2018-10-23,124.66000366210938
2019-05-03,124.93000030517578
2019-04-01,124.33999633789062
