Dates,HLT
2018-06-20,82.01000213623047
2018-06-21,81.0199966430664
2018-06-25,80.87000274658203
2018-06-22,79.2699966430664
2018-06-26,79.19000244140625
2018-06-27,78.26000213623047
2018-06-28,78.25
2018-06-29,79.16000366210938
2018-07-02,79.30000305175781
2018-07-03,79.44999694824219
2018-07-05,79.69000244140625
2018-07-16,80.55999755859375
2018-09-18,80.94000244140625
2019-01-24,81.27999877929688
2019-09-05,80.61000061035156
2018-11-21,81.0
2020-01-13,80.97000122070312
2020-04-01,80.08000183105469
2020-06-19,81.06999969482422
2019-10-29,82.95999908447266
2020-01-16,82.13999938964844
2020-06-22,81.95999908447266
2018-10-03,81.61000061035156
2018-07-31,80.48999786376953
2019-03-12,80.37000274658203
2019-02-08,79.61000061035156
2019-01-07,78.44999694824219
2018-12-06,77.27999877929688
2019-08-19,78.66000366210938
2019-07-18,78.54000091552734
2019-05-15,78.44000244140625
2019-09-20,78.18000030517578
2019-11-01,78.12999725341797
2020-04-07,77.5999984741211
2020-06-25,76.88999938964844
2020-06-16,76.1500015258789
2019-11-04,75.6500015258789
2020-01-22,75.30999755859375
2019-11-07,76.54000091552734
2020-04-13,76.22000122070312
2019-07-01,77.23999786376953
2019-05-30,77.19999694824219
2018-08-15,76.29000091552734
2018-10-18,76.7300033569336
2019-03-27,77.19999694824219
2019-01-22,76.7699966430664
2018-12-21,77.11000061035156
2019-09-03,77.76000213623047
2018-11-19,77.47000122070312
2019-08-02,78.18000030517578
2020-01-28,77.58000183105469
2020-04-16,77.62000274658203
2019-11-13,77.16000366210938
2020-01-31,75.72000122070312
2018-12-04,75.69000244140625
2018-11-02,76.44000244140625
2019-07-16,76.58999633789062
2018-08-30,77.41000366210938
2018-10-01,77.95999908447266
2019-06-14,78.94000244140625
2019-05-13,80.05999755859375
2019-04-11,79.0999984741211
2019-02-06,79.38999938964844
2019-09-18,80.43000030517578
2020-02-03,81.08000183105469
2020-04-22,80.95999908447266
2019-11-19,80.16000366210938
2020-02-06,80.11000061035156
2019-11-22,80.66000366210938
2019-03-25,82.04000091552734
2019-02-21,80.77999877929688
2018-12-19,78.38999938964844
2018-07-12,77.08000183105469
2018-09-14,76.55000305175781
2018-08-13,75.41000366210938
2018-10-16,74.37999725341797
2019-07-31,74.94999694824219
2019-05-28,75.2300033569336
2019-04-26,73.4000015258789
2020-04-28,73.0999984741211
