Dates,AES
2018-06-20,12.930000305175781
2018-06-21,12.890000343322754
2018-06-25,12.859999656677246
2018-06-22,12.869999885559082
2018-06-26,13.210000038146973
2018-06-27,13.239999771118164
2018-06-28,13.510000228881836
2018-06-29,13.40999984741211
2018-07-02,13.140000343322754
2018-07-03,13.010000228881836
2018-07-05,12.970000267028809
2018-07-16,13.0
2018-09-18,12.630000114440918
2019-01-24,12.84000015258789
2019-09-05,13.029999732971191
2018-11-21,13.100000381469727
2020-01-13,13.180000305175781
2020-04-01,13.130000114440918
2020-06-19,12.850000381469727
2019-10-29,12.729999542236328
2020-01-16,13.029999732971191
2020-06-22,13.029999732971191
2018-10-03,13.069999694824219
2018-07-31,13.109999656677246
2019-03-12,13.399999618530273
2019-02-08,13.399999618530273
2019-01-07,13.369999885559082
2018-12-06,13.300000190734863
2019-08-19,13.359999656677246
2019-07-18,13.470000267028809
2019-05-15,13.550000190734863
2019-09-20,13.6899995803833
2019-11-01,13.819999694824219
2020-04-07,13.630000114440918
2020-06-25,13.949999809265137
2020-06-16,13.739999771118164
2019-11-04,13.5600004196167
2020-01-22,13.380000114440918
2019-11-07,13.5
2020-04-13,13.489999771118164
2019-07-01,13.869999885559082
2019-05-30,13.9399995803833
2018-08-15,13.960000038146973
2018-10-18,13.970000267028809
2019-03-27,13.989999771118164
2019-01-22,14.010000228881836
2018-12-21,14.010000228881836
2019-09-03,13.960000038146973
2018-11-19,13.90999984741211
2019-08-02,14.010000228881836
2020-01-28,13.899999618530273
2020-04-16,13.460000038146973
2019-11-13,13.149999618530273
2020-01-31,13.40999984741211
2018-12-04,13.279999732971191
2018-11-02,13.109999656677246
2019-07-16,13.220000267028809
2018-08-30,13.079999923706055
2018-10-01,13.229999542236328
2019-06-14,13.449999809265137
2019-05-13,13.550000190734863
2019-04-11,13.640000343322754
2019-02-06,13.75
2019-09-18,13.59000015258789
2020-02-03,13.8100004196167
2020-04-22,13.960000038146973
2019-11-19,13.760000228881836
2020-02-06,13.699999809265137
2019-11-22,13.609999656677246
2019-03-25,13.699999809265137
2019-02-21,14.0
2018-12-19,14.050000190734863
2018-07-12,14.430000305175781
2018-09-14,14.529999732971191
2018-08-13,14.510000228881836
2018-10-16,14.65999984741211
2019-07-31,14.770000457763672
2019-05-28,14.819999694824219
2019-04-26,14.779999732971191
2020-04-28,14.4399995803833
2019-11-25,14.649999618530273
2020-02-12,14.84000015258789
2020-05-01,15.359999656677246
2020-05-04,15.079999923706055
2019-06-12,14.800000190734863
2019-04-09,14.979999542236328
2019-03-08,15.010000228881836
2019-02-04,14.720000267028809
2018-07-27,14.670000076293945
2018-08-28,14.710000038146973
2019-01-03,14.550000190734863
2019-08-15,14.520000457763672
2018-10-31,14.819999694824219
2019-09-16,14.579999923706055
2020-02-18,14.739999771118164
2020-05-07,14.600000381469727
2018-08-17,15.069999694824219
2019-12-04,16.010000228881836
2020-02-21,15.600000381469727
2018-12-17,15.670000076293945
2019-08-30,15.520000457763672
2018-11-15,15.520000457763672
2019-07-29,15.40999984741211
2019-06-27,15.239999771118164
2019-04-24,15.420000076293945
2018-07-10,15.510000228881836
2018-09-12,15.380000114440918
2019-02-19,14.899999618530273
2019-01-18,15.069999694824219
2020-02-24,15.0
2020-05-13,15.399999618530273
2019-12-10,15.220000267028809
2020-02-27,15.510000228881836
2019-12-13,15.4399995803833
2020-05-19,15.489999771118164
2019-03-06,15.600000381469727
2018-11-30,15.460000038146973
2019-08-13,15.449999809265137
2019-07-12,15.529999732971191
2019-06-10,15.770000457763672
