Dates,AES
2018-06-20,7131900.0
2018-06-21,4496300.0
2018-06-25,7895500.0
2018-06-22,4960400.0
2018-06-26,8508400.0
2018-06-27,7917200.0
2018-06-28,9042900.0
2018-06-29,6384100.0
2018-07-02,7761300.0
2018-07-03,3846200.0
2018-07-05,5292000.0
2018-07-16,5476100.0
2018-09-18,7724900.0
2019-01-24,9155900.0
2019-09-05,6661900.0
2018-11-21,4562600.0
2020-01-13,3615100.0
2020-04-01,3590800.0
2020-06-19,9094300.0
2019-10-29,9829800.0
2020-01-16,8820300.0
2020-06-22,3413200.0
2018-10-03,6031800.0
2018-07-31,5683000.0
2019-03-12,10616600.0
2019-02-08,6653100.0
2019-01-07,5321000.0
2018-12-06,7106900.0
2019-08-19,10961300.0
2019-07-18,9492500.0
2019-05-15,10164800.0
2019-09-20,8038000.0
2019-11-01,8094900.0
2020-04-07,7520700.0
2020-06-25,7915900.0
2020-06-16,6606400.0
2019-11-04,5187700.0
2020-01-22,6132600.0
2019-11-07,6105700.0
2020-04-13,7684800.0
2019-07-01,7318100.0
2019-05-30,4541800.0
2018-08-15,3721800.0
2018-10-18,3670300.0
2019-03-27,3528200.0
2019-01-22,4758900.0
2018-12-21,3877200.0
2019-09-03,2827000.0
2018-11-19,3084500.0
2019-08-02,5860800.0
2020-01-28,6190000.0
2020-04-16,9630300.0
2019-11-13,10959700.0
2020-01-31,9487900.0
2018-12-04,4479800.0
2018-11-02,4933200.0
2019-07-16,5441200.0
2018-08-30,9088300.0
2018-10-01,8296100.0
2019-06-14,8968300.0
2019-05-13,6918000.0
2019-04-11,5282900.0
2019-02-06,7925500.0
2019-09-18,8376600.0
2020-02-03,5128900.0
2020-04-22,8521700.0
2019-11-19,5382800.0
2020-02-06,10257900.0
2019-11-22,5492700.0
2019-03-25,4194500.0
2019-02-21,5578200.0
2018-12-19,7027300.0
2018-07-12,8300000.0
2018-09-14,8214700.0
2018-08-13,4890800.0
2018-10-16,5965400.0
2019-07-31,6298200.0
2019-05-28,7623900.0
2019-04-26,7697200.0
2020-04-28,7313100.0
2019-11-25,6177200.0
2020-02-12,4671500.0
2020-05-01,7945700.0
2020-05-04,5120400.0
2019-06-12,7601100.0
2019-04-09,8470400.0
2019-03-08,4684500.0
2019-02-04,8080900.0
2018-07-27,7718700.0
2018-08-28,7673700.0
2019-01-03,6645600.0
2019-08-15,4884900.0
2018-10-31,7849300.0
2019-09-16,9375800.0
2020-02-18,4214000.0
2020-05-07,6687900.0
2018-08-17,9114000.0
2019-12-04,10947900.0
2020-02-21,8263100.0
2018-12-17,4322200.0
2019-08-30,4191600.0
2018-11-15,4366200.0
2019-07-29,3846000.0
2019-06-27,8214500.0
2019-04-24,6866700.0
2018-07-10,6505200.0
2018-09-12,5560000.0
2019-02-19,5361500.0
2019-01-18,7286000.0
2020-02-24,1296700.0
2020-05-13,5742200.0
2019-12-10,6403300.0
2020-02-27,7985600.0
2019-12-13,4800800.0
2020-05-19,7152000.0
2019-03-06,5589200.0
2018-11-30,7138100.0
2019-08-13,7542200.0
2019-07-12,3844500.0
2019-06-10,6072200.0
2019-05-09,7325800.0
2018-07-25,7201100.0
2018-09-27,4633300.0
2018-10-29,6789800.0
2019-10-16,10098600.0
2019-12-16,9852900.0
2020-03-04,9350300.0
2020-05-22,14089900.0
2019-10-01,21011000.0
2019-12-19,3929800.0
2018-09-10,8239800.0
2019-05-24,5755600.0
2018-08-09,5577600.0
2019-04-22,5301500.0
2019-03-21,5577700.0
2019-01-16,7934700.0
2019-08-28,6141100.0
2018-11-13,4918900.0
2018-10-12,4443700.0
2019-06-25,5003500.0
2020-03-10,3948900.0
2020-05-28,3292400.0
2019-10-07,7846600.0
2020-03-13,4604400.0
2019-10-10,6021400.0
2020-03-16,6409300.0
2020-06-03,4663200.0
2018-11-28,3378000.0
2018-09-25,6438400.0
2018-07-23,4708000.0
2018-08-24,4711700.0
2019-07-10,4603600.0
2019-05-07,5614100.0
2019-04-05,5809200.0
2019-03-04,8579600.0
2019-01-31,5875600.0
2019-09-12,7062100.0
2019-12-31,5185600.0
2020-03-19,3914400.0
2020-01-03,4121900.0
2020-06-09,3836100.0
2019-02-15,4830800.0
2019-01-14,6210500.0
2018-07-06,4903400.0
2018-08-07,4180700.0
2018-10-10,7201100.0
2018-12-13,6778500.0
2019-08-26,4653100.0
2019-07-25,4167800.0
2019-05-22,3323200.0
2019-03-19,5480700.0
2020-01-06,5170400.0
2020-03-25,6029100.0
2020-06-12,6014400.0
2019-10-22,6068500.0
2020-01-09,9289400.0
2020-06-15,7573100.0
2019-10-25,8832400.0
2020-03-31,8028500.0
2020-06-18,5000500.0
2019-04-03,5676500.0
2018-08-22,3995400.0
2018-10-25,3735100.0
2019-01-29,4302200.0
2018-12-28,7845800.0
2018-11-26,6730500.0
2019-08-09,11346700.0
2019-07-08,7786900.0
2019-06-06,4984600.0
2019-09-10,5223300.0
2020-01-15,5060700.0
2020-04-03,5177100.0
2019-10-31,4920100.0
2020-04-06,4272100.0
2020-06-24,7653100.0
2018-11-09,8350000.0
2019-07-23,9343500.0
2019-06-21,9269200.0
2019-05-20,4134200.0
2019-04-18,5314900.0
2018-09-06,4111100.0
2018-10-08,4410800.0
2019-02-13,3554100.0
2018-12-11,2622500.0
2019-09-25,3333400.0
2020-01-21,3875500.0
2020-04-09,4353000.0
2019-11-06,3893500.0
2020-01-24,4256600.0
2020-01-27,3326200.0
2020-04-15,6153300.0
2018-12-26,5098600.0
2019-08-07,4845300.0
2019-06-04,7674700.0
2018-09-21,5803900.0
2018-07-19,10823400.0
2018-08-20,6113800.0
2018-10-23,12720700.0
2019-05-03,7534300.0
2019-04-01,7146200.0
2019-02-28,8430400.0
2019-11-12,9000200.0
2020-01-30,12445700.0
2019-11-15,6019400.0
2020-04-21,5597600.0
2019-04-16,6664300.0
2019-03-15,6849400.0
2019-02-11,7046100.0
2019-01-10,6037800.0
2019-08-22,6653400.0
2018-11-07,7310800.0
2018-08-03,6908800.0
2018-09-04,7848500.0
2019-06-19,5521000.0
2019-09-23,8771800.0
2019-11-18,7667300.0
2020-02-05,3985100.0
2020-04-24,5239600.0
2019-03-29,5563800.0
2019-11-21,7018800.0
2020-04-27,7267100.0
2020-02-11,9597200.0
2020-04-30,3810200.0
2019-05-01,3534500.0
2019-02-26,6020600.0
2019-01-25,3860100.0
2018-12-24,3035800.0
2019-09-06,3837500.0
2018-07-17,4251600.0
2018-09-19,4057100.0
2019-08-05,7217000.0
2019-10-08,6072100.0
2019-12-11,5048000.0
2019-11-27,3864200.0
2020-02-14,4843600.0
2020-05-06,4009800.0
2019-01-08,4797000.0
2018-12-07,6924600.0
2019-08-20,3894300.0
2018-11-05,5548100.0
2019-07-19,5265100.0
2018-10-04,3812200.0
2019-06-17,3363100.0
2019-05-16,3769400.0
2018-08-01,3433900.0
2019-03-13,3450400.0
2019-12-03,2863000.0
2020-02-20,3370400.0
2019-12-06,6047500.0
2020-05-12,11336300.0
2019-12-09,4949000.0
2020-02-26,3367400.0
2020-05-15,5520900.0
2019-03-28,2965600.0
2018-09-17,2357900.0
2018-08-16,2750600.0
2018-10-19,3677800.0
2019-04-29,3365700.0
2019-01-23,3871200.0
2019-09-04,12159300.0
2018-11-20,5299500.0
2019-07-02,5935300.0
2019-05-31,4466700.0
2019-12-12,12373600.0
2020-05-18,9128000.0
2019-09-27,5104400.0
2020-03-03,3548200.0
2020-05-21,4513100.0
2019-05-14,3489800.0
2018-08-31,6614400.0
2018-07-30,5641100.0
2018-10-02,5172500.0
2019-04-12,4586600.0
2019-03-11,6022700.0
2019-02-07,3385700.0
2019-07-17,3598300.0
2019-09-19,3937600.0
2019-10-21,2276100.0
2019-12-18,5481900.0
2020-03-06,5050200.0
2019-10-03,4897500.0
