Dates,MSI
2018-06-20,116.68000030517578
2018-06-21,117.62000274658203
2018-06-25,118.37000274658203
2018-06-22,117.87999725341797
2018-06-26,116.4000015258789
2018-06-27,116.02999877929688
2018-06-28,117.36000061035156
2018-06-29,117.8499984741211
2018-07-02,116.55000305175781
2018-07-03,117.66999816894531
2018-07-05,117.6500015258789
2018-07-16,118.77999877929688
2018-09-18,118.77999877929688
2019-01-24,119.6500015258789
2019-09-05,121.30000305175781
2018-11-21,120.94000244140625
2020-01-13,121.69000244140625
2020-04-01,121.4800033569336
2020-06-19,122.56999969482422
2019-10-29,123.30999755859375
2020-01-16,123.01000213623047
2020-06-22,122.41000366210938
2018-10-03,122.05999755859375
2018-07-31,122.37999725341797
2019-03-12,124.13999938964844
2019-02-08,125.30999755859375
2019-01-07,125.0199966430664
2018-12-06,123.45999908447266
2019-08-19,121.66999816894531
2019-07-18,122.16000366210938
2019-05-15,121.94999694824219
2019-09-20,119.88999938964844
2019-11-01,119.47000122070312
2020-04-07,121.54000091552734
2020-06-25,121.58000183105469
2020-06-16,121.94000244140625
2019-11-04,122.02999877929688
2020-01-22,122.58000183105469
2019-11-07,121.72000122070312
2020-04-13,121.0999984741211
2019-07-01,121.7699966430664
2019-05-30,123.68000030517578
2018-08-15,125.68000030517578
2018-10-18,125.77999877929688
2019-03-27,124.76000213623047
2019-01-22,125.26000213623047
2018-12-21,126.98999786376953
2019-09-03,127.55999755859375
2018-11-19,128.47999572753906
2019-08-02,128.85000610351562
2020-01-28,129.1999969482422
2020-04-16,128.55999755859375
2019-11-13,128.19000244140625
2020-01-31,128.25
2018-12-04,128.3800048828125
2018-11-02,127.9800033569336
2019-07-16,127.69000244140625
2018-08-30,127.86000061035156
2018-10-01,127.33000183105469
2019-06-14,126.8499984741211
2019-05-13,127.61000061035156
2019-04-11,127.12000274658203
2019-02-06,128.38999938964844
2019-09-18,126.77999877929688
2020-02-03,126.12999725341797
2020-04-22,128.58999633789062
