Dates,MSI
2018-06-20,115.2699966430664
2018-06-21,116.0199966430664
2018-06-25,117.11000061035156
2018-06-22,115.41000366210938
2018-06-26,115.44000244140625
2018-06-27,114.93000030517578
2018-06-28,114.86000061035156
2018-06-29,116.27999877929688
2018-07-02,114.94999694824219
2018-07-03,115.75
2018-07-05,115.91999816894531
2018-07-16,117.13999938964844
2018-09-18,117.11000061035156
2019-01-24,118.19000244140625
2019-09-05,118.41000366210938
2018-11-21,120.3499984741211
2020-01-13,120.12999725341797
2020-04-01,120.41999816894531
2020-06-19,120.81999969482422
2019-10-29,121.45999908447266
2020-01-16,121.98999786376953
2020-06-22,121.37000274658203
2018-10-03,121.12000274658203
2018-07-31,120.75
2019-03-12,121.18000030517578
2019-02-08,123.80000305175781
2019-01-07,123.18000030517578
2018-12-06,120.1500015258789
2019-08-19,120.30999755859375
2019-07-18,120.04000091552734
2019-05-15,120.12999725341797
2019-09-20,116.0
2019-11-01,117.3499984741211
2020-04-07,119.76000213623047
2020-06-25,119.37999725341797
2020-06-16,119.23999786376953
2019-11-04,120.79000091552734
2020-01-22,120.66999816894531
2019-11-07,120.62999725341797
2020-04-13,119.29000091552734
2019-07-01,120.83999633789062
2019-05-30,121.01000213623047
2018-08-15,124.0999984741211
2018-10-18,124.31999969482422
2019-03-27,123.91999816894531
2019-01-22,124.41000366210938
2018-12-21,125.0199966430664
2019-09-03,126.11000061035156
2018-11-19,127.36000061035156
2019-08-02,127.62000274658203
2020-01-28,127.1500015258789
2020-04-16,126.76000213623047
2019-11-13,126.72000122070312
2020-01-31,126.72000122070312
2018-12-04,126.77999877929688
2018-11-02,126.5
2019-07-16,126.69000244140625
2018-08-30,126.79000091552734
2018-10-01,125.30999755859375
2019-06-14,125.80000305175781
2019-05-13,126.1500015258789
2019-04-11,125.66999816894531
2019-02-06,126.12999725341797
2019-09-18,123.91999816894531
2020-02-03,124.27999877929688
2020-04-22,125.98999786376953
2019-11-19,126.68000030517578
2020-02-06,128.9499969482422
2019-11-22,128.52000427246094
2019-03-25,128.41000366210938
2019-02-21,128.1199951171875
2018-12-19,127.7699966430664
2018-07-12,126.0
2018-09-14,126.70999908447266
2018-08-13,125.02999877929688
2018-10-16,124.7699966430664
2019-07-31,122.73999786376953
2019-05-28,122.91000366210938
2019-04-26,120.58000183105469
2020-04-28,117.79000091552734
2019-11-25,118.70999908447266
2020-02-12,118.63999938964844
2020-05-01,120.22000122070312
2020-05-04,122.01000213623047
2019-06-12,122.8499984741211
2019-04-09,123.19999694824219
2019-03-08,121.83000183105469
2019-02-04,120.2300033569336
2018-07-27,119.45999908447266
2018-08-28,119.97000122070312
2019-01-03,118.43000030517578
2019-08-15,115.62000274658203
2018-10-31,115.91999816894531
2019-09-16,120.1500015258789
2020-02-18,121.37000274658203
2020-05-07,123.93000030517578
2018-08-17,121.16999816894531
2019-12-04,123.19000244140625
2020-02-21,125.94999694824219
2018-12-17,127.37999725341797
2019-08-30,127.98999786376953
2018-11-15,126.51000213623047
2019-07-29,126.73999786376953
2019-06-27,125.2300033569336
2019-04-24,127.3499984741211
2018-07-10,128.3000030517578
2018-09-12,126.05999755859375
2019-02-19,123.25
2019-01-18,123.16999816894531
2020-02-24,122.97000122070312
2020-05-13,125.05999755859375
2019-12-10,126.69000244140625
2020-02-27,129.00999450683594
2019-12-13,131.27999877929688
2020-05-19,130.44000244140625
2019-03-06,131.9600067138672
2018-11-30,129.85000610351562
2019-08-13,125.44000244140625
2019-07-12,126.3499984741211
2019-06-10,125.66000366210938
2019-05-09,129.27000427246094
2018-07-25,130.1999969482422
2018-09-27,127.6500015258789
2018-10-29,125.38999938964844
2019-10-16,122.7300033569336
2019-12-16,120.41000366210938
2020-03-04,118.5999984741211
2020-05-22,113.7699966430664
2019-10-01,111.72000122070312
2019-12-19,108.97000122070312
2018-09-10,108.25
2019-05-24,108.43000030517578
2018-08-09,111.18000030517578
2019-04-22,112.62999725341797
2019-03-21,113.62999725341797
2019-01-16,110.61000061035156
2019-08-28,112.05999755859375
2018-11-13,114.66000366210938
2018-10-12,116.2699966430664
2019-06-25,116.12000274658203
2020-03-10,114.95999908447266
2020-05-28,115.91999816894531
2019-10-07,114.91999816894531
2020-03-13,114.44000244140625
2019-10-10,114.5
2020-03-16,113.25
2020-06-03,114.0999984741211
2018-11-28,113.91999816894531
2018-09-25,113.91000366210938
2018-07-23,113.7300033569336
2018-08-24,115.5
2019-07-10,113.69999694824219
2019-05-07,114.54000091552734
2019-04-05,115.54000091552734
2019-03-04,116.44999694824219
2019-01-31,116.86000061035156
2019-09-12,117.87000274658203
2019-12-31,118.86000061035156
2020-03-19,119.26000213623047
2020-01-03,117.79000091552734
2020-06-09,128.8000030517578
2019-02-15,134.0399932861328
2019-01-14,134.2899932861328
2018-07-06,136.3699951171875
2018-08-07,136.49000549316406
2018-10-10,137.5399932861328
2018-12-13,137.94000244140625
2019-08-26,138.52999877929688
2019-07-25,138.11000061035156
2019-05-22,138.58999633789062
2019-03-19,140.0500030517578
2020-01-06,141.1699981689453
2020-03-25,141.3800048828125
2020-06-12,142.72000122070312
2019-10-22,143.02999877929688
2020-01-09,141.0399932861328
2020-06-15,141.0500030517578
2019-10-25,139.83999633789062
2020-03-31,138.69000244140625
2020-06-18,135.97000122070312
2019-04-03,138.24000549316406
2018-08-22,140.0399932861328
