Dates,URI
2018-06-20,897900.0
2018-06-21,2113300.0
2018-06-25,2398700.0
2018-06-22,2172300.0
2018-06-26,1626200.0
2018-06-27,1544300.0
2018-06-28,1093100.0
2018-06-29,1530000.0
2018-07-02,1096400.0
2018-07-03,644000.0
2018-07-05,1365100.0
2018-07-16,1047200.0
2018-09-18,1153500.0
2019-01-24,1743500.0
2019-09-05,1038000.0
2018-11-21,1074300.0
2020-01-13,1115400.0
2020-04-01,1429900.0
2020-06-19,1262400.0
2019-10-29,2483500.0
2020-01-16,3005100.0
2020-06-22,1808500.0
2018-10-03,1751000.0
2018-07-31,1477000.0
2019-03-12,1634500.0
2019-02-08,1394400.0
2019-01-07,1075700.0
2018-12-06,1065600.0
2019-08-19,1504800.0
2019-07-18,1288600.0
2019-05-15,890300.0
2019-09-20,817900.0
2019-11-01,1034300.0
2020-04-07,1344900.0
2020-06-25,758300.0
2020-06-16,549100.0
2019-11-04,703400.0
2020-01-22,786100.0
2019-11-07,987600.0
2020-04-13,1351600.0
2019-07-01,649100.0
2019-05-30,620300.0
2018-08-15,1066900.0
2018-10-18,1271100.0
2019-03-27,781100.0
2019-01-22,505300.0
2018-12-21,533200.0
2019-09-03,1095300.0
2018-11-19,746300.0
2019-08-02,637500.0
2020-01-28,807400.0
2020-04-16,826100.0
2019-11-13,1119000.0
2020-01-31,1088400.0
2018-12-04,1341300.0
2018-11-02,938700.0
2019-07-16,1928200.0
2018-08-30,2860700.0
2018-10-01,1881700.0
2019-06-14,1220100.0
2019-05-13,1070600.0
2019-04-11,1327100.0
2019-02-06,1020900.0
2019-09-18,1091000.0
2020-02-03,1523900.0
2020-04-22,1575000.0
2019-11-19,780000.0
2020-02-06,698800.0
2019-11-22,810700.0
2019-03-25,588100.0
2019-02-21,1472400.0
2018-12-19,1444000.0
2018-07-12,1078300.0
2018-09-14,1178500.0
2018-08-13,910100.0
2018-10-16,1370500.0
2019-07-31,1382600.0
2019-05-28,1177600.0
2019-04-26,2359800.0
2020-04-28,1971700.0
2019-11-25,2478700.0
2020-02-12,1558900.0
2020-05-01,1792300.0
2020-05-04,2601700.0
2019-06-12,9440700.0
2019-04-09,4771800.0
2019-03-08,3394200.0
2019-02-04,3645700.0
2018-07-27,3411600.0
2018-08-28,2323200.0
2019-01-03,2312800.0
2019-08-15,2136800.0
2018-10-31,2622600.0
2019-09-16,4268200.0
2020-02-18,3101100.0
2020-05-07,2470800.0
2018-08-17,1519700.0
2019-12-04,1751200.0
2020-02-21,2878100.0
2018-12-17,2085800.0
2019-08-30,2131800.0
2018-11-15,2027700.0
2019-07-29,1946900.0
2019-06-27,1660900.0
2019-04-24,2120800.0
2018-07-10,2379000.0
2018-09-12,1974200.0
2019-02-19,2356100.0
2019-01-18,1575100.0
2020-02-24,699200.0
2020-05-13,1341200.0
2019-12-10,1615400.0
2020-02-27,1662500.0
2019-12-13,1082100.0
2020-05-19,1477300.0
2019-03-06,1612800.0
2018-11-30,3214400.0
2019-08-13,2415800.0
2019-07-12,2570000.0
2019-06-10,1975700.0
2019-05-09,1606200.0
2018-07-25,3437900.0
2018-09-27,2203700.0
2018-10-29,1833800.0
2019-10-16,1569200.0
2019-12-16,1710400.0
2020-03-04,2404200.0
2020-05-22,2518600.0
2019-10-01,2378800.0
2019-12-19,1007900.0
2018-09-10,1553700.0
2019-05-24,1448300.0
2018-08-09,1832300.0
2019-04-22,1743500.0
2019-03-21,1729600.0
2019-01-16,1771300.0
2019-08-28,2396900.0
2018-11-13,2153200.0
2018-10-12,2046600.0
2019-06-25,1641100.0
2020-03-10,1576400.0
2020-05-28,1355300.0
2019-10-07,1202000.0
2020-03-13,1086500.0
2019-10-10,1203000.0
2020-03-16,1742600.0
2020-06-03,2275400.0
2018-11-28,2388700.0
2018-09-25,3024300.0
2018-07-23,4040600.0
2018-08-24,3089100.0
2019-07-10,1710400.0
2019-05-07,1335400.0
2019-04-05,2009500.0
2019-03-04,1497600.0
2019-01-31,1750500.0
2019-09-12,1389700.0
2019-12-31,1258800.0
2020-03-19,934700.0
2020-01-03,1401700.0
2020-06-09,1137700.0
2019-02-15,946300.0
2019-01-14,1333000.0
2018-07-06,1148900.0
2018-08-07,1178100.0
2018-10-10,1630500.0
2018-12-13,1710100.0
2019-08-26,1254400.0
2019-07-25,1186000.0
2019-05-22,1118300.0
2019-03-19,1328400.0
2020-01-06,1297200.0
2020-03-25,916600.0
2020-06-12,995400.0
2019-10-22,1108300.0
2020-01-09,1470400.0
2020-06-15,1715600.0
2019-10-25,1170700.0
2020-03-31,1934400.0
2020-06-18,1491700.0
2019-04-03,1213800.0
2018-08-22,1553400.0
2018-10-25,1011600.0
2019-01-29,1013700.0
2018-12-28,1919900.0
2018-11-26,1208100.0
2019-08-09,1385400.0
2019-07-08,3348200.0
2019-06-06,1401000.0
2019-09-10,2664000.0
2020-01-15,1642800.0
2020-04-03,1405600.0
2019-10-31,1342100.0
2020-04-06,1219600.0
2020-06-24,1355100.0
2018-11-09,2036900.0
2019-07-23,1147300.0
2019-06-21,1501400.0
2019-05-20,1267400.0
2019-04-18,1308100.0
2018-09-06,826200.0
2018-10-08,1522900.0
2019-02-13,897200.0
2018-12-11,2156400.0
2019-09-25,1426500.0
2020-01-21,2411000.0
2020-04-09,1323600.0
2019-11-06,2116100.0
2020-01-24,4772800.0
2020-01-27,1644000.0
2020-04-15,1587200.0
2018-12-26,1300700.0
2019-08-07,1047200.0
2019-06-04,1129900.0
2018-09-21,845100.0
2018-07-19,1193900.0
2018-08-20,1221300.0
2018-10-23,1725100.0
2019-05-03,1015300.0
2019-04-01,1403900.0
2019-02-28,1238000.0
2019-11-12,839300.0
2020-01-30,1242200.0
2019-11-15,1104700.0
2020-04-21,1489000.0
2019-04-16,1079300.0
2019-03-15,1065900.0
2019-02-11,900600.0
2019-01-10,912300.0
2019-08-22,1522000.0
2018-11-07,1126200.0
2018-08-03,1375000.0
2018-09-04,1309500.0
2019-06-19,623300.0
2019-09-23,1212300.0
2019-11-18,1327800.0
2020-02-05,1368000.0
2020-04-24,1615300.0
2019-03-29,1984400.0
2019-11-21,1822100.0
2020-04-27,1133400.0
2020-02-11,818200.0
2020-04-30,1277600.0
2019-05-01,1032900.0
2019-02-26,997100.0
2019-01-25,739300.0
2018-12-24,689500.0
2019-09-06,684400.0
2018-07-17,1036400.0
2018-09-19,1760200.0
2019-08-05,1074200.0
2019-10-08,1345800.0
2019-12-11,1056100.0
2019-11-27,1128600.0
2020-02-14,744400.0
2020-05-06,1144300.0
2019-01-08,604900.0
2018-12-07,1875700.0
2019-08-20,1280100.0
2018-11-05,692500.0
2019-07-19,454900.0
2018-10-04,644400.0
2019-06-17,681500.0
2019-05-16,734200.0
2018-08-01,960000.0
2019-03-13,823200.0
2019-12-03,1118300.0
2020-02-20,810000.0
2019-12-06,1519500.0
2020-05-12,2476500.0
2019-12-09,5509500.0
2020-02-26,3148900.0
2020-05-15,2424900.0
2019-03-28,2062500.0
2018-09-17,1867400.0
2018-08-16,1221900.0
2018-10-19,1302600.0
2019-04-29,1174700.0
2019-01-23,1087000.0
2019-09-04,1270900.0
2018-11-20,1609100.0
2019-07-02,1611600.0
2019-05-31,1858400.0
2019-12-12,1221200.0
2020-05-18,1314400.0
2019-09-27,1330900.0
2020-03-03,1231400.0
2020-05-21,1092200.0
2019-05-14,1391800.0
2018-08-31,2139100.0
2018-07-30,1728000.0
2018-10-02,1553100.0
2019-04-12,1205600.0
2019-03-11,738200.0
2019-02-07,828100.0
2019-07-17,960700.0
2019-09-19,1466700.0
2019-10-21,1187000.0
2019-12-18,1159700.0
2020-03-06,1068000.0
2019-10-03,1315700.0
2020-03-09,1221300.0
2020-05-27,1338900.0
2019-12-24,1270400.0
2020-03-12,1541800.0
2018-12-20,861300.0
2019-08-01,1625200.0
2018-08-14,1325300.0
2018-07-13,1725200.0
2018-10-17,1503500.0
2019-05-29,1879500.0
2019-03-26,1143600.0
2019-02-22,1116300.0
2019-10-04,1999800.0
2019-11-05,1291800.0
2019-12-27,2224800.0
2020-06-02,1323300.0
2019-12-30,1475600.0
2020-03-18,1124900.0
2020-06-05,835200.0
2019-07-15,1387900.0
2018-12-03,1220000.0
2019-06-13,1537900.0
2019-01-04,1732800.0
2018-08-29,1626800.0
2019-02-05,1231900.0
2018-11-01,1137500.0
2019-08-16,2316300.0
2019-04-10,1398500.0
2019-09-17,952900.0
2019-10-15,1586500.0
2020-01-02,939000.0
2020-06-08,1250300.0
2019-10-18,2142200.0
2020-03-24,6025500.0
2020-06-11,2138400.0
2020-01-08,1637900.0
2019-04-25,1780600.0
2019-07-30,1474400.0
2019-02-20,1038200.0
2018-07-11,1242900.0
2018-09-13,1121700.0
2018-10-15,1104300.0
2019-06-28,1287700.0
2018-12-18,1361200.0
2018-11-16,2098700.0
2019-10-02,2590400.0
2020-03-27,2096100.0
2020-01-10,1273400.0
2019-10-24,1826700.0
2020-03-30,1644500.0
2020-06-17,1173200.0
2020-01-14,1542600.0
2020-04-02,1515900.0
2019-01-02,863900.0
2019-08-14,969300.0
2018-10-30,1051200.0
2019-06-11,742700.0
2019-05-10,1780600.0
2019-04-08,1374400.0
2018-08-27,1053700.0
2018-07-26,1146800.0
2018-09-28,880300.0
2019-03-07,528300.0
2019-10-30,420400.0
2020-01-17,975800.0
2020-06-23,1200600.0
2020-04-08,912600.0
2020-06-26,768500.0
2019-03-22,1368500.0
2019-01-17,720100.0
2019-08-29,864700.0
2018-11-14,878000.0
2019-06-26,1437300.0
2018-09-11,933700.0
2018-07-09,1130200.0
2018-08-10,923300.0
2019-04-23,806000.0
2019-09-30,942000.0
2020-01-23,1534700.0
2019-11-08,848300.0
2020-04-14,217000.0
2019-11-11,476400.0
2020-01-29,570800.0
2020-04-17,400000.0
2018-07-24,617500.0
2018-09-26,861200.0
2019-05-08,1089000.0
2019-03-05,707500.0
2019-02-01,525200.0
2018-12-31,688700.0
2018-11-29,923200.0
2019-08-12,993400.0
2019-07-11,1537700.0
2019-09-13,1419800.0
2019-11-14,924700.0
2020-04-20,891800.0
2020-02-04,1119300.0
2020-04-23,1146400.0
2018-12-14,742200.0
2019-08-27,1107200.0
2018-08-08,1232300.0
2018-10-11,1521400.0
2018-11-12,872400.0
2019-07-26,1298100.0
2019-06-24,2641700.0
2019-05-23,2159300.0
2019-03-20,1731600.0
2019-01-15,1548000.0
2019-11-20,1329100.0
2020-02-07,770900.0
2020-02-10,820000.0
2020-04-29,537500.0
2019-11-26,1061200.0
2020-02-13,1093700.0
2019-01-30,847400.0
2018-08-23,601800.0
2018-09-24,847900.0
2018-11-27,619500.0
2018-10-26,821800.0
2019-07-09,973000.0
2019-06-07,1431300.0
2019-05-06,1736900.0
2019-04-04,1450000.0
2019-09-11,1918300.0
2019-11-29,2541400.0
2020-05-05,1979100.0
2019-12-02,1508500.0
2020-02-19,1566600.0
2020-05-08,1923300.0
2019-05-21,2691400.0
2019-03-18,3339800.0
2018-09-07,2642200.0
2018-08-06,2691200.0
2018-10-09,3399200.0
2019-02-14,2487300.0
2018-12-12,2732400.0
2019-07-24,2620100.0
2019-09-26,3458200.0
2019-10-28,2863700.0
2019-12-05,2519700.0
2020-05-11,2183200.0
2019-07-03,2780300.0
2020-02-25,2442700.0
2020-05-14,2516100.0
2020-02-28,2617400.0
2019-08-08,2248800.0
2019-06-05,3265600.0
2018-07-20,2112000.0
2018-08-21,2132800.0
2018-10-24,2359000.0
2019-04-02,2261300.0
2019-03-01,2471500.0
2019-01-28,1520300.0
2018-12-27,2607900.0
2019-09-09,1531100.0
2020-03-02,1340200.0
2020-05-20,1652500.0
2019-12-17,2726000.0
2020-03-05,2060800.0
2019-02-12,1951300.0
2019-01-11,1228800.0
2018-12-10,1170900.0
2019-08-23,1417000.0
2018-11-08,960100.0
2019-07-22,1483500.0
2019-06-20,2028500.0
2018-09-05,2312800.0
2019-04-17,2690600.0
2019-09-24,1934800.0
2019-12-20,1291000.0
2020-05-26,1189500.0
2019-04-30,878900.0
2019-12-23,1039200.0
2020-03-11,900600.0
2020-05-29,900500.0
2019-12-26,997500.0
2020-06-01,1166200.0
2019-05-02,1728200.0
2019-02-27,1468800.0
2018-11-23,2404100.0
2019-08-06,1151300.0
2018-07-18,1217300.0
2018-09-20,672500.0
2018-10-22,914600.0
2019-07-05,1634400.0
2019-06-03,2192700.0
2019-10-09,1330000.0
2019-10-11,1564400.0
2020-03-17,763600.0
2020-06-04,1062200.0
2019-10-14,1228100.0
2020-03-20,1509300.0
2018-11-06,3124100.0
2019-06-18,1931400.0
2019-05-17,1435500.0
2019-04-15,1502700.0
2019-03-14,2002100.0
2019-01-09,1315400.0
2018-08-02,1110200.0
2018-10-05,2592100.0
2019-08-21,1251100.0
2019-10-17,1407800.0
2020-03-23,1981400.0
2020-06-10,1235800.0
2019-02-25,1146600.0
2020-01-07,2151600.0
2020-03-26,1348000.0
2019-10-23,2392500.0
