Dates,URI
2018-06-20,160.25999450683594
2018-06-21,160.39999389648438
2018-06-25,157.9499969482422
2018-06-22,153.5
2018-06-26,149.11000061035156
2018-06-27,148.58999633789062
2018-06-28,146.2899932861328
2018-06-29,148.39999389648438
2018-07-02,144.63999938964844
2018-07-03,146.13999938964844
2018-07-05,146.5500030517578
2018-07-16,148.66000366210938
2018-09-18,150.67999267578125
2019-01-24,158.38999938964844
2019-09-05,151.74000549316406
2018-11-21,153.47999572753906
2020-01-13,154.1999969482422
2020-04-01,154.3300018310547
2020-06-19,150.75999450683594
2019-10-29,153.61000061035156
2020-01-16,150.07000732421875
2020-06-22,155.47000122070312
2018-10-03,150.99000549316406
2018-07-31,150.82000732421875
2019-03-12,146.9499969482422
2019-02-08,146.22999572753906
2019-01-07,151.75999450683594
2018-12-06,148.0
2019-08-19,146.1999969482422
2019-07-18,148.74000549316406
2019-05-15,145.47000122070312
2019-09-20,147.89999389648438
2019-11-01,148.1999969482422
2020-04-07,152.07000732421875
2020-06-25,153.44000244140625
2020-06-16,152.0399932861328
2019-11-04,149.25999450683594
2020-01-22,148.6199951171875
2019-11-07,148.6199951171875
2020-04-13,149.47000122070312
2019-07-01,148.38999938964844
2019-05-30,149.0
2018-08-15,150.64999389648438
2018-10-18,154.9499969482422
2019-03-27,157.36000061035156
2019-01-22,156.63999938964844
2018-12-21,155.1699981689453
2019-09-03,157.3000030517578
2018-11-19,160.0
2019-08-02,158.7899932861328
2020-01-28,159.32000732421875
2020-04-16,156.02999877929688
2019-11-13,155.8699951171875
2020-01-31,157.16000366210938
2018-12-04,157.32000732421875
2018-11-02,152.6300048828125
2019-07-16,154.99000549316406
2018-08-30,159.52000427246094
2018-10-01,169.22999572753906
2019-06-14,167.94000244140625
2019-05-13,167.08999633789062
2019-04-11,169.25999450683594
2019-02-06,165.17999267578125
2019-09-18,167.5
2020-02-03,170.4600067138672
2020-04-22,172.1199951171875
2019-11-19,168.5
2020-02-06,168.42999267578125
2019-11-22,168.57000732421875
2019-03-25,169.27999877929688
2019-02-21,168.2100067138672
2018-12-19,164.27999877929688
2018-07-12,162.0
2018-09-14,161.5
2018-08-13,165.16000366210938
2018-10-16,162.41000366210938
2019-07-31,157.94000244140625
2019-05-28,155.44000244140625
2019-04-26,152.30999755859375
2020-04-28,144.02000427246094
2019-11-25,144.80999755859375
2020-02-12,137.5
2020-05-01,138.2100067138672
2020-05-04,141.8300018310547
2019-06-12,132.3000030517578
2019-04-09,118.7699966430664
2019-03-08,118.31999969482422
2019-02-04,110.38999938964844
2018-07-27,114.9800033569336
2018-08-28,109.54000091552734
2019-01-03,109.0
2019-08-15,110.95999908447266
2018-10-31,108.30000305175781
2019-09-16,119.29000091552734
2020-02-18,122.33999633789062
2020-05-07,126.62000274658203
2018-08-17,125.86000061035156
2019-12-04,126.1500015258789
2020-02-21,132.86000061035156
2018-12-17,132.25
2019-08-30,124.87000274658203
2018-11-15,126.79000091552734
2019-07-29,121.22000122070312
2019-06-27,121.63999938964844
2019-04-24,118.97000122070312
2018-07-10,117.5
2018-09-12,114.30000305175781
2019-02-19,109.31999969482422
2019-01-18,111.6500015258789
2020-02-24,110.54000091552734
2020-05-13,111.30000305175781
2019-12-10,113.87999725341797
2020-02-27,113.31999969482422
2019-12-13,116.23999786376953
2020-05-19,115.33000183105469
2019-03-06,121.5
2018-11-30,118.20999908447266
2019-08-13,103.44000244140625
2019-07-12,106.08999633789062
