Dates,MCHP
2018-06-20,101.2300033569336
2018-06-21,101.69000244140625
2018-06-25,98.9800033569336
2018-06-22,96.01000213623047
2018-06-26,93.76000213623047
2018-06-27,93.31999969482422
2018-06-28,89.93000030517578
2018-06-29,90.7300033569336
2018-07-02,90.22000122070312
2018-07-03,91.81999969482422
2018-07-05,91.2300033569336
2018-07-16,91.69000244140625
2018-09-18,93.75
2019-01-24,93.76000213623047
2019-09-05,93.4000015258789
2018-11-21,92.7699966430664
2020-01-13,94.33999633789062
2020-04-01,94.0
2020-06-19,93.26000213623047
2019-10-29,94.72000122070312
2020-01-16,95.63999938964844
2020-06-22,94.81999969482422
2018-10-03,93.88999938964844
2018-07-31,94.87000274658203
2019-03-12,92.93000030517578
2019-02-08,93.62000274658203
2019-01-07,95.58999633789062
2018-12-06,95.36000061035156
2019-08-19,93.88999938964844
2019-07-18,93.4000015258789
2019-05-15,92.69999694824219
2019-09-20,94.58000183105469
2019-11-01,94.70999908447266
2020-04-07,96.05999755859375
2020-06-25,97.38999938964844
2020-06-16,96.94999694824219
2019-11-04,88.4000015258789
2020-01-22,87.68000030517578
2019-11-07,87.0199966430664
2020-04-13,83.9000015258789
2019-07-01,83.11000061035156
2019-05-30,81.5
2018-08-15,82.87000274658203
2018-10-18,83.12000274658203
2019-03-27,84.2300033569336
2019-01-22,85.51000213623047
2018-12-21,86.41999816894531
2019-09-03,87.51000213623047
2018-11-19,89.0
2019-08-02,86.94999694824219
2020-01-28,86.41999816894531
2020-04-16,85.66999816894531
2019-11-13,85.16000366210938
2020-01-31,85.83999633789062
2018-12-04,84.75
2018-11-02,83.5999984741211
2019-07-16,83.66999816894531
2018-08-30,83.55000305175781
2018-10-01,82.05999755859375
2019-06-14,84.25
2019-05-13,84.29000091552734
2019-04-11,82.44999694824219
2019-02-06,81.02999877929688
2019-09-18,80.77999877929688
2020-02-03,82.30000305175781
2020-04-22,83.62000274658203
2019-11-19,81.87000274658203
2020-02-06,80.72000122070312
2019-11-22,78.63999938964844
2019-03-25,78.76000213623047
2019-02-21,78.41999816894531
2018-12-19,79.30000305175781
2018-07-12,77.80000305175781
2018-09-14,77.47000122070312
2018-08-13,75.05999755859375
