Dates,MCHP
2018-06-20,1353200.0
2018-06-21,1466600.0
2018-06-25,2845600.0
2018-06-22,3194600.0
2018-06-26,1768200.0
2018-06-27,2809800.0
2018-06-28,2581700.0
2018-06-29,3176000.0
2018-07-02,1632200.0
2018-07-03,1060000.0
2018-07-05,1720800.0
2018-07-16,1672000.0
2018-09-18,1463200.0
2019-01-24,1557500.0
2019-09-05,2245400.0
2018-11-21,2196100.0
2020-01-13,1484000.0
2020-04-01,1080500.0
2020-06-19,1492900.0
2019-10-29,1110200.0
2020-01-16,1136100.0
2020-06-22,1381100.0
2018-10-03,1109500.0
2018-07-31,1449900.0
2019-03-12,2818800.0
2019-02-08,2168900.0
2019-01-07,2362000.0
2018-12-06,2006400.0
2019-08-19,1759400.0
2019-07-18,1361900.0
2019-05-15,1238400.0
2019-09-20,1691200.0
2019-11-01,4056400.0
2020-04-07,2764800.0
2020-06-25,1850400.0
2020-06-16,3125700.0
2019-11-04,19239500.0
2020-01-22,5410600.0
2019-11-07,7235600.0
2020-04-13,4884700.0
2019-07-01,3834400.0
2019-05-30,4563800.0
2018-08-15,4489400.0
2018-10-18,5062800.0
2019-03-27,2730600.0
2019-01-22,2941100.0
2018-12-21,2489800.0
2019-09-03,2762700.0
2018-11-19,2871300.0
2019-08-02,2779000.0
2020-01-28,2890700.0
2020-04-16,2248400.0
2019-11-13,2157000.0
2020-01-31,2332600.0
2018-12-04,4225300.0
2018-11-02,3504300.0
2019-07-16,1833000.0
2018-08-30,3681900.0
2018-10-01,5397100.0
2019-06-14,3593700.0
2019-05-13,3113200.0
2019-04-11,3746300.0
2019-02-06,2802700.0
2019-09-18,2316000.0
2020-02-03,2726700.0
2020-04-22,4101300.0
2019-11-19,1745400.0
2020-02-06,5068700.0
2019-11-22,3671900.0
2019-03-25,2509000.0
2019-02-21,4881300.0
2018-12-19,5160400.0
2018-07-12,4176500.0
2018-09-14,5193500.0
2018-08-13,9514600.0
2018-10-16,6119000.0
2019-07-31,4845100.0
2019-05-28,6901800.0
2019-04-26,9724900.0
2020-04-28,7741500.0
2019-11-25,5408500.0
2020-02-12,4233600.0
2020-05-01,3127400.0
2020-05-04,3295100.0
2019-06-12,4272300.0
2019-04-09,3224800.0
2019-03-08,2942800.0
2019-02-04,5205000.0
2018-07-27,6850600.0
2018-08-28,8503600.0
2019-01-03,8242900.0
2019-08-15,3741200.0
2018-10-31,3277000.0
2019-09-16,4967900.0
2020-02-18,5573300.0
2020-05-07,3506200.0
2018-08-17,2993000.0
2019-12-04,2144500.0
2020-02-21,3336700.0
2018-12-17,7236600.0
2019-08-30,4358400.0
2018-11-15,2827900.0
2019-07-29,3782300.0
2019-06-27,3589400.0
2019-04-24,4993500.0
2018-07-10,4741000.0
2018-09-12,2785300.0
2019-02-19,2976900.0
2019-01-18,2663700.0
2020-02-24,1560300.0
2020-05-13,2367000.0
2019-12-10,2768900.0
2020-02-27,5249400.0
2019-12-13,2739900.0
2020-05-19,2859300.0
2019-03-06,5014300.0
2018-11-30,3055000.0
2019-08-13,3233200.0
2019-07-12,2668000.0
2019-06-10,3287300.0
2019-05-09,2580700.0
2018-07-25,2228800.0
2018-09-27,2113400.0
2018-10-29,2842000.0
2019-10-16,2462100.0
2019-12-16,3361300.0
2020-03-04,3614700.0
2020-05-22,3350900.0
2019-10-01,5276500.0
2019-12-19,1551100.0
2018-09-10,3033000.0
2019-05-24,2309600.0
2018-08-09,1903900.0
2019-04-22,1574100.0
2019-03-21,2652500.0
2019-01-16,4786100.0
2019-08-28,3739700.0
2018-11-13,2890500.0
2018-10-12,4596800.0
2019-06-25,4419000.0
2020-03-10,2883800.0
2020-05-28,4549400.0
2019-10-07,3250300.0
2020-03-13,2370300.0
2019-10-10,2223900.0
2020-03-16,2178700.0
2020-06-03,2443300.0
2018-11-28,2337000.0
2018-09-25,2461300.0
2018-07-23,5049000.0
2018-08-24,2926800.0
2019-07-10,2645500.0
2019-05-07,2042900.0
2019-04-05,2771800.0
2019-03-04,2233900.0
2019-01-31,3447500.0
2019-09-12,2979800.0
2019-12-31,3418900.0
2020-03-19,10139100.0
2020-01-03,4714400.0
2020-06-09,2836600.0
2019-02-15,3008900.0
2019-01-14,4152400.0
2018-07-06,3280200.0
2018-08-07,4180300.0
2018-10-10,2285100.0
2018-12-13,1591000.0
2019-08-26,3153500.0
2019-07-25,2086000.0
2019-05-22,1603400.0
2019-03-19,2363200.0
2020-01-06,1722800.0
2020-03-25,3954000.0
2020-06-12,2855200.0
2019-10-22,2061900.0
2020-01-09,1638700.0
2020-06-15,1823000.0
2019-10-25,1813700.0
2020-03-31,2133700.0
2020-06-18,1802300.0
2019-04-03,1348800.0
2018-08-22,1115000.0
2018-10-25,2493100.0
2019-01-29,1997600.0
2018-12-28,3016200.0
2018-11-26,2291900.0
2019-08-09,1707200.0
2019-07-08,1607400.0
2019-06-06,1733200.0
2019-09-10,2017300.0
2020-01-15,1926300.0
2020-04-03,1301100.0
2019-10-31,3455800.0
2020-04-06,2993800.0
2020-06-24,2613200.0
2018-11-09,4111400.0
2019-07-23,4064900.0
2019-06-21,4248400.0
2019-05-20,3506600.0
2019-04-18,2874100.0
2018-09-06,2774200.0
2018-10-08,2481800.0
2019-02-13,2255700.0
2018-12-11,1885700.0
2019-09-25,2087600.0
2020-01-21,3185600.0
2020-04-09,4933200.0
2019-11-06,4527300.0
2020-01-24,2411800.0
2020-01-27,2524100.0
2020-04-15,2304300.0
2018-12-26,2262200.0
2019-08-07,2217600.0
2019-06-04,1478600.0
2018-09-21,1295000.0
2018-07-19,1967400.0
2018-08-20,2597000.0
2018-10-23,1963800.0
2019-05-03,1377200.0
2019-04-01,3766200.0
2019-02-28,5712400.0
2019-11-12,4226300.0
2020-01-30,4517600.0
2019-11-15,3322800.0
2020-04-21,4840100.0
2019-04-16,4228500.0
2019-03-15,3396100.0
2019-02-11,3138200.0
2019-01-10,2304600.0
2019-08-22,3849500.0
2018-11-07,2933300.0
2018-08-03,2739600.0
2018-09-04,2895200.0
2019-06-19,1785400.0
2019-09-23,3822400.0
2019-11-18,2951700.0
2020-02-05,3208000.0
2020-04-24,4089900.0
2019-03-29,2688900.0
2019-11-21,2465500.0
2020-04-27,1969900.0
2020-02-11,1943700.0
2020-04-30,1897400.0
2019-05-01,2310400.0
2019-02-26,2194500.0
2019-01-25,1437300.0
2018-12-24,2610500.0
2019-09-06,3423000.0
2018-07-17,1951000.0
2018-09-19,3060900.0
2019-08-05,1831100.0
2019-10-08,1612200.0
2019-12-11,3285200.0
2019-11-27,1817900.0
2020-02-14,2215200.0
2020-05-06,2484600.0
2019-01-08,2300900.0
2018-12-07,6180100.0
2019-08-20,4059300.0
2018-11-05,2158600.0
2019-07-19,933700.0
2018-10-04,1268200.0
2019-06-17,1357700.0
2019-05-16,1791300.0
2018-08-01,1380300.0
2019-03-13,1833400.0
2019-12-03,1582400.0
2020-02-20,1503500.0
2019-12-06,1608700.0
2020-05-12,1182300.0
2019-12-09,1437100.0
2020-02-26,1927900.0
2020-05-15,1526800.0
2019-03-28,1765700.0
2018-09-17,4066000.0
2018-08-16,1673700.0
2018-10-19,1169600.0
2019-04-29,1717600.0
2019-01-23,2105400.0
2019-09-04,2633000.0
2018-11-20,2624100.0
2019-07-02,3543100.0
2019-05-31,4464100.0
2019-12-12,4234900.0
2020-05-18,3983200.0
2019-09-27,2043700.0
2020-03-03,1878200.0
2020-05-21,1777400.0
2019-05-14,2795500.0
2018-08-31,2005700.0
2018-07-30,1256600.0
2018-10-02,1587000.0
2019-04-12,2889200.0
2019-03-11,2081100.0
2019-02-07,2058700.0
2019-07-17,1431000.0
2019-09-19,2643500.0
2019-10-21,3693100.0
2019-12-18,1846800.0
2020-03-06,1615100.0
2019-10-03,1347300.0
2020-03-09,1207900.0
2020-05-27,2112700.0
2019-12-24,7519600.0
2020-03-12,3807800.0
2018-12-20,3013800.0
2019-08-01,2806300.0
2018-08-14,1906800.0
2018-07-13,2751000.0
2018-10-17,2781700.0
2019-05-29,1535600.0
2019-03-26,1156600.0
2019-02-22,1279500.0
2019-10-04,1838800.0
2019-11-05,1300600.0
2019-12-27,2681300.0
2020-06-02,1528100.0
2019-12-30,1427300.0
2020-03-18,1737500.0
2020-06-05,2517700.0
2019-07-15,1506600.0
2018-12-03,1437600.0
2019-06-13,2681800.0
2019-01-04,1619600.0
2018-08-29,2302600.0
2019-02-05,1626400.0
2018-11-01,2232200.0
2019-08-16,2043400.0
2019-04-10,1473300.0
2019-09-17,1769200.0
2019-10-15,2883000.0
2020-01-02,1078000.0
2020-06-08,1613300.0
2019-10-18,1295200.0
2020-03-24,1064700.0
2020-06-11,1398400.0
2020-01-08,1465700.0
2019-04-25,1610000.0
2019-07-30,3296900.0
2019-02-20,1348900.0
2018-07-11,1644700.0
2018-09-13,1792800.0
2018-10-15,1544000.0
2019-06-28,1551100.0
2018-12-18,1306300.0
2018-11-16,1739300.0
2019-10-02,2790100.0
2020-03-27,3842400.0
2020-01-10,5649000.0
2019-10-24,4023300.0
2020-03-30,1777700.0
2020-06-17,2001900.0
2020-01-14,1901100.0
2020-04-02,1242100.0
2019-01-02,1337600.0
2019-08-14,1866200.0
2018-10-30,1561400.0
2019-06-11,2370300.0
2019-05-10,1914800.0
2019-04-08,1615000.0
2018-08-27,1203900.0
2018-07-26,1989700.0
2018-09-28,3520500.0
2019-03-07,1611000.0
2019-10-30,732700.0
2020-01-17,2363300.0
2020-06-23,2518300.0
2020-04-08,4321400.0
2020-06-26,1851300.0
2019-03-22,1605100.0
2019-01-17,1787600.0
2019-08-29,1459200.0
