Dates,MCHP
2018-06-20,100.3499984741211
2018-06-21,98.62999725341797
2018-06-25,96.37000274658203
2018-06-22,92.72000122070312
2018-06-26,92.69999694824219
2018-06-27,90.18000030517578
2018-06-28,89.93000030517578
2018-06-29,90.41000366210938
2018-07-02,89.19999694824219
2018-07-03,89.93000030517578
2018-07-05,90.83000183105469
2018-07-16,91.38999938964844
2018-09-18,92.36000061035156
2019-01-24,93.23999786376953
2019-09-05,91.58999633789062
2018-11-21,92.23999786376953
2020-01-13,93.63999938964844
2020-04-01,93.8499984741211
2020-06-19,93.12999725341797
2019-10-29,94.72000122070312
2020-01-16,94.16999816894531
2020-06-22,93.73999786376953
2018-10-03,92.73999786376953
2018-07-31,93.0
2019-03-12,90.83999633789062
2019-02-08,92.94999694824219
2019-01-07,94.87000274658203
2018-12-06,92.80999755859375
2019-08-19,93.30999755859375
2019-07-18,93.08000183105469
2019-05-15,92.58000183105469
2019-09-20,94.0
2019-11-01,94.47000122070312
2020-04-07,95.51000213623047
2020-06-25,96.81999969482422
2020-06-16,96.58000183105469
2019-11-04,84.7699966430664
2020-01-22,86.86000061035156
2019-11-07,83.5
2020-04-13,81.3499984741211
2019-07-01,81.56999969482422
2019-05-30,79.76000213623047
2018-08-15,81.41999816894531
2018-10-18,83.12000274658203
2019-03-27,83.4000015258789
2019-01-22,85.29000091552734
2018-12-21,85.83999633789062
2019-09-03,87.26000213623047
2018-11-19,87.0999984741211
2019-08-02,86.12999725341797
2020-01-28,85.2300033569336
2020-04-16,85.04000091552734
2019-11-13,84.87000274658203
2020-01-31,84.87000274658203
2018-12-04,82.61000061035156
2018-11-02,82.66999816894531
2019-07-16,82.69999694824219
2018-08-30,82.33000183105469
2018-10-01,81.02999877929688
2019-06-14,83.25
2019-05-13,83.44999694824219
2019-04-11,80.86000061035156
2019-02-06,80.37999725341797
2019-09-18,80.47000122070312
2020-02-03,81.72000122070312
2020-04-22,82.37000274658203
2019-11-19,81.31999969482422
2020-02-06,78.58000183105469
2019-11-22,78.62999725341797
2019-03-25,78.3499984741211
2019-02-21,77.87000274658203
2018-12-19,77.13999938964844
2018-07-12,77.36000061035156
2018-09-14,75.02999877929688
2018-08-13,70.62999725341797
2018-10-16,68.5999984741211
2019-07-31,66.81999969482422
2019-05-28,66.26000213623047
2019-04-26,65.12999725341797
2020-04-28,66.5199966430664
2019-11-25,67.27999877929688
