Dates,BXP
2018-06-20,118.93000030517578
2018-06-21,121.69000244140625
2018-06-25,123.7699966430664
2018-06-22,125.48999786376953
2018-06-26,125.41000366210938
2018-06-27,124.7699966430664
2018-06-28,123.70999908447266
2018-06-29,124.58000183105469
2018-07-02,125.26000213623047
2018-07-03,124.58999633789062
2018-07-05,124.66999816894531
2018-07-16,126.30000305175781
2018-09-18,126.37000274658203
2019-01-24,126.0
2019-09-05,125.80000305175781
2018-11-21,126.18000030517578
2020-01-13,127.25
2020-04-01,126.80999755859375
2020-06-19,127.08999633789062
2019-10-29,125.44999694824219
2020-01-16,125.08000183105469
2020-06-22,126.3499984741211
2018-10-03,124.9800033569336
2018-07-31,124.2300033569336
2019-03-12,124.94999694824219
2019-02-08,125.20999908447266
2019-01-07,124.95999908447266
2018-12-06,122.62999725341797
2019-08-19,122.91999816894531
2019-07-18,122.3499984741211
2019-05-15,129.1199951171875
2019-09-20,128.52999877929688
2019-11-01,129.16000366210938
2020-04-07,129.86000061035156
2020-06-25,129.86000061035156
2020-06-16,129.64999389648438
2019-11-04,128.92999267578125
2020-01-22,129.32000732421875
2019-11-07,129.7899932861328
2020-04-13,129.9199981689453
2019-07-01,130.72000122070312
2019-05-30,131.8699951171875
2018-08-15,132.60000610351562
2018-10-18,131.24000549316406
2019-03-27,130.3300018310547
2019-01-22,129.60000610351562
2018-12-21,128.38999938964844
2019-09-03,129.13999938964844
2018-11-19,128.77000427246094
2019-08-02,131.0800018310547
2020-01-28,131.00999450683594
2020-04-16,130.6699981689453
2019-11-13,130.08999633789062
2020-01-31,128.7100067138672
2018-12-04,131.39999389648438
2018-11-02,129.0
2019-07-16,129.27000427246094
2018-08-30,127.83000183105469
2018-10-01,128.14999389648438
2019-06-14,128.05999755859375
2019-05-13,127.23999786376953
2019-04-11,126.37999725341797
2019-02-06,126.79000091552734
2019-09-18,126.4000015258789
2020-02-03,124.3499984741211
2020-04-22,125.52999877929688
2019-11-19,126.48999786376953
2020-02-06,123.61000061035156
2019-11-22,124.29000091552734
2019-03-25,120.62000274658203
2019-02-21,121.0
2018-12-19,122.97000122070312
2018-07-12,120.98999786376953
2018-09-14,120.98999786376953
2018-08-13,119.36000061035156
2018-10-16,119.9800033569336
2019-07-31,118.94000244140625
2019-05-28,119.80000305175781
2019-04-26,120.13999938964844
2020-04-28,119.45999908447266
2019-11-25,115.27999877929688
2020-02-12,115.55000305175781
2020-05-01,116.1500015258789
2020-05-04,117.87000274658203
2019-06-12,117.55000305175781
2019-04-09,116.7699966430664
2019-03-08,117.3499984741211
2019-02-04,114.47000122070312
2018-07-27,115.23999786376953
2018-08-28,115.69000244140625
2019-01-03,116.52999877929688
2019-08-15,116.11000061035156
2018-10-31,117.41000366210938
2019-09-16,119.20999908447266
2020-02-18,120.69999694824219
2020-05-07,120.08000183105469
2018-08-17,119.88999938964844
2019-12-04,121.30999755859375
2020-02-21,123.29000091552734
2018-12-17,123.69999694824219
2019-08-30,124.47000122070312
2018-11-15,124.26000213623047
2019-07-29,124.7300033569336
2019-06-27,125.0
2019-04-24,123.76000213623047
2018-07-10,124.06999969482422
2018-09-12,126.16999816894531
2019-02-19,125.38999938964844
2019-01-18,125.44000244140625
2020-02-24,125.66000366210938
2020-05-13,126.3499984741211
2019-12-10,125.3499984741211
2020-02-27,126.9800033569336
2019-12-13,129.77000427246094
2020-05-19,129.94000244140625
2019-03-06,131.52999877929688
2018-11-30,131.9499969482422
2019-08-13,129.47999572753906
2019-07-12,132.17999267578125
2019-06-10,128.75999450683594
2019-05-09,127.68000030517578
2018-07-25,128.24000549316406
2018-09-27,124.72000122070312
2018-10-29,125.45999908447266
2019-10-16,125.81999969482422
2019-12-16,121.19999694824219
2020-03-04,120.54000091552734
2020-05-22,117.83000183105469
2019-10-01,115.11000061035156
2019-12-19,113.5199966430664
2018-09-10,109.54000091552734
2019-05-24,111.66000366210938
2018-08-09,112.8499984741211
2019-04-22,112.22000122070312
2019-03-21,111.69999694824219
2019-01-16,108.98999786376953
2019-08-28,110.63999938964844
2018-11-13,111.81999969482422
2018-10-12,112.66999816894531
2019-06-25,117.1500015258789
2020-03-10,117.08999633789062
2020-05-28,118.80000305175781
2019-10-07,118.70999908447266
2020-03-13,118.16999816894531
2019-10-10,119.2300033569336
2020-03-16,119.7699966430664
2020-06-03,120.66999816894531
2018-11-28,121.44999694824219
2018-09-25,120.72000122070312
2018-07-23,120.0999984741211
2018-08-24,121.97000122070312
2019-07-10,123.27999877929688
2019-05-07,124.66999816894531
2019-04-05,127.5
2019-03-04,130.33999633789062
2019-01-31,132.0800018310547
2019-09-12,131.0399932861328
2019-12-31,132.50999450683594
2020-03-19,132.2100067138672
2020-01-03,131.0399932861328
2020-06-09,131.80999755859375
2019-02-15,132.5800018310547
2019-01-14,133.27999877929688
2018-07-06,132.5399932861328
2018-08-07,133.52000427246094
2018-10-10,134.1300048828125
2018-12-13,133.5399932861328
2019-08-26,134.35000610351562
2019-07-25,133.3300018310547
2019-05-22,135.0
2019-03-19,136.10000610351562
2020-01-06,135.22999572753906
2020-03-25,133.24000549316406
2020-06-12,132.5
2019-10-22,132.88999938964844
2020-01-09,132.2100067138672
2020-06-15,132.0800018310547
2019-10-25,133.86000061035156
2020-03-31,132.36000061035156
2020-06-18,132.1300048828125
2019-04-03,132.86000061035156
2018-08-22,133.5800018310547
2018-10-25,134.1199951171875
2019-01-29,134.86000061035156
2018-12-28,134.99000549316406
2018-11-26,133.05999755859375
2019-08-09,132.94000244140625
2019-07-08,131.99000549316406
2019-06-06,131.44000244140625
2019-09-10,132.89999389648438
2020-01-15,132.0
2020-04-03,131.4600067138672
2019-10-31,132.88999938964844
2020-04-06,131.77000427246094
2020-06-24,133.75
2018-11-09,134.1199951171875
2019-07-23,135.5800018310547
2019-06-21,138.02000427246094
2019-05-20,138.1699981689453
2019-04-18,137.75
2018-09-06,138.47000122070312
2018-10-08,137.8300018310547
2019-02-13,137.4499969482422
2018-12-11,138.6999969482422
2019-09-25,138.4199981689453
2020-01-21,138.24000549316406
2020-04-09,136.85000610351562
2019-11-06,134.5
2020-01-24,131.83999633789062
2020-01-27,132.74000549316406
2020-04-15,132.91000366210938
2018-12-26,135.50999450683594
2019-08-07,136.05999755859375
2019-06-04,136.1699981689453
2018-09-21,136.63999938964844
2018-07-19,135.72000122070312
2018-08-20,137.72999572753906
2018-10-23,137.86000061035156
2019-05-03,135.49000549316406
2019-04-01,133.5399932861328
2019-02-28,133.25
2019-11-12,131.8000030517578
2020-01-30,130.19000244140625
2019-11-15,130.7100067138672
2020-04-21,131.0500030517578
