Dates,VLO
2018-06-20,115.7300033569336
2018-06-21,111.22000122070312
2018-06-25,112.23999786376953
2018-06-22,109.26000213623047
2018-06-26,110.25
2018-06-27,109.5199966430664
2018-06-28,109.11000061035156
2018-06-29,110.83000183105469
2018-07-02,109.2300033569336
2018-07-03,108.16999816894531
2018-07-05,107.52999877929688
2018-07-16,107.83000183105469
2018-09-18,109.2699966430664
2019-01-24,108.62000274658203
2019-09-05,106.36000061035156
2018-11-21,106.79000091552734
2020-01-13,107.33999633789062
2020-04-01,106.30000305175781
2020-06-19,106.08999633789062
2019-10-29,106.6500015258789
2020-01-16,107.0
2020-06-22,106.20999908447266
2018-10-03,106.27999877929688
2018-07-31,107.2699966430664
2019-03-12,109.33000183105469
2019-02-08,116.83000183105469
2019-01-07,116.3499984741211
2018-12-06,117.26000213623047
2019-08-19,118.3499984741211
2019-07-18,116.77999877929688
2019-05-15,115.33000183105469
2019-09-20,115.37999725341797
2019-11-01,114.88999938964844
2020-04-07,116.70999908447266
2020-06-25,115.9000015258789
2020-06-16,115.13999938964844
2019-11-04,115.37000274658203
2020-01-22,114.79000091552734
2019-11-07,115.05000305175781
2020-04-13,111.5199966430664
2019-07-01,111.31999969482422
2019-05-30,111.0
2018-08-15,113.4000015258789
2018-10-18,114.13999938964844
2019-03-27,115.68000030517578
2019-01-22,118.05999755859375
2018-12-21,120.55000305175781
2019-09-03,121.20999908447266
2018-11-19,120.38999938964844
2019-08-02,120.61000061035156
2020-01-28,119.05000305175781
2020-04-16,117.87999725341797
2019-11-13,120.23999786376953
2020-01-31,116.91000366210938
2018-12-04,116.06999969482422
2018-11-02,115.08000183105469
2019-07-16,115.25
2018-08-30,115.0999984741211
2018-10-01,116.30999755859375
2019-06-14,116.83000183105469
2019-05-13,117.12999725341797
2019-04-11,115.45999908447266
2019-02-06,115.33000183105469
2019-09-18,109.69999694824219
2020-02-03,110.4800033569336
2020-04-22,112.23999786376953
2019-11-19,114.95999908447266
2020-02-06,116.76000213623047
2019-11-22,116.5199966430664
2019-03-25,115.29000091552734
2019-02-21,113.75
2018-12-19,113.87999725341797
2018-07-12,115.5199966430664
2018-09-14,119.98999786376953
2018-08-13,117.22000122070312
2018-10-16,117.11000061035156
2019-07-31,116.18000030517578
2019-05-28,115.66000366210938
2019-04-26,110.83999633789062
2020-04-28,106.88999938964844
2019-11-25,108.25
2020-02-12,103.79000091552734
2020-05-01,105.91000366210938
2020-05-04,103.73999786376953
2019-06-12,103.38999938964844
2019-04-09,92.76000213623047
2019-03-08,92.8499984741211
2019-02-04,91.66000366210938
2018-07-27,86.69000244140625
2018-08-28,87.37999725341797
2019-01-03,85.79000091552734
2019-08-15,87.37999725341797
2018-10-31,90.0999984741211
2019-09-16,91.08999633789062
2020-02-18,92.51000213623047
2020-05-07,91.83000183105469
2018-08-17,91.1500015258789
2019-12-04,91.27999877929688
2020-02-21,92.58999633789062
2018-12-17,88.69999694824219
2019-08-30,87.58000183105469
2018-11-15,85.97000122070312
2019-07-29,83.56999969482422
2019-06-27,82.33999633789062
2019-04-24,83.2699966430664
2018-07-10,83.94999694824219
2018-09-12,80.69000244140625
2019-02-19,78.61000061035156
2019-01-18,79.19999694824219
2020-02-24,77.02999877929688
2020-05-13,78.77999877929688
2019-12-10,77.43000030517578
2020-02-27,79.41999816894531
2019-12-13,79.47000122070312
2020-05-19,79.9000015258789
2019-03-06,81.30000305175781
2018-11-30,79.51000213623047
2019-08-13,78.83999633789062
2019-07-12,75.98999786376953
2019-06-10,73.37999725341797
2019-05-09,73.2699966430664
2018-07-25,73.63999938964844
2018-09-27,73.45999908447266
2018-10-29,73.30000305175781
2019-10-16,72.58000183105469
2019-12-16,71.05999755859375
2020-03-04,70.9800033569336
2020-05-22,70.61000061035156
2019-10-01,71.63999938964844
2019-12-19,68.94000244140625
2018-09-10,73.30999755859375
2019-05-24,74.62999725341797
2018-08-09,73.4800033569336
2019-04-22,74.97000122070312
2019-03-21,75.55999755859375
2019-01-16,74.19999694824219
2019-08-28,77.01000213623047
2018-11-13,77.08999633789062
2018-10-12,77.36000061035156
2019-06-25,77.29000091552734
2020-03-10,77.41999816894531
2020-05-28,78.47000122070312
