Dates,MTB
2019-02-11,592900.0
2019-01-10,1412000.0
2019-08-22,536700.0
2018-11-07,490900.0
2018-08-03,534800.0
2018-09-04,704700.0
2019-06-19,554700.0
2019-09-23,827800.0
2019-11-18,859300.0
2020-02-05,725100.0
2020-04-24,991600.0
2019-03-29,698600.0
2019-11-21,793800.0
2020-04-27,546700.0
2020-02-11,401800.0
2020-04-30,447100.0
2019-05-01,413600.0
2019-02-26,575900.0
2019-01-25,548300.0
2018-12-24,576000.0
2019-09-06,321400.0
2018-07-17,429000.0
2018-09-19,421800.0
2019-08-05,497700.0
2019-10-08,587800.0
2019-12-11,1266700.0
2019-11-27,495300.0
2020-02-14,571300.0
2020-05-06,527500.0
2019-01-08,702400.0
2018-12-07,1296600.0
2019-08-20,631000.0
2018-11-05,407100.0
2019-07-19,285100.0
2018-10-04,598400.0
2019-06-17,567800.0
2019-05-16,663200.0
2018-08-01,601400.0
2019-03-13,370200.0
2019-12-03,598900.0
2020-02-20,683400.0
2019-12-06,833700.0
2020-05-12,698500.0
2019-12-09,1957600.0
2020-02-26,1016700.0
2020-05-15,721400.0
2019-03-28,801700.0
2018-09-17,902200.0
2018-08-16,922800.0
2018-10-19,1374800.0
2019-04-29,582100.0
2019-01-23,517600.0
2019-09-04,751000.0
2018-11-20,1292300.0
2019-07-02,1038100.0
2019-05-31,1058300.0
2019-12-12,689100.0
2020-05-18,1140500.0
2019-09-27,561400.0
2020-03-03,506800.0
2020-05-21,474700.0
2019-05-14,570100.0
2018-08-31,869900.0
2018-07-30,578500.0
2018-10-02,744900.0
2019-04-12,593200.0
2019-03-11,577800.0
2019-02-07,490600.0
2019-07-17,480500.0
2019-09-19,611100.0
2019-10-21,409300.0
2019-12-18,535600.0
2020-03-06,535300.0
2019-10-03,520400.0
2020-03-09,631200.0
2020-05-27,770300.0
2019-12-24,599000.0
2020-03-12,666200.0
2018-12-20,671700.0
2019-08-01,1000200.0
2018-08-14,770100.0
2018-07-13,874000.0
2018-10-17,830300.0
2019-05-29,612200.0
2019-03-26,543300.0
2019-02-22,568800.0
2019-10-04,560000.0
2019-11-05,589800.0
2019-12-27,1443000.0
2020-06-02,424600.0
2019-12-30,510200.0
2020-03-18,465300.0
2020-06-05,369200.0
2019-07-15,424500.0
2018-12-03,508100.0
2019-06-13,467700.0
2019-01-04,489000.0
2018-08-29,456200.0
2019-02-05,554400.0
2018-11-01,378200.0
2019-08-16,687000.0
2019-04-10,480600.0
2019-09-17,409200.0
2019-10-15,549300.0
2020-01-02,364400.0
2020-06-08,489100.0
2019-10-18,948300.0
2020-03-24,2015500.0
2020-06-11,1135100.0
2020-01-08,760900.0
2019-04-25,627900.0
2019-07-30,676500.0
2019-02-20,586200.0
2018-07-11,586500.0
2018-09-13,574000.0
2018-10-15,593400.0
2019-06-28,639900.0
2018-12-18,579500.0
2018-11-16,697500.0
2019-10-02,612800.0
2020-03-27,811300.0
2020-01-10,448500.0
2019-10-24,685100.0
2020-03-30,554900.0
2020-06-17,407900.0
2020-01-14,524800.0
2020-04-02,516000.0
2019-01-02,424500.0
2019-08-14,530700.0
2018-10-30,669100.0
2019-06-11,453000.0
2019-05-10,698300.0
2019-04-08,405300.0
2018-08-27,458100.0
2018-07-26,585400.0
2018-09-28,990800.0
2019-03-07,568000.0
2019-10-30,227900.0
2020-01-17,673100.0
2020-06-23,619400.0
2020-04-08,821200.0
2020-06-26,457200.0
2019-03-22,474300.0
2019-01-17,521800.0
2019-08-29,440800.0
2018-11-14,629400.0
2019-06-26,677400.0
2018-09-11,571600.0
2018-07-09,559300.0
2018-08-10,731500.0
2019-04-23,628000.0
2019-09-30,526300.0
2020-01-23,1071400.0
2019-11-08,315100.0
2020-04-14,125900.0
2019-11-11,260600.0
2020-01-29,288400.0
2020-04-17,263300.0
2018-07-24,396800.0
2018-09-26,509100.0
2019-05-08,461900.0
2019-03-05,372900.0
2019-02-01,324800.0
2018-12-31,462500.0
2018-11-29,443600.0
2019-08-12,546000.0
2019-07-11,463100.0
2019-09-13,446600.0
2019-11-14,618800.0
2020-04-20,615200.0
2020-02-04,755000.0
2020-04-23,700900.0
2018-12-14,991500.0
2019-08-27,1879400.0
2018-08-08,1282200.0
2018-10-11,1144800.0
2018-11-12,709500.0
2019-07-26,739300.0
2019-06-24,981100.0
2019-05-23,814100.0
2019-03-20,605200.0
2019-01-15,523000.0
2019-11-20,402600.0
2020-02-07,359300.0
2020-02-10,568100.0
2020-04-29,646200.0
2019-11-26,479000.0
2020-02-13,340000.0
2019-01-30,375200.0
2018-08-23,387300.0
2018-09-24,649100.0
2018-11-27,750300.0
2018-10-26,538900.0
2019-07-09,826600.0
2019-06-07,799500.0
2019-05-06,1083800.0
2019-04-04,985100.0
2019-09-11,1429300.0
2019-11-29,1945500.0
2020-05-05,1320700.0
2019-12-02,1493100.0
2020-02-19,1159700.0
