Dates,MTB
2018-06-20,164.78570556640625
2018-06-21,165.22117614746094
2018-06-25,163.7538299560547
2018-06-22,162.67465209960938
2018-06-26,161.1031951904297
2018-06-27,159.48440551757812
2018-06-28,159.6831817626953
2018-06-29,161.0747833251953
2018-07-02,161.01795959472656
2018-07-03,160.04290771484375
2018-07-05,160.06185913085938
2018-07-16,159.9482421875
2018-09-18,163.3941192626953
2019-01-24,162.73143005371094
2019-09-05,161.71853637695312
2018-11-21,159.83465576171875
2020-01-13,157.5721435546875
2020-04-01,159.15304565429688
2020-06-19,159.51278686523438
2019-10-29,165.173828125
2020-01-16,163.55503845214844
2020-06-22,163.7727813720703
2018-10-03,165.3158416748047
2018-07-31,163.98106384277344
2019-03-12,163.02491760253906
2019-02-08,163.73492431640625
2019-01-07,166.23411560058594
2018-12-06,166.2814483642578
2019-08-19,164.10411071777344
2019-07-18,164.3029022216797
2019-05-15,165.3347625732422
2019-09-20,165.12649536132812
2019-11-01,165.8365020751953
2020-04-07,166.2151641845703
2020-06-25,167.70143127441406
2020-06-16,166.55596923828125
2019-11-04,164.68157958984375
2020-01-22,163.8011932373047
2019-11-07,165.72291564941406
2020-04-13,164.3881072998047
2019-07-01,167.4931640625
2019-05-30,167.0861053466797
2018-08-15,166.1772918701172
2018-10-18,167.6351776123047
2019-03-27,167.56890869140625
2019-01-22,167.15235900878906
2018-12-21,166.90623474121094
2019-09-03,167.82447814941406
2018-11-19,168.3451690673828
2019-08-02,168.11795043945312
2020-01-28,166.9535675048828
2020-04-16,168.65774536132812
2019-11-13,170.7523193359375
2020-01-31,171.11407470703125
2018-12-04,170.0763397216797
2018-11-02,170.23818969726562
2019-07-16,169.9525604248047
2018-08-30,170.31434631347656
2018-10-01,166.08717346191406
2019-06-14,162.8120880126953
2019-05-13,163.01202392578125
2019-04-11,161.58395385742188
2019-02-06,161.003173828125
2019-09-18,163.773681640625
2020-02-03,164.59246826171875
2020-04-22,164.70669555664062
2019-11-19,161.9933319091797
2020-02-06,160.5081024169922
2019-11-22,159.3656463623047
2019-03-25,157.6614532470703
2019-02-21,156.65225219726562
2018-12-19,156.79507446289062
2018-07-12,157.0616455078125
2018-09-14,159.14666748046875
2018-08-13,161.041259765625
2018-10-16,160.2415313720703
