Dates,MTB
2018-06-20,175.3699951171875
2018-06-21,174.35000610351562
2018-06-25,175.2100067138672
2018-06-22,172.63999938964844
2018-06-26,171.77000427246094
2018-06-27,171.66000366210938
2018-06-28,168.50999450683594
2018-06-29,170.3699951171875
2018-07-02,169.3699951171875
2018-07-03,170.8699951171875
2018-07-05,170.36000061035156
2018-07-16,168.3800048828125
2018-09-18,170.0
2019-01-24,172.97000122070312
2019-09-05,171.30999755859375
2018-11-21,172.17999267578125
2020-01-13,168.57000732421875
2020-04-01,166.85000610351562
2020-06-19,168.3699951171875
2019-10-29,167.94000244140625
2020-01-16,174.39999389648438
2020-06-22,172.67999267578125
2018-10-03,172.9600067138672
2018-07-31,174.85000610351562
2019-03-12,173.11000061035156
2019-02-08,172.72000122070312
2019-01-07,173.38999938964844
2018-12-06,175.8800048828125
2019-08-19,176.07000732421875
2019-07-18,174.2899932861328
2019-05-15,172.33999633789062
2019-09-20,174.2100067138672
2019-11-01,174.5500030517578
2020-04-07,175.5
2020-06-25,175.75999450683594
2020-06-16,176.91000366210938
2019-11-04,173.89999389648438
2020-01-22,173.72000122070312
2019-11-07,173.5399932861328
2020-04-13,173.69000244140625
2019-07-01,174.6199951171875
2019-05-30,176.8000030517578
2018-08-15,176.25999450683594
2018-10-18,175.61000061035156
2019-03-27,176.52999877929688
2019-01-22,176.8699951171875
2018-12-21,177.27999877929688
2019-09-03,176.9499969482422
2018-11-19,177.82000732421875
2019-08-02,177.97000122070312
2020-01-28,177.27000427246094
2020-04-16,176.6999969482422
2019-11-13,177.97000122070312
2020-01-31,179.27999877929688
2018-12-04,179.2899932861328
2018-11-02,179.58999633789062
2019-07-16,179.4199981689453
2018-08-30,178.0
2018-10-01,177.74000549316406
2019-06-14,174.97999572753906
2019-05-13,171.4499969482422
2019-04-11,171.25
2019-02-06,169.47999572753906
2019-09-18,169.30999755859375
2020-02-03,172.58999633789062
2020-04-22,172.64999389648438
2019-11-19,173.27000427246094
2020-02-06,171.0500030517578
2019-11-22,170.11000061035156
