Dates,PRU
2018-06-20,88.16901397705078
2018-06-21,87.78662109375
2018-06-25,87.85946655273438
2018-06-22,87.38601684570312
2018-06-26,86.7760009765625
2018-06-27,84.8731460571289
2018-06-28,85.21001434326172
2018-06-29,85.1371841430664
2018-07-02,85.88375854492188
2018-07-03,85.5741958618164
2018-07-05,85.89285278320312
2018-07-16,86.3572006225586
2018-09-18,88.92469024658203
2019-01-24,88.32380676269531
2019-09-05,86.85795593261719
2018-11-21,86.76691436767578
2020-01-13,86.55748748779297
2020-04-01,87.6773681640625
2020-06-19,87.42243957519531
2019-10-29,88.76081085205078
2020-01-16,87.13108825683594
2020-06-22,86.72138977050781
2018-10-03,88.2418441772461
2018-07-31,89.3617172241211
2019-03-12,88.2873764038086
2019-02-08,89.31620025634766
2019-01-07,90.03546142578125
2018-12-06,91.17352294921875
2019-08-19,91.87459564208984
2019-07-18,91.51040649414062
2019-05-15,90.93682098388672
2019-09-20,90.51799774169922
2019-11-01,90.74562072753906
2020-04-07,91.3465347290039
2020-06-25,92.42996215820312
2020-06-16,90.99146270751953
2019-11-04,88.2873764038086
2020-01-22,87.82304382324219
2019-11-07,88.66976165771484
2020-04-13,87.69557189941406
2019-07-01,89.31620025634766
2019-05-30,89.95352172851562
2018-08-15,90.19242095947266
2018-10-18,91.5798568725586
2019-03-27,90.70696258544922
2019-01-22,89.93514251708984
2018-12-21,90.54157257080078
2019-09-03,92.2230453491211
2018-11-19,92.24140930175781
2019-08-02,91.58903503417969
2020-01-28,90.44049835205078
2020-04-16,90.27510833740234
2019-11-13,90.73452758789062
2020-01-31,91.62580108642578
2018-12-04,90.71614074707031
2018-11-02,90.31185913085938
2019-07-16,90.6885757446289
2018-08-30,89.73300170898438
2018-10-01,88.92443084716797
2019-06-14,89.20008087158203
2019-05-13,91.75442504882812
2019-04-11,90.95503997802734
2019-02-06,92.07601165771484
2019-09-18,94.49253845214844
2020-02-03,95.76971435546875
2020-04-22,96.18319702148438
2019-11-19,94.91520690917969
2020-02-06,94.22608184814453
2019-11-22,92.8937759399414
2019-03-25,92.85702514648438
