Dates,PRU
2018-06-20,96.83999633789062
2018-06-21,96.41999816894531
2018-06-25,96.5
2018-06-22,95.9800033569336
2018-06-26,95.30999755859375
2018-06-27,93.22000122070312
2018-06-28,93.58999633789062
2018-06-29,93.51000213623047
2018-07-02,94.33000183105469
2018-07-03,93.98999786376953
2018-07-05,94.33999633789062
2018-07-16,94.8499984741211
2018-09-18,97.66999816894531
2019-01-24,97.01000213623047
2019-09-05,95.4000015258789
2018-11-21,95.30000305175781
2020-01-13,95.06999969482422
2020-04-01,96.30000305175781
2020-06-19,96.0199966430664
2019-10-29,97.48999786376953
2020-01-16,95.69999694824219
2020-06-22,95.25
2018-10-03,96.91999816894531
2018-07-31,98.1500015258789
2019-03-12,96.97000122070312
2019-02-08,98.0999984741211
2019-01-07,98.88999938964844
2018-12-06,100.13999938964844
2019-08-19,100.91000366210938
2019-07-18,100.51000213623047
2019-05-15,99.87999725341797
2019-09-20,99.41999816894531
2019-11-01,99.66999816894531
2020-04-07,100.33000183105469
2020-06-25,101.5199966430664
2020-06-16,99.94000244140625
2019-11-04,96.97000122070312
2020-01-22,96.45999908447266
2019-11-07,97.38999938964844
2020-04-13,96.31999969482422
2019-07-01,98.0999984741211
2019-05-30,98.80000305175781
2018-08-15,98.16000366210938
2018-10-18,99.66999816894531
2019-03-27,98.72000122070312
2019-01-22,97.87999725341797
2018-12-21,98.54000091552734
2019-09-03,100.37000274658203
2018-11-19,100.38999938964844
2019-08-02,99.68000030517578
2020-01-28,98.43000030517578
2020-04-16,98.25
2019-11-13,98.75
2020-01-31,99.72000122070312
2018-12-04,98.7300033569336
2018-11-02,98.29000091552734
2019-07-16,98.69999694824219
2018-08-30,97.66000366210938
2018-10-01,96.77999877929688
2019-06-14,97.08000183105469
2019-05-13,99.86000061035156
2019-04-11,98.98999786376953
2019-02-06,100.20999908447266
2019-09-18,102.83999633789062
2020-02-03,104.2300033569336
2020-04-22,104.68000030517578
2019-11-19,103.30000305175781
2020-02-06,102.55000305175781
2019-11-22,101.0999984741211
2019-03-25,101.05999755859375
2019-02-21,101.31999969482422
2018-12-19,101.56999969482422
2018-07-12,101.47000122070312
2018-09-14,102.44000244140625
2018-08-13,104.80000305175781
2018-10-16,104.45999908447266
2019-07-31,105.98999786376953
2019-05-28,105.94999694824219
2019-04-26,102.79000091552734
2020-04-28,97.69999694824219
2019-11-25,97.76000213623047
2020-02-12,97.4000015258789
2020-05-01,97.83000183105469
2020-05-04,99.69999694824219
2019-06-12,97.52999877929688
2019-04-09,97.5999984741211
2019-03-08,95.70999908447266
2019-02-04,95.08000183105469
2018-07-27,90.81999969482422
2018-08-28,92.36000061035156
2019-01-03,90.16000366210938
2019-08-15,90.75
2018-10-31,92.44000244140625
2019-09-16,93.77999877929688
2020-02-18,94.87999725341797
2020-05-07,95.91000366210938
2018-08-17,97.81999969482422
2019-12-04,98.37999725341797
2020-02-21,100.69000244140625
2018-12-17,96.97000122070312
2019-08-30,95.8499984741211
2018-11-15,93.66999816894531
2019-07-29,94.62000274658203
2019-06-27,92.8499984741211
2019-04-24,92.61000061035156
2018-07-10,91.55999755859375
2018-09-12,91.6500015258789
2019-02-19,89.87000274658203
2019-01-18,91.04000091552734
2020-02-24,89.66999816894531
2020-05-13,91.83000183105469
2019-12-10,91.88999938964844
2020-02-27,94.27999877929688
2019-12-13,92.91000366210938
2020-05-19,93.76000213623047
2019-03-06,94.26000213623047
2018-11-30,89.18000030517578
2019-08-13,87.33999633789062
