Dates,TRV
2018-06-20,124.91000366210938
2018-06-21,122.83000183105469
2018-06-25,123.68000030517578
2018-06-22,122.45999908447266
2018-06-26,122.52999877929688
2018-06-27,121.29000091552734
2018-06-28,120.73999786376953
2018-06-29,122.0999984741211
2018-07-02,121.4000015258789
2018-07-03,122.63999938964844
2018-07-05,121.80999755859375
2018-07-16,121.81999969482422
2018-09-18,123.54000091552734
2019-01-24,125.38999938964844
2019-09-05,124.52999877929688
2018-11-21,125.11000061035156
2020-01-13,125.45999908447266
2020-04-01,126.62000274658203
2020-06-19,127.87000274658203
2019-10-29,128.33999633789062
2020-01-16,124.61000061035156
2020-06-22,124.33999633789062
2018-10-03,123.58000183105469
2018-07-31,123.94000244140625
2019-03-12,123.9800033569336
2019-02-08,126.48999786376953
2019-01-07,129.7100067138672
2018-12-06,130.1300048828125
2019-08-19,129.77000427246094
2019-07-18,128.91000366210938
2019-05-15,127.0
2019-09-20,127.7300033569336
2019-11-01,129.60000610351562
2020-04-07,129.77999877929688
2020-06-25,129.11000061035156
2020-06-16,128.61000061035156
2019-11-04,127.61000061035156
2020-01-22,127.61000061035156
2019-11-07,126.68000030517578
2020-04-13,126.91999816894531
2019-07-01,129.13999938964844
2019-05-30,129.61000061035156
2018-08-15,130.5
2018-10-18,130.92999267578125
2019-03-27,129.25999450683594
2019-01-22,128.94000244140625
2018-12-21,129.85000610351562
2019-09-03,131.33999633789062
2018-11-19,132.0500030517578
2019-08-02,131.94000244140625
2020-01-28,131.10000610351562
2020-04-16,130.6699981689453
2019-11-13,131.00999450683594
2020-01-31,132.02000427246094
2018-12-04,132.08999633789062
2018-11-02,129.97000122070312
2019-07-16,126.93000030517578
2018-08-30,125.70999908447266
2018-10-01,126.30000305175781
2019-06-14,127.73999786376953
2019-05-13,128.67999267578125
2019-04-11,129.58999633789062
2019-02-06,129.5
2019-09-18,131.3699951171875
2020-02-03,133.10000610351562
2020-04-22,133.19000244140625
2019-11-19,132.72000122070312
2020-02-06,131.13999938964844
2019-11-22,129.1999969482422
2019-03-25,128.47000122070312
2019-02-21,128.22000122070312
2018-12-19,128.6300048828125
2018-07-12,128.24000549316406
2018-09-14,129.07000732421875
2018-08-13,129.5500030517578
2018-10-16,129.8300018310547
2019-07-31,129.9199981689453
2019-05-28,130.32000732421875
2019-04-26,128.00999450683594
2020-04-28,123.58999633789062
2019-11-25,121.47000122070312
2020-02-12,123.0199966430664
2020-05-01,123.33999633789062
2020-05-04,124.58000183105469
2019-06-12,123.69999694824219
2019-04-09,124.01000213623047
2019-03-08,123.9800033569336
2019-02-04,122.30000305175781
2018-07-27,121.30000305175781
2018-08-28,120.37000274658203
2019-01-03,119.66999816894531
2019-08-15,121.58999633789062
2018-10-31,122.08999633789062
2019-09-16,125.02999877929688
2020-02-18,124.0199966430664
2020-05-07,123.95999908447266
2018-08-17,125.16000366210938
2019-12-04,126.12999725341797
2020-02-21,128.22000122070312
2018-12-17,129.97999572753906
2019-08-30,130.27999877929688
2018-11-15,126.83000183105469
2019-07-29,126.43000030517578
2019-06-27,122.2300033569336
2019-04-24,121.4000015258789
2018-07-10,124.70999908447266
2018-09-12,128.60000610351562
2019-02-19,128.25999450683594
2019-01-18,127.30999755859375
2020-02-24,126.36000061035156
2020-05-13,127.18000030517578
2019-12-10,128.30999755859375
2020-02-27,128.72000122070312
2019-12-13,129.27000427246094
2020-05-19,128.7100067138672
2019-03-06,127.61000061035156
2018-11-30,126.0999984741211
2019-08-13,121.75
2019-07-12,122.87000274658203
2019-06-10,120.5
2019-05-09,120.44999694824219
2018-07-25,121.02999877929688
2018-09-27,120.72000122070312
2018-10-29,119.94999694824219
2019-10-16,119.5
2019-12-16,118.41999816894531
2020-03-04,118.22000122070312
2020-05-22,116.93000030517578
2019-10-01,116.0199966430664
2019-12-19,112.5999984741211
2018-09-10,111.08000183105469
2019-05-24,114.66000366210938
2018-08-09,117.77999877929688
2019-04-22,118.05000305175781
2019-03-21,116.33000183105469
2019-01-16,115.05999755859375
2019-08-28,116.12999725341797
2018-11-13,117.70999908447266
2018-10-12,116.83999633789062
2019-06-25,117.9800033569336
2020-03-10,118.38999938964844
2020-05-28,119.2699966430664
2019-10-07,119.79000091552734
2020-03-13,120.52999877929688
2019-10-10,121.18000030517578
2020-03-16,121.27999877929688
2020-06-03,122.73999786376953
2018-11-28,121.33999633789062
2018-09-25,120.5999984741211
2018-07-23,122.58000183105469
2018-08-24,124.54000091552734
2019-07-10,123.61000061035156
2019-05-07,124.37999725341797
2019-04-05,124.08000183105469
2019-03-04,124.37999725341797
2019-01-31,125.12999725341797
2019-09-12,125.0199966430664
2019-12-31,125.33000183105469
2020-03-19,124.87000274658203
2020-01-03,125.11000061035156
2020-06-09,124.62000274658203
2019-02-15,124.36000061035156
2019-01-14,126.11000061035156
2018-07-06,127.55000305175781
2018-08-07,126.2300033569336
2018-10-10,127.87000274658203
2018-12-13,128.00999450683594
2019-08-26,128.97999572753906
2019-07-25,129.13999938964844
2019-05-22,129.97999572753906
2019-03-19,131.3000030517578
2020-01-06,132.36000061035156
2020-03-25,132.44000244140625
2020-06-12,132.22000122070312
2019-10-22,132.4600067138672
2020-01-09,130.9199981689453
2020-06-15,131.27999877929688
2019-10-25,131.69000244140625
2020-03-31,130.64999389648438
2020-06-18,130.0
2019-04-03,131.4600067138672
2018-08-22,131.72000122070312
2018-10-25,132.75999450683594
2019-01-29,132.63999938964844
2018-12-28,132.94000244140625
2018-11-26,134.3000030517578
2019-08-09,132.6199951171875
2019-07-08,131.25
2019-06-06,130.25
2019-09-10,133.77999877929688
2020-01-15,134.3699951171875
2020-04-03,133.94000244140625
2019-10-31,134.97999572753906
2020-04-06,135.4499969482422
2020-06-24,136.64999389648438
2018-11-09,137.3699951171875
2019-07-23,136.58999633789062
2019-06-21,135.52000427246094
2019-05-20,135.97999572753906
2019-04-18,136.11000061035156
2018-09-06,135.4600067138672
2018-10-08,134.3699951171875
2019-02-13,134.60000610351562
2018-12-11,135.08999633789062
2019-09-25,136.72000122070312
2020-01-21,136.60000610351562
2020-04-09,137.1300048828125
2019-11-06,135.8000030517578
2020-01-24,138.0
2020-01-27,136.5800018310547
2020-04-15,136.80999755859375
2018-12-26,137.5399932861328
2019-08-07,137.24000549316406
2019-06-04,139.25
2018-09-21,140.4199981689453
2018-07-19,141.61000061035156
2018-08-20,142.97000122070312
2018-10-23,142.08999633789062
2019-05-03,142.27999877929688
2019-04-01,141.3699951171875
2019-02-28,141.1999969482422
2019-11-12,141.2899932861328
2020-01-30,139.9600067138672
2019-11-15,140.77000427246094
2020-04-21,141.9499969482422
2019-04-16,143.07000732421875
2019-03-15,144.72999572753906
2019-02-11,146.3699951171875
2019-01-10,145.8800048828125
2019-08-22,147.24000549316406
2018-11-07,146.94000244140625
2018-08-03,146.94000244140625
2018-09-04,145.47999572753906
2019-06-19,146.75
2019-09-23,146.25
2019-11-18,143.69000244140625
2020-02-05,144.47999572753906
2020-04-24,144.49000549316406
2019-03-29,144.8699951171875
2019-11-21,146.61000061035156
2020-04-27,147.92999267578125
2020-02-11,148.36000061035156
2020-04-30,147.92999267578125
2019-05-01,148.88999938964844
2019-02-26,148.6999969482422
2019-01-25,149.4499969482422
2018-12-24,148.5500030517578
2019-09-06,148.7899932861328
2018-07-17,149.66000366210938
2018-09-19,149.5800018310547
2019-08-05,150.32000732421875
2019-10-08,150.83999633789062
2019-12-11,151.2100067138672
2019-11-27,151.60000610351562
2020-02-14,151.47999572753906
